size,case,variable,sensitivity,sign
Large,1,As,0.01,FALSE
Large,1,Cd,0,FALSE
Large,1,Co,0.03,FALSE
Large,1,Hg,1,TRUE
Large,1,Mo,0.02,FALSE
Large,1,Ni,1,TRUE
Large,1,Pb,0.03,FALSE
Large,1,Sb,1,TRUE
Large,1,Sn,0.62,TRUE
Large,1,Tl,0,FALSE
Large,2,As,0.01,FALSE
Large,2,Cd,0.03,FALSE
Large,2,Co,0.05,FALSE
Large,2,Hg,1,TRUE
Large,2,Mo,0.03,FALSE
Large,2,Ni,0.99,TRUE
Large,2,Pb,0.02,FALSE
Large,2,Sb,1,TRUE
Large,2,Sn,0.65,TRUE
Large,2,Tl,0.03,FALSE
Large,3,As,0.02,FALSE
Large,3,Cd,0.01,FALSE
Large,3,Co,0.05,FALSE
Large,3,Hg,1,TRUE
Large,3,Mo,0.01,FALSE
Large,3,Ni,1,TRUE
Large,3,Pb,0.02,FALSE
Large,3,Sb,1,TRUE
Large,3,Sn,0.72,TRUE
Large,3,Tl,0.03,FALSE
Large,4,As,0,FALSE
Large,4,Cd,0.01,FALSE
Large,4,Co,0,FALSE
Large,4,Hg,1,TRUE
Large,4,Mo,0,FALSE
Large,4,Ni,1,TRUE
Large,4,Pb,0.01,FALSE
Large,4,Sb,1,TRUE
Large,4,Sn,0.66,TRUE
Large,4,Tl,0.01,FALSE
Large,5,As,0.01,FALSE
Large,5,Cd,0.02,FALSE
Large,5,Co,0.01,FALSE
Large,5,Hg,1,TRUE
Large,5,Mo,0,FALSE
Large,5,Ni,1,TRUE
Large,5,Pb,0.01,FALSE
Large,5,Sb,1,TRUE
Large,5,Sn,0.68,TRUE
Large,5,Tl,0.02,FALSE
Large,6,As,0.04,TRUE
Large,6,Cd,0.02,TRUE
Large,6,Co,0,FALSE
Large,6,Hg,0.99,TRUE
Large,6,Mo,0,FALSE
Large,6,Ni,1,TRUE
Large,6,Pb,0.03,FALSE
Large,6,Sb,1,TRUE
Large,6,Sn,0.67,TRUE
Large,6,Tl,0,FALSE
Large,7,As,0.48,TRUE
Large,7,Cd,0.42,TRUE
Large,7,Co,0.04,FALSE
Large,7,Hg,0.99,TRUE
Large,7,Mo,0,FALSE
Large,7,Ni,1,TRUE
Large,7,Pb,0.03,FALSE
Large,7,Sb,1,TRUE
Large,7,Sn,0.59,TRUE
