case,race,num_na,hg_detect,size,which_race,size_race
1,1,0,0.32,Small,Non-Hisp. white,16
1,2,0,0.26,Small,Non-Hisp. black,27
1,3,0,0.36,Small,Non-Hisp. other,13
1,4,0,0.23,Small,Hispanic born in US,87
1,5,0,0.23,Small,Hispanic born outside US,109
1,6,0,0.17,Small,Collapsed non-Hisp.,56
2,1,0,0.3,Small,Non-Hisp. white,16
2,2,0,0.41,Small,Non-Hisp. black,27
2,3,0.01,0.35,Small,Non-Hisp. other,13
2,4,0,0.15,Small,Hispanic born in US,87
2,5,0,0.25,Small,Hispanic born outside US,109
2,6,0,0.33,Small,Collapsed non-Hisp.,56
3,1,0,0.42,Small,Non-Hisp. white,16
3,2,0,0.22,Small,Non-Hisp. black,27
3,3,0.01,0.32,Small,Non-Hisp. other,13
3,4,0,0.13,Small,Hispanic born in US,87
3,5,0,0.53,Small,Hispanic born outside US,109
3,6,0,0.23,Small,Collapsed non-Hisp.,56
4,1,0,0.4,Small,Non-Hisp. white,16
4,2,0,0.23,Small,Non-Hisp. black,27
4,3,0,0.4,Small,Non-Hisp. other,13
4,4,0,0.18,Small,Hispanic born in US,87
4,5,0,0.8,Small,Hispanic born outside US,109
4,6,0,0.16,Small,Collapsed non-Hisp.,56
1,1,0,0.16,Large,Non-Hisp. white,16
1,2,0,0.56,Large,Non-Hisp. black,27
1,3,0,0.17,Large,Non-Hisp. other,13
1,4,0,0.76,Large,Hispanic born in US,87
1,5,0,0.79,Large,Hispanic born outside US,109
1,6,0,0.7,Large,Collapsed non-Hisp.,56
2,1,0,0.18,Large,Non-Hisp. white,16
2,2,0,0.82,Large,Non-Hisp. black,27
2,3,0,0.11,Large,Non-Hisp. other,13
2,4,0,0.7,Large,Hispanic born in US,87
2,5,0,0.85,Large,Hispanic born outside US,109
2,6,0,0.83,Large,Collapsed non-Hisp.,56
3,1,0,0.18,Large,Non-Hisp. white,16
3,2,0,0.24,Large,Non-Hisp. black,27
3,3,0,0.18,Large,Non-Hisp. other,13
3,4,0,0.71,Large,Hispanic born in US,87
3,5,0,1,Large,Hispanic born outside US,109
3,6,0,0.49,Large,Collapsed non-Hisp.,56
4,1,0,0.13,Large,Non-Hisp. white,16
4,2,0,0.3,Large,Non-Hisp. black,27
4,3,0,0.17,Large,Non-Hisp. other,13
4,4,0,0.7,Large,Hispanic born in US,87
4,5,0,1,Large,Hispanic born outside US,109
4,6,0,0.45,Large,Collapsed non-Hisp.,56
