mod,size,case,inter2,sign,sensitivity
BKMR,Large,2,Hg-Ni,TRUE,0.21
BKMR,Large,2,none,FALSE,0.003409090909090909
BKMR,Large,3,Hg-Ni,TRUE,0.88
BKMR,Large,3,none,FALSE,0.004772727272727273
BKMR,Large,4,Hg-Ni,TRUE,0.18
BKMR,Large,4,none,FALSE,0.003409090909090909
BKMR,Large,5,Hg-Ni,TRUE,0.76
BKMR,Large,5,none,FALSE,0.006363636363636364
BKMR,Large,6,As-Cd,TRUE,0.04
BKMR,Large,6,none,FALSE,0.003863636363636364
BKMR,Large,7,As-Cd,TRUE,0.57
BKMR,Large,7,none,FALSE,0.005909090909090909
BKMR,Large,8,As-Cd,TRUE,0
BKMR,Large,8,none,FALSE,0.0036363636363636364
BKMR,Large,9,As-Cd,TRUE,0.03
BKMR,Large,9,none,FALSE,0.003409090909090909
BKMR,Large,10,Co-Ni,TRUE,0.03
BKMR,Large,10,none,FALSE,0.0025
BKMR,Large,11,Co-Ni,TRUE,0.52
BKMR,Large,11,none,FALSE,0.0025
BKMR,Large,12,Co-Ni,TRUE,0
BKMR,Large,12,none,FALSE,0.0036363636363636364
BKMR,Large,13,Co-Ni,TRUE,0.05
BKMR,Large,13,none,FALSE,0.001590909090909091
BKMR,Small,2,Hg-Ni,TRUE,0.01
BKMR,Small,2,none,FALSE,0.0011363636363636363
BKMR,Small,3,Hg-Ni,TRUE,0.11
BKMR,Small,3,none,FALSE,0.0020454545454545456
BKMR,Small,4,Hg-Ni,TRUE,0.01
BKMR,Small,4,none,FALSE,0.0013636363636363637
BKMR,Small,5,Hg-Ni,TRUE,0.03
BKMR,Small,5,none,FALSE,9.090909090909091e-4
BKMR,Small,6,As-Cd,TRUE,0
BKMR,Small,6,none,FALSE,0.0011363636363636363
BKMR,Small,7,As-Cd,TRUE,0.01
BKMR,Small,7,none,FALSE,0.0018181818181818182
BKMR,Small,8,As-Cd,TRUE,0
BKMR,Small,8,none,FALSE,0.0025
BKMR,Small,9,As-Cd,TRUE,0
BKMR,Small,9,none,FALSE,2.2727272727272727e-4
BKMR,Small,10,Co-Ni,TRUE,0.01
BKMR,Small,10,none,FALSE,9.090909090909091e-4
BKMR,Small,11,Co-Ni,TRUE,0.02
BKMR,Small,11,none,FALSE,0.0011363636363636363
BKMR,Small,12,Co-Ni,TRUE,0
BKMR,Small,12,none,FALSE,0.0020454545454545456
BKMR,Small,13,Co-Ni,TRUE,0
BKMR,Small,13,none,FALSE,0.0011363636363636363
BSR,Large,1,none,FALSE,0.01244444444444444
BSR,Large,2,Hg-Ni,TRUE,0.28
BSR,Large,2,none,FALSE,0.0125
BSR,Large,3,Hg-Ni,TRUE,0.77
BSR,Large,3,none,FALSE,0.0159090909090909
BSR,Large,4,Hg-Ni,TRUE,0.27
BSR,Large,4,none,FALSE,0.01477272727272727
BSR,Large,5,Hg-Ni,TRUE,0.76
BSR,Large,5,none,FALSE,0.01795454545454545
BSR,Large,6,As-Cd,TRUE,0.01
BSR,Large,6,none,FALSE,0.01227272727272727
BSR,Large,7,As-Cd,TRUE,0.39
BSR,Large,7,none,FALSE,0.015
BSR,Large,8,As-Cd,TRUE,0
BSR,Large,8,none,FALSE,0.01363636363636363
BSR,Large,9,As-Cd,TRUE,0.21
BSR,Large,9,none,FALSE,0.01681818181818182
BSR,Large,10,Co-Ni,TRUE,0
BSR,Large,10,none,FALSE,0.01204545454545454
BSR,Large,11,Co-Ni,TRUE,0.09
BSR,Large,11,none,FALSE,0.015
BSR,Large,12,Co-Ni,TRUE,0
BSR,Large,12,none,FALSE,0.01409090909090909
BSR,Large,13,Co-Ni,TRUE,0.05
BSR,Large,13,none,FALSE,0.01727272727272727
BSR,Large,14,Hg-Ni,TRUE,0.1
BSR,Large,14,Hg-Tl,TRUE,0
BSR,Large,14,Ni-Tl,TRUE,0
BSR,Large,14,none,FALSE,0.01166666666666666
BSR,Large,15,Hg-Ni,TRUE,0.16
BSR,Large,15,Hg-Tl,TRUE,0.01
BSR,Large,15,Ni-Tl,TRUE,0.02
BSR,Large,15,none,FALSE,0.01380952380952381
BSR,Large,16,Hg-Ni,TRUE,0.17
BSR,Large,16,Hg-Tl,TRUE,0
BSR,Large,16,Ni-Tl,TRUE,0
BSR,Large,16,none,FALSE,0.01404761904761904
BSR,Large,17,Hg-Ni,TRUE,0.14
BSR,Large,17,Hg-Tl,TRUE,0.01
BSR,Large,17,Ni-Tl,TRUE,0.01
BSR,Large,17,none,FALSE,0.015
BSR,Small,1,none,FALSE,0.00111111111111111
BSR,Small,2,Hg-Ni,TRUE,0.07
BSR,Small,2,none,FALSE,0.00295454545454545
BSR,Small,3,Hg-Ni,TRUE,0.1
BSR,Small,3,none,FALSE,0.00204545454545454
BSR,Small,4,Hg-Ni,TRUE,0.03
BSR,Small,4,none,FALSE,0.00136363636363636
BSR,Small,5,Hg-Ni,TRUE,0.14
BSR,Small,5,none,FALSE,0.00318181818181818
BSR,Small,6,As-Cd,TRUE,0
BSR,Small,6,none,FALSE,0.00318181818181818
BSR,Small,7,As-Cd,TRUE,0.02
BSR,Small,7,none,FALSE,0.00204545454545454
BSR,Small,8,As-Cd,TRUE,0
BSR,Small,8,none,FALSE,0.00159090909090909
BSR,Small,9,As-Cd,TRUE,0
BSR,Small,9,none,FALSE,0.00181818181818181
BSR,Small,10,Co-Ni,TRUE,0.01
BSR,Small,10,none,FALSE,0.00227272727272727
BSR,Small,11,Co-Ni,TRUE,0.01
BSR,Small,11,none,FALSE,9.090909090909092e-4
