size,case,trial,variable,p
Small,1,1,Int,0.2483574734613518
Small,1,1,Hg,1.9156546303832883e-4
Small,1,1,Ni*,0.00786320881496676
Small,1,1,Sb^2,5.696451218400401e-5
Small,1,1,Sn*,0.00204506869457491
Large,1,1,Int,0.7559876911595369
Large,1,1,Hg,1.7666859279035973e-12
Large,1,1,Ni*,1.1338592763077353e-7
Large,1,1,Sb^2,1.634122380453296e-13
Large,1,1,Sn*,1.1239409083318583e-6
Small,1,2,Int,0.00189665600738579
Small,1,2,Hg,0.00219274678302418
Small,1,2,Ni*,2.9998083704411325e-7
Small,1,2,Sb^2,2.4862156861484525e-8
Small,1,2,Sn*,0.090235117653494
Large,1,2,Int,0.29694757116554016
Large,1,2,Hg,2.0094551991666257e-5
Large,1,2,Ni*,2.0400704062850437e-8
Large,1,2,Sb^2,1.965076795419399e-8
Large,1,2,Sn*,0.00355854246006439
Small,1,3,Int,0.06100213587148125
Small,1,3,Hg,0.0575743978062475
Small,1,3,Ni*,9.345583426605238e-4
Small,1,3,Sb^2,9.541112894653332e-4
Small,1,3,Sn*,0.00119841725501452
Large,1,3,Int,0.6726822939152708
Large,1,3,Hg,7.175103253687484e-10
Large,1,3,Ni*,1.5587006820255848e-10
Large,1,3,Sb^2,2.159590158276853e-13
Large,1,3,Sn*,1.8148113454250384e-4
Small,1,4,Int,0.24490199043306665
Small,1,4,Hg,0.0081951001693129
Small,1,4,Ni*,0.00115694651383997
Small,1,4,Sb^2,2.015712379940697e-5
Small,1,4,Sn*,0.01139046538519304
Large,1,4,Int,0.31394058068376346
Large,1,4,Hg,2.993888902244041e-14
Large,1,4,Ni*,4.2591851799395984e-14
Large,1,4,Sb^2,2.229367509959018e-16
Large,1,4,Sn*,0.00235774060779211
Small,1,5,Int,0.6709131992025739
Small,1,5,Hg,8.250988665317494e-4
Small,1,5,Ni*,9.30708949870854e-6
Small,1,5,Sb^2,0.0037306383374257
Small,1,5,Sn*,0.09789128059098132
Large,1,5,Int,0.16970798316466307
Large,1,5,Hg,4.169898810672427e-9
Large,1,5,Ni*,1.2363800984856162e-7
Large,1,5,Sb^2,7.517465242839714e-14
Large,1,5,Sn*,0.02404201624497379
Small,1,6,Int,0.02684834346255057
Small,1,6,Hg,2.957737911431903e-6
Small,1,6,Ni*,0.02886627557382327
Small,1,6,Sb^2,2.5761572861736386e-4
Small,1,6,Sn*,0.06224840398970184
Large,1,6,Int,0.4899949605759365
