mod,case,size,var,variable,sensitivity
Oracle MLR,2,Large,Hg,Hg,1
Oracle MLR,2,Large,Hg:Ni,Int,0.48
Oracle MLR,2,Large,Ni*,Ni*,0.47333333333333333
Oracle MLR,2,Large,Sb,Sb,0.82
Oracle MLR,2,Large,Sb^2,Sb^2,1
Oracle MLR,2,Large,Sn*,Sn*,0.9
Oracle MLR,2,Small,Hg,Hg,0.95
Oracle MLR,2,Small,Hg:Ni,Int,0.24
Oracle MLR,2,Small,Ni*,Ni*,0.17
Oracle MLR,2,Small,Sb^2,Sb^2,0.97
Oracle MLR,2,Small,Sn*,Sn*,0.39
Oracle MLR,3,Large,Hg,Hg,1
Oracle MLR,3,Large,Hg:Ni,Int,1
Oracle MLR,3,Large,Ni*,Ni*,0.6466666666666666
Oracle MLR,3,Large,Sb,Sb,0.78
Oracle MLR,3,Large,Sb^2,Sb^2,1
Oracle MLR,3,Large,Sn*,Sn*,0.95
Oracle MLR,3,Small,Hg,Hg,0.86
Oracle MLR,3,Small,Hg:Ni,Int,0.5
Oracle MLR,3,Small,Ni*,Ni*,0.3
Oracle MLR,3,Small,Sb^2,Sb^2,0.96
Oracle MLR,3,Small,Sn*,Sn*,0.36
Oracle MLR,4,Large,Hg,Hg,1
Oracle MLR,4,Large,I(Hg * ((Ni - 1)^2)),Int,0.54
Oracle MLR,4,Large,Ni*,Ni*,0.77
Oracle MLR,4,Large,Sb,Sb,0.87
Oracle MLR,4,Large,Sb^2,Sb^2,1
Oracle MLR,4,Large,Sn*,Sn*,0.94
Oracle MLR,4,Small,Hg,Hg,0.77
Oracle MLR,4,Small,I(Hg * ((Ni - 1)^2)),Int,0.14
Oracle MLR,4,Small,Ni*,Ni*,0.54
Oracle MLR,4,Small,Sb^2,Sb^2,1
Oracle MLR,4,Small,Sn*,Sn*,0.49
Oracle MLR,5,Large,Hg,Hg,1
Oracle MLR,5,Large,I(Hg * ((Ni - 1)^2)),Int,1
Oracle MLR,5,Large,Ni*,Ni*,1
Oracle MLR,5,Large,Sb,Sb,0.78
Oracle MLR,5,Large,Sb^2,Sb^2,1
Oracle MLR,5,Large,Sn*,Sn*,0.96
Oracle MLR,5,Small,Hg,Hg,0.74
Oracle MLR,5,Small,I(Hg * ((Ni - 1)^2)),Int,0.48
Oracle MLR,5,Small,Ni*,Ni*,0.71
Oracle MLR,5,Small,Sb^2,Sb^2,0.98
Oracle MLR,5,Small,Sn*,Sn*,0.37
Oracle MLR,6,Large,Cd:As,Int,0.59
Oracle MLR,6,Large,Hg,Hg,1
Oracle MLR,6,Large,Ni*,Ni*,1
Oracle MLR,6,Large,Sb,Sb,0.78
