case,size,sensitivity,mod,inter_type,effect_size
14,Large,0.45,Oracle,Multiplicative,Lower
14,Small,0.19,Oracle,Multiplicative,Lower
15,Large,0.97,Oracle,Multiplicative,Higher
15,Small,0.5,Oracle,Multiplicative,Higher
16,Large,0.48,Oracle,Polynomial,Lower
16,Small,0.1,Oracle,Polynomial,Lower
17,Large,0.96,Oracle,Polynomial,Higher
17,Small,0.49,Oracle,Polynomial,Higher
14,Large,0.01,BKMR,Multiplicative,Lower
14,Small,0.01,BKMR,Multiplicative,Lower
15,Large,0.01,BKMR,Multiplicative,Higher
15,Small,0.02,BKMR,Multiplicative,Higher
16,Large,0.01,BKMR,Polynomial,Lower
16,Small,0.01,BKMR,Polynomial,Lower
17,Large,0.13,BKMR,Polynomial,Higher
17,Small,0.01,BKMR,Polynomial,Higher
14,Large,0,BSR,Multiplicative,Lower
14,Small,0,BSR,Multiplicative,Lower
15,Large,0.01,BSR,Multiplicative,Higher
15,Small,0,BSR,Multiplicative,Higher
16,Large,0,BSR,Polynomial,Lower
16,Small,0,BSR,Polynomial,Lower
17,Large,0,BSR,Polynomial,Higher
17,Small,0,BSR,Polynomial,Higher
