month,year,NG Small (therms),NG Cogen (therms),NG Boilers (therms),EL Small (kWh),EL Main (kWh),EL Produced - Total,CTG (kWh),STG (kWh),CFD (kWh),Small Oil (gallons),Cogen Diesel (gallons),Non-Road Diesel (gallons),Propane (gallons),Wood Pellets (tons),WaterSewer (ccf),OilDiesel (gallons)
7,2023,2874.8,52200,75252,254055.6,1329300,158440.951,0,0,952047.071008106,0,0,0,0,0,1601,NA
8,2023,2731.7,102155,44640,225366.2,911400,300351.279,0,0,865873.9951392784,0,0,0,0,12.21,2980,NA
9,2023,3861.8,115175,34711,248469.9,871500,339711.11,0,0,781460.039597497,613.0999999999999,45195,0,308.9,0,8873,NA
10,2023,9021.1,125979,26780,221096.4,743400,367178.168,0,0,476051.0598112935,385.6,0,609.5,0,0,3649,NA
11,2023,18609.800000000003,92618,99096,246417.5,800100,290559.367,0,0,480633.2148013017,318.6,0,0,903,1.11,1548,NA
12,2023,23091.699999999997,107573,103597,210084.2,699300,333569.632,0,0,210684.95150561113,1090.8,0,0,502.7000000000001,0,3249,NA
1,2024,24685.4,130810,108531,183348.2,552300,0,0,0,164135.6987546946,1206.8,0,0,406.1,10.7,2976,NA
2,2024,27021.299999999996,114938,97088,195858.7,627900,0,0,0,313692.74390778615,1388.1,0,0,495,9.2,2866,NA
3,2024,25885.4,118223,73686,187134.1,695100,0,0,0,684284.8989392059,1123,0,0,629.5999999999999,0,5356,NA
4,2024,17701.4,114557,39851,199929.1,619500,0,0,0,837375.0150753206,0,0,0,430.5,8.95,2876,NA
5,2024,10330.9,115834,24184,170629.90000000002,680400,0,0,0,1126465.962014356,747.3,0,0,0,7.47,5525,NA
6,2024,5120.700000000001,4666,70751,195093.8,1346100,0,0,0,791486.080469113,0,0,0,90.5,0,4022,NA
7,2022,2885.8,87571,56805,215154.9,1081500,485741.79,485741.79,0,1146633.2380785474,NA,NA,NA,0,0,2885,0
8,2022,2343.1000000000004,103968,46659,232941.2,963900,599514.11,599514.11,0,918889.992936754,NA,NA,NA,0,10,5129,0
9,2022,4261.3,75664,61831,227750.9,1062600,423020.01,423020.01,0,808874.614830372,NA,NA,NA,1407.9,0,8920,249.4
