size,case,cond,sensitivity
Large,2,D05+194,0.01
Large,3,D05+194,0.24
Large,4,D05+194,0.02
Large,5,D05+194,0.16
Large,6,F08+F03,0
Large,7,F08+F03,0.18
Large,8,F08+F03,0.02
Large,9,F08+F03,0.06
Large,10,074+194,0.01
Large,11,074+194,0.22
Large,12,074+194,0
Large,13,074+194,0.04
Large,14,194 by D05+PCB,0
Large,14,D05 by PCB+194,0.01
Large,14,PCB by 194+D05,0
Large,15,194 by D05+PCB,0.01
Large,15,D05 by PCB+194,0
Large,15,PCB by 194+D05,0
Large,16,194 by D05+PCB,0
Large,16,D05 by PCB+194,0
Large,16,PCB by 194+D05,0
Large,17,194 by D05+PCB,0
Large,17,D05 by PCB+194,0
Large,17,PCB by 194+D05,0
Small,2,LBXD05LA+LBX194LA,0
Small,3,LBXD05LA+LBX194LA,0.01
Small,4,LBXD05LA+LBX194LA,0
Small,5,LBXD05LA+LBX194LA,0.01
Small,6,LBXF08LA+LBXF03LA,0
Small,7,LBXF08LA+LBXF03LA,0
Small,8,LBXF08LA+LBXF03LA,0
Small,9,LBXF08LA+LBXF03LA,0
Small,10,LBX074LA+LBX194LA,0
Small,11,LBX074LA+LBX194LA,0
Small,12,LBX074LA+LBX194LA,0
Small,13,LBX074LA+LBX194LA,0
Small,14,LBX194LA by LBXD05LA+LBXPCBLA,0
Small,14,LBXD05LA by LBXPCBLA+LBX194LA,0
Small,14,LBXPCBLA by LBX194LA+LBXD05LA,0
Small,15,LBX194LA by LBXD05LA+LBXPCBLA,0
Small,15,LBXD05LA by LBXPCBLA+LBX194LA,0
Small,15,LBXPCBLA by LBX194LA+LBXD05LA,0
Small,16,LBX194LA by LBXD05LA+LBXPCBLA,0
Small,16,LBXD05LA by LBXPCBLA+LBX194LA,0
Small,16,LBXPCBLA by LBX194LA+LBXD05LA,0
Small,17,LBX194LA by LBXD05LA+LBXPCBLA,0
Small,17,LBXD05LA by LBXPCBLA+LBX194LA,0
Small,17,LBXPCBLA by LBX194LA+LBXD05LA,0
