size,case,variable,sensitivity,sign
Large,1,LBX074LA,0.59,TRUE
Large,1,LBX099LA,0.1,FALSE
Large,1,LBX118LA,0.33,FALSE
Large,1,LBX138LA,0.12,FALSE
Large,1,LBX153LA,0.09,FALSE
Large,1,LBX170LA,0.17,FALSE
Large,1,LBX180LA,0.12,FALSE
Large,1,LBX187LA,0.21,FALSE
Large,1,LBX194LA,0.84,TRUE
Large,1,LBXD03LA,0.12,FALSE
Large,1,LBXD05LA,0.85,TRUE
Large,1,LBXD07LA,0.09,FALSE
Large,1,LBXF03LA,0.11,FALSE
Large,1,LBXF04LA,0.84,TRUE
Large,1,LBXF05LA,0.14,FALSE
Large,1,LBXF08LA,0.1,FALSE
Large,1,LBXHXCLA,0.12,FALSE
Large,1,LBXPCBLA,0.44,TRUE
Large,2,LBX074LA,0.72,TRUE
Large,2,LBX099LA,0.08,FALSE
Large,2,LBX118LA,0.19,FALSE
Large,2,LBX138LA,0.08,FALSE
Large,2,LBX153LA,0.07,FALSE
Large,2,LBX170LA,0.09,FALSE
Large,2,LBX180LA,0.09,FALSE
Large,2,LBX187LA,0.17,FALSE
Large,2,LBX194LA,0.84,TRUE
Large,2,LBXD03LA,0.11,FALSE
Large,2,LBXD05LA,0.86,TRUE
Large,2,LBXD07LA,0.17,FALSE
Large,2,LBXF03LA,0.13,FALSE
Large,2,LBXF04LA,0.85,TRUE
Large,2,LBXF05LA,0.19,FALSE
Large,2,LBXF08LA,0.13,FALSE
Large,2,LBXHXCLA,0.09,FALSE
Large,2,LBXPCBLA,0.37,TRUE
Large,3,LBX074LA,0.64,TRUE
Large,3,LBX099LA,0.07,FALSE
Large,3,LBX118LA,0.18,FALSE
Large,3,LBX138LA,0.06,FALSE
Large,3,LBX153LA,0.07,FALSE
Large,3,LBX170LA,0.13,FALSE
Large,3,LBX180LA,0.14,FALSE
Large,3,LBX187LA,0.14,FALSE
Large,3,LBX194LA,0.95,TRUE
Large,3,LBXD03LA,0.1,FALSE
Large,3,LBXD05LA,0.97,TRUE
Large,3,LBXD07LA,0.11,FALSE
Large,3,LBXF03LA,0.06,FALSE
Large,3,LBXF04LA,0.78,TRUE
Large,3,LBXF05LA,0.06,FALSE
Large,3,LBXF08LA,0.1,FALSE
Large,3,LBXHXCLA,0.05,FALSE
Large,3,LBXPCBLA,0.4,TRUE
Large,4,LBX074LA,0.55,TRUE
Large,4,LBX099LA,0.01,FALSE
Large,4,LBX118LA,0.2,FALSE
Large,4,LBX138LA,0.04,FALSE
Large,4,LBX153LA,0.05,FALSE
Large,4,LBX170LA,0.1,FALSE
Large,4,LBX180LA,0.08,FALSE
Large,4,LBX187LA,0.13,FALSE
Large,4,LBX194LA,0.82,TRUE
Large,4,LBXD03LA,0.1,FALSE
Large,4,LBXD05LA,1,TRUE
Large,4,LBXD07LA,0.07,FALSE
Large,4,LBXF03LA,0.08,FALSE
Large,4,LBXF04LA,0.8,TRUE
Large,4,LBXF05LA,0.08,FALSE
Large,4,LBXF08LA,0.1,FALSE
Large,4,LBXHXCLA,0.12,FALSE
Large,4,LBXPCBLA,0.21,TRUE
Large,5,LBX074LA,0.52,TRUE
Large,5,LBX099LA,0.03,FALSE
Large,5,LBX118LA,0.14,FALSE
Large,5,LBX138LA,0.04,FALSE
Large,5,LBX153LA,0.02,FALSE
Large,5,LBX170LA,0.1,FALSE
Large,5,LBX180LA,0.06,FALSE
Large,5,LBX187LA,0.07,FALSE
Large,5,LBX194LA,0.95,TRUE
Large,5,LBXD03LA,0.09,FALSE
Large,5,LBXD05LA,0.99,TRUE
Large,5,LBXD07LA,0.07,FALSE
Large,5,LBXF03LA,0.02,FALSE
Large,5,LBXF04LA,0.88,TRUE
Large,5,LBXF05LA,0.05,FALSE
Large,5,LBXF08LA,0.04,FALSE
Large,5,LBXHXCLA,0.05,FALSE
Large,5,LBXPCBLA,0.29,TRUE
Large,6,LBX074LA,0.64,TRUE
Large,6,LBX099LA,0.11,FALSE
Large,6,LBX118LA,0.24,FALSE
Large,6,LBX138LA,0.1,FALSE
Large,6,LBX153LA,0.12,FALSE
Large,6,LBX170LA,0.16,FALSE
Large,6,LBX180LA,0.07,FALSE
Large,6,LBX187LA,0.14,FALSE
Large,6,LBX194LA,0.84,TRUE
Large,6,LBXD03LA,0.12,FALSE
Large,6,LBXD05LA,0.82,TRUE
Large,6,LBXD07LA,0.2,FALSE
Large,6,LBXF03LA,0.12,TRUE
Large,6,LBXF04LA,0.75,TRUE
Large,6,LBXF05LA,0.17,FALSE
Large,6,LBXF08LA,0.14,TRUE
Large,6,LBXHXCLA,0.12,FALSE
Large,6,LBXPCBLA,0.44,TRUE
Large,7,LBX074LA,0.62,TRUE
Large,7,LBX099LA,0.16,FALSE
Large,7,LBX118LA,0.25,FALSE
Large,7,LBX138LA,0.11,FALSE
Large,7,LBX153LA,0.12,FALSE
Large,7,LBX170LA,0.22,FALSE
Large,7,LBX180LA,0.12,FALSE
Large,7,LBX187LA,0.19,FALSE
Large,7,LBX194LA,0.87,TRUE
Large,7,LBXD03LA,0.21,FALSE
Large,7,LBXD05LA,0.85,TRUE
Large,7,LBXD07LA,0.23,FALSE
Large,7,LBXF03LA,0.43,TRUE
Large,7,LBXF04LA,0.76,TRUE
Large,7,LBXF05LA,0.15,FALSE
Large,7,LBXF08LA,0.62,TRUE
Large,7,LBXHXCLA,0.16,FALSE
Large,7,LBXPCBLA,0.44,TRUE
Large,8,LBX074LA,0.67,TRUE
Large,8,LBX099LA,0.12,FALSE
Large,8,LBX118LA,0.23,FALSE
Large,8,LBX138LA,0.15,FALSE
Large,8,LBX153LA,0.08,FALSE
