size,case,inter2,sign,sensitivity
Large,1,none,FALSE,9.80392156862745e-4
Large,2,194-D05,TRUE,0.07
Large,2,none,FALSE,8.552631578947369e-4
Large,3,194-D05,TRUE,0.47
Large,3,none,FALSE,0.00125
Large,4,194-D05,TRUE,0.11
Large,4,none,FALSE,0.001644736842105263
Large,5,194-D05,TRUE,0.56
Large,5,none,FALSE,0.0015131578947368421
Large,6,F03-F08,TRUE,0
Large,6,none,FALSE,7.894736842105263e-4
Large,7,F03-F08,TRUE,0.34
Large,7,none,FALSE,0.00125
Large,8,F03-F08,TRUE,0.03
Large,8,none,FALSE,0.0015789473684210526
Large,9,F03-F08,TRUE,0.1414141414141414
Large,9,none,FALSE,0.001993620414673046
Large,10,074-194,TRUE,0.04
Large,10,none,FALSE,0.00125
Large,11,074-194,TRUE,0.29
Large,11,none,FALSE,8.552631578947369e-4
Large,12,074-194,TRUE,0.02
Large,12,none,FALSE,9.86842105263158e-4
Large,13,074-194,TRUE,0.11
Large,13,none,FALSE,0.0017105263157894738
Large,14,194-D05,TRUE,0.02
Large,14,194-PCB,TRUE,0.01
Large,14,PCB-D05,TRUE,0.02
Large,14,none,FALSE,0.0012666666666666666
Large,15,194-D05,TRUE,0.11
Large,15,194-PCB,TRUE,0.08
Large,15,PCB-D05,TRUE,0.04
Large,15,none,FALSE,0.0028
Large,16,194-D05,TRUE,0.01
Large,16,194-PCB,TRUE,0
Large,16,PCB-D05,TRUE,0
Large,16,none,FALSE,9.333333333333333e-4
Large,17,194-D05,TRUE,0.05
Large,17,194-PCB,TRUE,0.07
Large,17,PCB-D05,TRUE,0.02
Large,17,none,FALSE,0.0016666666666666668
Small,1,none,FALSE,6.5359477124183e-4
Small,2,194-D05,TRUE,0
Small,2,none,FALSE,2.631578947368421e-4
Small,3,194-D05,TRUE,0.01
Small,3,none,FALSE,7.894736842105263e-4
Small,4,194-D05,TRUE,0.01
Small,4,none,FALSE,5.263157894736842e-4
Small,5,194-D05,TRUE,0.04
Small,5,none,FALSE,0.00125
Small,6,F03-F08,TRUE,0.01
Small,6,none,FALSE,5.263157894736842e-4
Small,7,F03-F08,TRUE,0
Small,7,none,FALSE,3.289473684210526e-4
Small,8,F03-F08,TRUE,0
Small,8,none,FALSE,5.263157894736842e-4
Small,9,F03-F08,TRUE,0.01
Small,9,none,FALSE,9.86842105263158e-4
Small,10,074-194,TRUE,0
Small,10,none,FALSE,5.921052631578948e-4
Small,11,074-194,TRUE,0
Small,11,none,FALSE,8.552631578947369e-4
Small,12,074-194,TRUE,0
Small,12,none,FALSE,5.921052631578948e-4
Small,13,074-194,TRUE,0
Small,13,none,FALSE,0.0010526315789473684
Small,14,194-D05,TRUE,0.01
Small,14,194-PCB,TRUE,0
Small,14,PCB-D05,TRUE,0
Small,14,none,FALSE,7.333333333333333e-4
Small,15,194-D05,TRUE,0
Small,15,194-PCB,TRUE,0.01
Small,15,PCB-D05,TRUE,0
Small,15,none,FALSE,6e-4
Small,16,194-D05,TRUE,0
Small,16,194-PCB,TRUE,0
Small,16,PCB-D05,TRUE,0
Small,16,none,FALSE,6e-4
Small,17,194-D05,TRUE,0
Small,17,194-PCB,TRUE,0
Small,17,PCB-D05,TRUE,0
Small,17,none,FALSE,2.666666666666667e-4
