mod,case,size,var,sign,sensitivity
Naive MLR,1,Large,074,TRUE,0.36
Naive MLR,1,Large,099,FALSE,0.05
Naive MLR,1,Large,118,FALSE,0.02
Naive MLR,1,Large,138,FALSE,0.08
Naive MLR,1,Large,153,FALSE,0.09
Naive MLR,1,Large,170,FALSE,0.05
Naive MLR,1,Large,180,FALSE,0.04
Naive MLR,1,Large,187,FALSE,0.06
Naive MLR,1,Large,194,TRUE,0.48
Naive MLR,1,Large,D03,FALSE,0.1
Naive MLR,1,Large,D05,TRUE,0.71
Naive MLR,1,Large,D07,FALSE,0.08
Naive MLR,1,Large,F03,FALSE,0.08
Naive MLR,1,Large,F04,TRUE,0.06
Naive MLR,1,Large,F05,FALSE,0.01
Naive MLR,1,Large,F08,FALSE,0.05
Naive MLR,1,Large,HXC,FALSE,0.06
Naive MLR,1,Large,PCB,TRUE,0.33
Naive MLR,1,Small,074,TRUE,0.13
Naive MLR,1,Small,099,FALSE,0.05
Naive MLR,1,Small,118,FALSE,0.04
Naive MLR,1,Small,138,FALSE,0.07
Naive MLR,1,Small,153,FALSE,0.11
Naive MLR,1,Small,170,FALSE,0.08
Naive MLR,1,Small,180,FALSE,0.05
Naive MLR,1,Small,187,FALSE,0.08
Naive MLR,1,Small,194,TRUE,0.16
Naive MLR,1,Small,D03,FALSE,0.07
Naive MLR,1,Small,D05,TRUE,0.21
Naive MLR,1,Small,D07,FALSE,0.05
Naive MLR,1,Small,F03,FALSE,0.02
Naive MLR,1,Small,F04,TRUE,0.08
Naive MLR,1,Small,F05,FALSE,0.06
Naive MLR,1,Small,F08,FALSE,0.06
Naive MLR,1,Small,HXC,FALSE,0.08
Naive MLR,1,Small,PCB,TRUE,0.12
Naive MLR,2,Large,074,TRUE,0.49
Naive MLR,2,Large,099,FALSE,0.06
Naive MLR,2,Large,118,FALSE,0.07
Naive MLR,2,Large,138,FALSE,0.04
Naive MLR,2,Large,153,FALSE,0.06
Naive MLR,2,Large,170,FALSE,0.02
Naive MLR,2,Large,180,FALSE,0.04
Naive MLR,2,Large,187,FALSE,0.04
Naive MLR,2,Large,194,TRUE,0.45
Naive MLR,2,Large,D03,FALSE,0.08
Naive MLR,2,Large,D05,TRUE,0.62
Naive MLR,2,Large,D07,FALSE,0.07
Naive MLR,2,Large,F03,FALSE,0.04
Naive MLR,2,Large,F04,TRUE,0.09
Naive MLR,2,Large,F05,FALSE,0.09
Naive MLR,2,Large,F08,FALSE,0.03
Naive MLR,2,Large,HXC,FALSE,0.05
Naive MLR,2,Large,PCB,TRUE,0.27
Naive MLR,2,Small,074,TRUE,0.17
Naive MLR,2,Small,099,FALSE,0.04
Naive MLR,2,Small,118,FALSE,0.07
Naive MLR,2,Small,138,FALSE,0.03
Naive MLR,2,Small,153,FALSE,0.05
