mod,case,size,var,variable,sensitivity
Oracle MLR,2,Large,074,074,0.86
Oracle MLR,2,Large,194*,194*,0.335
Oracle MLR,2,Large,D05,D05,0.87
Oracle MLR,2,Large,F04,F04,0.33
Oracle MLR,2,Large,F04^2,F04^2,0.96
Oracle MLR,2,Large,LBXD05LA:LBX194LA,Int,0.48
Oracle MLR,2,Small,074,074,0.22
Oracle MLR,2,Small,194*,194*,0.13
Oracle MLR,2,Small,D05,D05,0.26
Oracle MLR,2,Small,F04,F04,0.09
Oracle MLR,2,Small,F04^2,F04^2,0.52
Oracle MLR,2,Small,LBXD05LA:LBX194LA,Int,0.15
Oracle MLR,3,Large,074,074,0.74
Oracle MLR,3,Large,194*,194*,0.51
Oracle MLR,3,Large,D05,D05,0.84
Oracle MLR,3,Large,F04,F04,0.35
Oracle MLR,3,Large,F04^2,F04^2,0.97
Oracle MLR,3,Large,LBXD05LA:LBX194LA,Int,0.97
Oracle MLR,3,Small,074,074,0.27
Oracle MLR,3,Small,194*,194*,0.2325
Oracle MLR,3,Small,D05,D05,0.32
Oracle MLR,3,Small,F04,F04,0.15
Oracle MLR,3,Small,F04^2,F04^2,0.43
Oracle MLR,3,Small,LBXD05LA:LBX194LA,Int,0.51
Oracle MLR,4,Large,074,074,0.79
Oracle MLR,4,Large,194*,194*,0.66
Oracle MLR,4,Large,D05,D05,0.63
Oracle MLR,4,Large,F04,F04,0.3
Oracle MLR,4,Large,F04^2,F04^2,0.98
Oracle MLR,4,Large,I(LBXD05LA * ((LBX194LA - 1)^2)),Int,0.52
Oracle MLR,4,Small,074,074,0.21
Oracle MLR,4,Small,194*,194*,0.28
Oracle MLR,4,Small,D05,D05,0.19
Oracle MLR,4,Small,F04,F04,0.08
Oracle MLR,4,Small,F04^2,F04^2,0.51
Oracle MLR,4,Small,I(LBXD05LA * ((LBX194LA - 1)^2)),Int,0.22
Oracle MLR,5,Large,074,074,0.83
Oracle MLR,5,Large,194*,194*,0.7933333333333333
Oracle MLR,5,Large,D05,D05,0.67
Oracle MLR,5,Large,F04,F04,0.3
Oracle MLR,5,Large,F04^2,F04^2,1
Oracle MLR,5,Large,I(LBXD05LA * ((LBX194LA - 1)^2)),Int,0.97
Oracle MLR,5,Small,074,074,0.34
Oracle MLR,5,Small,194*,194*,0.3566666666666667
Oracle MLR,5,Small,D05,D05,0.21
Oracle MLR,5,Small,F04,F04,0.08
Oracle MLR,5,Small,F04^2,F04^2,0.59
Oracle MLR,5,Small,I(LBXD05LA * ((LBX194LA - 1)^2)),Int,0.51
Oracle MLR,6,Large,074,074,0.81
Oracle MLR,6,Large,194*,194*,0.66
