var,p,case
(Intercept),1.669016646826685e-6,1
LBX074LA,0.04586552154183356,1
LBX099LA,0.7540290864968284,1
LBX138LA,0.0880337421995327,1
LBX153LA,0.06164378805982161,1
LBX170LA,0.6525403810183703,1
LBX180LA,0.5550230652872149,1
LBX187LA,0.9768728159249703,1
LBX194LA,0.05530199936194278,1
LBXPCBLA,0.5720699672402203,1
LBXHXCLA,0.5940897346161329,1
LBX118LA,0.581284223375605,1
LBXD03LA,0.29114635881422263,1
LBXD05LA,0.01255774698787681,1
LBXD07LA,0.519539302042545,1
LBXF03LA,0.9472885173619976,1
LBXF04LA,0.8719195158324675,1
LBXF05LA,0.9719800216464418,1
LBXF08LA,0.6756663956339316,1
BMXBMI,0.02102292945880738,1
LBXCOT,0.6733950586547939,1
LBXWBCSI,0.10404829718276724,1
LBXLYPCT,0.8944725555007617,1
LBXMOPCT,0.37377718033219476,1
LBXNEPCT,0.5112216052273273,1
LBXEOPCT,0.452043502001125,1
LBXBAPCT,0.925460757315706,1
RIDAGEYR,0.08686166187499972,1
RIAGENDR1,0.2974967586930498,1
RIDRETH12,0.07823029059803403,1
RIDRETH13,0.005795178561174138,1
RIDRETH14,0.20194153037431872,1
RIDRETH15,0.3645181972529221,1
DMDEDUC22,0.3903046715176396,1
DMDEDUC23,0.3309445781773048,1
DMDEDUC24,0.5286012595187065,1
DMDEDUC25,0.9313524242016454,1
(Intercept),0.001199734869218865,2
LBX074LA,0.12401737661504658,2
LBX099LA,0.7549907154428631,2
LBX138LA,0.9331101548914169,2
LBX153LA,0.708913710391833,2
LBX170LA,0.7286194887651327,2
LBX180LA,0.20798293832664816,2
LBX187LA,0.27373065230261073,2
LBX194LA,0.04607650686139856,2
LBXPCBLA,2.6036488568761696e-4,2
LBXHXCLA,0.544198820120482,2
LBX118LA,0.8748772322832689,2
LBXD03LA,0.02263546829028374,2
LBXD05LA,0.02938070837183509,2
LBXD07LA,0.8017789713509657,2
LBXF03LA,0.31476730091303945,2
LBXF04LA,0.7261492180228175,2
LBXF05LA,0.082642476140723,2
LBXF08LA,0.6190347079119867,2
BMXBMI,0.6285390749402471,2
LBXCOT,0.48344452752626466,2
LBXWBCSI,0.4803997334076089,2
LBXLYPCT,0.443829267918435,2
LBXMOPCT,0.1593486147437852,2
LBXNEPCT,0.9109134875013625,2
LBXEOPCT,0.670296130708463,2
LBXBAPCT,0.2031711042911486,2
RIDAGEYR,2.6310609062406206e-4,2
RIAGENDR1,0.5100987470826308,2
RIDRETH12,0.01973415221155886,2
RIDRETH13,0.541139921882456,2
RIDRETH14,0.27997700920299134,2
RIDRETH15,0.4675523311767219,2
DMDEDUC22,0.5097136292713427,2
DMDEDUC23,0.07353333693758558,2
DMDEDUC24,0.9104772769851746,2
DMDEDUC25,0.9981231960617942,2
(Intercept),0.029854640393479435,3
LBX074LA,0.12894825604146942,3
LBX099LA,0.21880252532936423,3
LBX138LA,0.23954597063521543,3
LBX153LA,0.4254305694778526,3
LBX170LA,0.702560794155797,3
LBX180LA,0.13356204863453694,3
LBX187LA,0.17630894988841628,3
LBX194LA,0.46920596226333455,3
LBXPCBLA,0.6958060468188569,3
LBXHXCLA,0.08741232190577514,3
LBX118LA,0.7672914503223589,3
LBXD03LA,0.04241300030787812,3
LBXD05LA,0.006077107166401418,3
LBXD07LA,0.4320242088677987,3
LBXF03LA,0.1767998053406291,3
LBXF04LA,0.3074692011863609,3
LBXF05LA,0.04084460766272376,3
LBXF08LA,0.8665021776373838,3
BMXBMI,0.6988179595406443,3
LBXCOT,0.2548848541592264,3
LBXWBCSI,0.30581358798673675,3
LBXLYPCT,0.1294074881457807,3
LBXMOPCT,0.04699550397066366,3
LBXNEPCT,0.36346371586370463,3
LBXEOPCT,0.0275979018335073,3
LBXBAPCT,0.5843164750380068,3
RIDAGEYR,0.005823284269199592,3
RIAGENDR1,0.016442136084575672,3
RIDRETH12,0.870807342821937,3
RIDRETH13,0.35251497369271245,3
RIDRETH14,0.9806694624023646,3
RIDRETH15,0.7765924565839791,3
DMDEDUC22,0.777458492011196,3
DMDEDUC23,0.6922967744003161,3
DMDEDUC24,0.4894316691687094,3
DMDEDUC25,0.8164864567518475,3
(Intercept),2.769046787485642e-8,4
LBX074LA,0.027898921963544616,4
LBX099LA,0.32196609256337666,4
LBX138LA,0.7358798483321235,4
LBX153LA,0.4842817281368932,4
LBX170LA,0.1537877894249363,4
LBX180LA,0.5127211456808742,4
LBX187LA,0.6668784277068297,4
LBX194LA,0.1666383637237781,4
LBXPCBLA,0.17319190121835598,4
LBXHXCLA,0.05305350500507261,4
LBX118LA,0.6538675870698392,4
LBXD03LA,0.16042556623304569,4
LBXD05LA,2.066256666565658e-5,4
LBXD07LA,0.041896195499516786,4
LBXF03LA,0.2825529054165018,4
LBXF04LA,0.6944197760658681,4
LBXF05LA,0.41414007022261623,4
LBXF08LA,0.5112090523165491,4
BMXBMI,0.6900634314141696,4
LBXCOT,0.4212325634973153,4
LBXWBCSI,0.014324661189849777,4
LBXLYPCT,0.9958486313562014,4
LBXMOPCT,0.21891380902959576,4
LBXNEPCT,0.7045176751315689,4
LBXEOPCT,0.9083747360928429,4
LBXBAPCT,0.44852818417896745,4
RIDAGEYR,0.10526224357679538,4
RIAGENDR1,0.3779899415875482,4
RIDRETH12,0.1420816556912791,4
RIDRETH13,0.15144334225328826,4
RIDRETH14,0.3660629213469241,4
RIDRETH15,0.6194779338014671,4
DMDEDUC22,0.253881147548012,4
DMDEDUC23,0.35480504526151124,4
DMDEDUC24,0.47710605548141694,4
DMDEDUC25,0.3378234651922305,4
(Intercept),7.51446542490966e-6,5
LBX074LA,0.011287366277334024,5
LBX099LA,0.43751247473266963,5
LBX138LA,0.10491107287721839,5
LBX153LA,0.4747383935534827,5
LBX170LA,0.022298698525074656,5
LBX180LA,0.745779190852873,5
LBX187LA,0.002910112903695255,5
LBX194LA,0.1602090755853052,5
LBXPCBLA,0.061030930277078434,5
LBXHXCLA,0.196752395585641,5
LBX118LA,0.7919863124141383,5
LBXD03LA,0.530596673486456,5
LBXD05LA,0.24911008120409417,5
LBXD07LA,0.09461324723984732,5
LBXF03LA,0.576482518288143,5
LBXF04LA,0.013604652876639794,5
LBXF05LA,0.10592877678767758,5
LBXF08LA,0.8039698950223084,5
BMXBMI,0.3831681615327136,5
LBXCOT,0.698320174251694,5
LBXWBCSI,0.10056344238450303,5
LBXLYPCT,0.452160530542993,5
LBXMOPCT,0.7563604827926063,5
LBXNEPCT,0.3026914365677296,5
LBXEOPCT,0.9685629375134406,5
LBXBAPCT,0.8873837809168198,5
RIDAGEYR,0.33716974157832535,5
RIAGENDR1,0.9036903912979056,5
RIDRETH12,0.14970785470422684,5
RIDRETH13,0.04791204952994944,5
RIDRETH14,0.7668220593429801,5
RIDRETH15,0.22039961299068797,5
DMDEDUC22,0.5370852209740467,5
DMDEDUC23,0.7021174395373004,5
DMDEDUC24,0.8497938566532018,5
DMDEDUC25,0.4966878204102555,5
(Intercept),6.230859350265292e-5,6
LBX074LA,0.06965075272590876,6
LBX099LA,0.7462537397432087,6
LBX138LA,0.4920808939243625,6
LBX153LA,0.172573192241218,6
LBX170LA,0.5181375232476579,6
LBX180LA,0.7991505908020232,6
LBX187LA,0.3004525722662619,6
LBX194LA,0.01942397116174921,6
LBXPCBLA,0.7870169783887648,6
LBXHXCLA,0.13523814341644036,6
