var,p,case
(Intercept),2.603726481212511e-6,1
LBX074LA,0.3965257882368691,1
LBX099LA,0.4772852646309069,1
LBX138LA,0.9807449425500031,1
LBX153LA,0.36367712973529964,1
LBX170LA,0.39718065568662153,1
LBX180LA,0.7403209689622915,1
LBX187LA,0.5649898097579816,1
LBX194LA,0.08364400683762362,1
LBXPCBLA,0.4004355542634255,1
LBXHXCLA,0.9213409165317381,1
LBX118LA,0.4410494359467221,1
LBXD03LA,0.25803952402788843,1
LBXD05LA,0.4438838391364074,1
LBXD07LA,0.13882700069844747,1
LBXF03LA,0.4842242223009493,1
LBXF04LA,0.11231583385021877,1
LBXF05LA,0.7667956624565937,1
LBXF08LA,0.7228902756545188,1
BMXBMI,0.7104868459449981,1
LBXCOT,0.17356251084581714,1
LBXWBCSI,0.29766229661543114,1
LBXLYPCT,0.28949295758881965,1
LBXMOPCT,0.12361126863947337,1
LBXNEPCT,0.5275939842784851,1
LBXEOPCT,0.864272158771073,1
LBXBAPCT,0.9551315008344996,1
RIDAGEYR,0.0039993051396105634,1
RIAGENDR1,0.08946136983976088,1
RIDRETH12,0.19106010966010215,1
RIDRETH13,0.05022053888577575,1
RIDRETH14,0.6805134762493661,1
RIDRETH15,0.9853799420196842,1
DMDEDUC22,0.4110927468613771,1
DMDEDUC23,0.6692585118514409,1
DMDEDUC24,0.7943567764697309,1
DMDEDUC25,0.19558058963370226,1
(Intercept),6.753565735190469e-4,2
LBX074LA,0.12695035608689217,2
LBX099LA,0.9263354369239787,2
LBX138LA,0.2883349521730878,2
LBX153LA,0.40665169258549605,2
LBX170LA,0.4480240248186351,2
LBX180LA,0.5387289371405484,2
LBX187LA,0.8649001391409015,2
LBX194LA,0.15167305219391133,2
LBXPCBLA,0.5506131956491244,2
LBXHXCLA,0.5899281146860509,2
LBX118LA,0.8198269456544671,2
LBXD03LA,0.234275443519964,2
LBXD05LA,0.08990836568105014,2
LBXD07LA,0.9992861581933652,2
LBXF03LA,0.6357355886770084,2
LBXF04LA,0.8931664397346158,2
LBXF05LA,0.44970954257668694,2
LBXF08LA,0.6343540423667634,2
BMXBMI,0.15209692130704142,2
LBXCOT,0.011412100667539475,2
LBXWBCSI,0.10855766796810525,2
LBXLYPCT,0.6798960605625888,2
