var,p,case
(Intercept),0.022620054660926283,1
LBX074LA,0.109685196540018,1
LBX099LA,0.47446157590217986,1
LBX138LA,0.7927065513211125,1
LBX153LA,0.5743315186840138,1
LBX170LA,0.7797436288943626,1
LBX180LA,0.7045696461330625,1
LBX187LA,0.8923139947642112,1
LBX194LA,0.6841479905894051,1
LBXPCBLA,0.22703974399750224,1
LBXHXCLA,0.5683118122966416,1
LBX118LA,0.23454022191093393,1
LBXD03LA,0.16461112119703195,1
LBXD05LA,0.018695334940530692,1
LBXD07LA,0.2648764423461981,1
LBXF03LA,0.6278848354969564,1
LBXF04LA,0.19201759461671214,1
LBXF05LA,0.7823422001389533,1
LBXF08LA,0.3924821148182718,1
BMXBMI,0.5962760545682765,1
LBXCOT,0.4113081548443479,1
LBXWBCSI,0.546736909576279,1
LBXLYPCT,0.12783530177082636,1
LBXMOPCT,0.034267641737627086,1
LBXNEPCT,0.20926652684267982,1
LBXEOPCT,0.6040281585599065,1
LBXBAPCT,0.07414841179461418,1
RIDAGEYR,0.1196204482092603,1
RIAGENDR1,0.2620755539485458,1
RIDRETH12,0.20390961254626125,1
RIDRETH13,0.6007879917330432,1
RIDRETH14,0.42557185610817205,1
RIDRETH15,0.7629293528901806,1
DMDEDUC22,0.44022816952100796,1
DMDEDUC23,0.6222215584385475,1
DMDEDUC24,0.845683815320795,1
DMDEDUC25,0.8419881275801584,1
(Intercept),0.3069669150319799,2
LBX074LA,0.33683647531489536,2
LBX099LA,0.7267739023932396,2
LBX138LA,0.6172439149255069,2
LBX153LA,0.9420729234787781,2
LBX170LA,0.619197798770603,2
LBX180LA,0.527953655566473,2
LBX187LA,0.8701291078285777,2
LBX194LA,0.7917812659822707,2
LBXPCBLA,0.00863127325007881,2
LBXHXCLA,0.3928593659257439,2
LBX118LA,0.32315121312182826,2
LBXD03LA,0.23952125541997635,2
LBXD05LA,0.30596831756508996,2
LBXD07LA,0.050136257841865726,2
LBXF03LA,0.7953710703793595,2
LBXF04LA,0.5559241945974638,2
LBXF05LA,0.36071213191561413,2
LBXF08LA,0.07448273821945653,2
BMXBMI,0.4190597740325904,2
LBXCOT,0.8366072473338136,2
LBXWBCSI,0.09585619706394337,2
LBXLYPCT,0.07137742594401837,2
LBXMOPCT,0.6258803230008732,2
LBXNEPCT,0.06277711903058494,2
LBXEOPCT,0.20785021478763002,2
LBXBAPCT,0.5374427967407174,2
RIDAGEYR,0.11549776476172727,2
RIAGENDR1,0.05639736435434335,2
RIDRETH12,0.9291544251849537,2
RIDRETH13,0.44812752094447517,2
RIDRETH14,0.5533938769612957,2
RIDRETH15,0.8329360146887714,2
DMDEDUC22,0.2509408072973256,2
DMDEDUC23,0.7637687274072292,2
DMDEDUC24,0.5410478703326365,2
DMDEDUC25,0.7912443935232202,2
(Intercept),0.3138753506783922,3
LBX074LA,0.3464181093467189,3
LBX099LA,0.13116594953683677,3
LBX138LA,0.39284340213585833,3
LBX153LA,0.9222107259752508,3
LBX170LA,0.008520297282735682,3
LBX180LA,0.057822548893712904,3
LBX187LA,0.7709663925930744,3
LBX194LA,0.5809359559436391,3
LBXPCBLA,0.013961410462912053,3
LBXHXCLA,0.8544593529057594,3
LBX118LA,0.30467640525519657,3
LBXD03LA,0.7840350492692472,3
LBXD05LA,0.2592098923543982,3
LBXD07LA,0.9706780108140671,3
LBXF03LA,0.20343424763888962,3
LBXF04LA,0.7938681195512878,3
LBXF05LA,0.8269540727950502,3
LBXF08LA,0.9163482502151328,3
BMXBMI,0.13155648379899523,3
LBXCOT,0.7859614638033877,3
LBXWBCSI,0.915527404127578,3
LBXLYPCT,0.45810713622179344,3
LBXMOPCT,0.6004605448732594,3
LBXNEPCT,0.33975752416197813,3
LBXEOPCT,0.12208909749749391,3
LBXBAPCT,0.6027247074753287,3
RIDAGEYR,0.69145740996403,3
RIAGENDR1,0.4187116426601146,3
RIDRETH12,0.35392860076404276,3
RIDRETH13,0.7094954646395097,3
RIDRETH14,0.19992593595748043,3
RIDRETH15,0.5230577576924388,3
