var,p,case
(Intercept),0.010329701051281132,1
LBX074LA,0.23546927614573698,1
LBX099LA,0.26896091888285806,1
LBX138LA,0.5711174648100366,1
LBX153LA,0.15684473138018626,1
LBX170LA,0.731394070685716,1
LBX180LA,0.40068666851363144,1
LBX187LA,0.7278569383619793,1
LBX194LA,0.7773352585987481,1
LBXPCBLA,0.08511315113955853,1
LBXHXCLA,0.9608691546957211,1
LBX118LA,0.647101757106775,1
LBXD03LA,0.2209004550771578,1
LBXD05LA,0.28900908543778736,1
LBXD07LA,0.6365680200400637,1
LBXF03LA,0.5501744626247955,1
LBXF04LA,0.943398729981203,1
LBXF05LA,0.51507809967095,1
LBXF08LA,0.7221739432666555,1
BMXBMI,0.7634119270321393,1
LBXCOT,0.9369749560442637,1
LBXWBCSI,0.021473427582026493,1
LBXLYPCT,0.47864188061922586,1
LBXMOPCT,0.4391516064443768,1
LBXNEPCT,0.4634966942899069,1
LBXEOPCT,0.786378193112262,1
LBXBAPCT,0.09413202239902847,1
RIDAGEYR,0.05965445619343791,1
RIAGENDR1,0.3721643854932398,1
RIDRETH12,0.6605000381686255,1
RIDRETH13,0.6629877584397368,1
RIDRETH14,0.7255058722486674,1
RIDRETH15,0.07527391670968205,1
DMDEDUC22,0.8799245037457537,1
DMDEDUC23,0.4025468610995222,1
DMDEDUC24,0.3938369056947786,1
DMDEDUC25,0.47920090065822396,1
(Intercept),0.14050693874388517,2
LBX074LA,0.06260712083189658,2
LBX099LA,0.6131149653889991,2
LBX138LA,0.8378437344051073,2
LBX153LA,0.3863688454312908,2
LBX170LA,0.07046885703541286,2
LBX180LA,0.09435201498995534,2
LBX187LA,0.7887925074705984,2
LBX194LA,0.24032134390416113,2
LBXPCBLA,0.3977615325409196,2
LBXHXCLA,0.6220711924127427,2
LBX118LA,0.916207220506096,2
LBXD03LA,0.3424352466617392,2
LBXD05LA,0.572778674013438,2
LBXD07LA,0.3422213734109495,2
LBXF03LA,0.9542112814232924,2
LBXF04LA,0.7683786644660102,2
LBXF05LA,0.46257543788967315,2
LBXF08LA,0.39490194530065736,2
BMXBMI,0.83092930469690085,2
LBXCOT,0.9340742532005347,2
LBXWBCSI,0.006177842978781746,2
LBXLYPCT,0.012905397060244185,2
LBXMOPCT,0.017258150993793204,2
LBXNEPCT,0.021743822266155184,2
LBXEOPCT,0.6017807076824802,2
LBXBAPCT,0.6601074114815539,2
RIDAGEYR,0.007167852670027445,2
RIAGENDR1,0.5041826311345681,2
RIDRETH12,0.1371820174159285,2
RIDRETH13,0.4819371361782655,2
RIDRETH14,0.5183127481351271,2
RIDRETH15,0.3299060839826752,2
DMDEDUC22,0.6905699917361217,2
DMDEDUC23,0.5065164983367758,2
DMDEDUC24,0.8114855886366518,2
DMDEDUC25,0.6597291320197576,2
(Intercept),0.687259747669902,3
LBX074LA,0.8519630379892377,3
LBX099LA,0.4861337566878853,3
LBX138LA,0.04361052612011255,3
LBX153LA,0.08043146342596566,3
LBX170LA,0.2272097932119713,3
LBX180LA,0.8654984757713996,3
LBX187LA,0.2680256775120859,3
LBX194LA,0.34989785391015416,3
LBXPCBLA,0.7526956513580028,3
LBXHXCLA,0.6117050890170904,3
LBX118LA,0.49022553687272075,3
LBXD03LA,0.2844540311532381,3
LBXD05LA,0.8589077790667755,3
LBXD07LA,0.8672725228729746,3
LBXF03LA,0.5421381449213254,3
LBXF04LA,0.8874269977220004,3
LBXF05LA,0.34264292804741603,3
LBXF08LA,0.009406035137970415,3
BMXBMI,0.9130036395555918,3
LBXCOT,0.6772523000264739,3
LBXWBCSI,0.056943889055639935,3
LBXLYPCT,0.1746873378764504,3
LBXMOPCT,0.47357602706502255,3
LBXNEPCT,0.24471992114065494,3
LBXEOPCT,0.0241230111574513,3
LBXBAPCT,0.701749353410431,3
RIDAGEYR,0.06784082330135116,3
RIAGENDR1,0.7239671970334721,3
RIDRETH12,0.3038087127270117,3
RIDRETH13,0.8709374266803547,3
RIDRETH14,0.23027900155990993,3
RIDRETH15,0.6818546221811173,3
DMDEDUC22,0.15216042800574778,3
DMDEDUC23,0.6044045532810259,3
DMDEDUC24,0.34155426046841275,3
DMDEDUC25,0.09470689129059975,3
(Intercept),0.024177174775393655,4
LBX074LA,0.3320460580368345,4
LBX099LA,0.7000212521279875,4
LBX138LA,0.12235404190875909,4
LBX153LA,0.12311540056228086,4
LBX170LA,0.9277827495508882,4
LBX180LA,0.1784810047598643,4
LBX187LA,0.9296238350740215,4
LBX194LA,0.10756383254340822,4
LBXPCBLA,0.03923115823246549,4
LBXHXCLA,0.19479213739249482,4
LBX118LA,0.1317607899075798,4
LBXD03LA,0.81342819997338,4
LBXD05LA,0.06253961540239217,4
LBXD07LA,0.8633067575273132,4
LBXF03LA,0.48994196614222674,4
LBXF04LA,0.2716125419483136,4
LBXF05LA,0.3467372998472319,4
LBXF08LA,0.6329676333140423,4
BMXBMI,0.8477703169360467,4
LBXCOT,0.665461222513384,4
LBXWBCSI,0.11615206357840199,4
LBXLYPCT,0.6219115854883038,4
LBXMOPCT,0.22671470537940175,4
LBXNEPCT,0.5299664678246332,4
LBXEOPCT,0.23732791047514362,4
LBXBAPCT,0.8322230821292546,4
RIDAGEYR,0.3392046834224568,4
RIAGENDR1,0.7171215772843418,4
RIDRETH12,0.8501445601581429,4
RIDRETH13,0.5497653067578271,4
RIDRETH14,0.8791163475165255,4
RIDRETH15,0.8026086871643225,4
DMDEDUC22,0.04148508847830281,4
DMDEDUC23,0.21786330708755142,4
DMDEDUC24,0.023306541197704922,4
DMDEDUC25,0.36128224010649124,4
(Intercept),0.017262090729474502,5
LBX074LA,0.4974770798223137,5
LBX099LA,0.9400762014354989,5
LBX138LA,0.9426052445994586,5
LBX153LA,0.38877134435822014,5
LBX170LA,0.6284166055932698,5
LBX180LA,0.8760557310262322,5
LBX187LA,0.6624195556135157,5
LBX194LA,0.43859493999153665,5
LBXPCBLA,0.6493448632257688,5
LBXHXCLA,0.218748569225452,5
LBX118LA,0.25726317138217997,5
LBXD03LA,0.5528843617409872,5
LBXD05LA,0.14016451472866537,5
LBXD07LA,0.8333556296358586,5
LBXF03LA,0.6070081363639126,5
LBXF04LA,0.22616162773321863,5
LBXF05LA,0.8475011898861917,5
LBXF08LA,0.9277704716971891,5
BMXBMI,0.7433629202113723,5
LBXCOT,0.34339650338737104,5
LBXWBCSI,0.6220426109768549,5
LBXLYPCT,0.9690461143800543,5
LBXMOPCT,0.8833898935238909,5
LBXNEPCT,0.8403602630273506,5
LBXEOPCT,0.8904762524925174,5
LBXBAPCT,0.8825219944323075,5
RIDAGEYR,0.34954244056268935,5
RIAGENDR1,0.4797957301646648,5
RIDRETH12,0.1529860111879192,5
RIDRETH13,0.2238277893133581,5
RIDRETH14,0.37613648875758443,5
RIDRETH15,0.3321159150660735,5
DMDEDUC22,0.6296414270750379,5
DMDEDUC23,0.9648585581634552,5
DMDEDUC24,0.8988659259157545,5
DMDEDUC25,0.9421466442770383,5
(Intercept),0.00518344519828996,6
LBX074LA,0.2652574621375495,6
LBX099LA,0.7991730544254562,6
LBX138LA,0.7537580008551048,6
LBX153LA,0.7082639945210989,6
LBX170LA,0.9239893768467978,6
LBX180LA,0.8524411411612587,6
LBX187LA,0.19929854870543023,6
LBX194LA,0.35947425190630866,6
LBXPCBLA,0.03086060149717773,6
LBXHXCLA,0.574029220208898,6
LBX118LA,0.7091252224828206,6
LBXD03LA,0.522167228133228,6
LBXD05LA,0.207352255648143,6
LBXD07LA,0.7178374858985805,6
LBXF03LA,0.4596103950616647,6
LBXF04LA,0.9725565780319594,6
LBXF05LA,0.18501438850302424,6
LBXF08LA,0.13386936361729906,6
BMXBMI,0.036655384932823463,6
LBXCOT,0.23153408729019834,6
LBXWBCSI,0.5110228161307087,6
LBXLYPCT,0.7698605836675266,6
LBXMOPCT,0.7585216821086329,6
LBXNEPCT,0.7310739733104025,6
LBXEOPCT,0.6070439757850703,6
LBXBAPCT,0.5460696785323164,6
RIDAGEYR,0.596920539200464,6
RIAGENDR1,0.8159052939578484,6
RIDRETH12,0.26954666619039425,6
RIDRETH13,0.0859736956508094,6
RIDRETH14,0.07754263952209293,6
RIDRETH15,0.8732734158443769,6
DMDEDUC22,0.13887134388564532,6
DMDEDUC23,0.015322025815901726,6
DMDEDUC24,0.27955239985557595,6
DMDEDUC25,0.005380020937886684,6
(Intercept),0.004368618198171943,7
LBX074LA,0.49617082645070565,7
LBX099LA,0.057437844330601916,7
LBX138LA,0.20586529329017675,7
LBX153LA,0.25906959581388594,7
LBX170LA,0.015497710428869188,7
LBX180LA,0.03047833658744576,7
LBX187LA,0.13023861031393474,7
LBX194LA,0.48734787781840005,7
LBXPCBLA,0.970156092353661,7
LBXHXCLA,0.7308568840503242,7
LBX118LA,0.5984468304392865,7
LBXD03LA,0.7160181768410403,7
LBXD05LA,0.295647755261526,7
LBXD07LA,0.9099652130531779,7
LBXF03LA,0.03848226089387661,7
LBXF04LA,0.026473674067264502,7
LBXF05LA,0.007909255652927119,7
LBXF08LA,0.5875622859380046,7
BMXBMI,0.2668863840620761,7
LBXCOT,0.034750616239340164,7
LBXWBCSI,0.4789732570251095,7
LBXLYPCT,0.1755522112491408,7
LBXMOPCT,0.780043164057495,7
LBXNEPCT,0.277611261710108,7
LBXEOPCT,0.6539637142867032,7
LBXBAPCT,0.14914377178022467,7
RIDAGEYR,0.18553910075768015,7
RIAGENDR1,0.9244000936114202,7
RIDRETH12,0.9696580746040799,7
RIDRETH13,0.9837739677495727,7
RIDRETH14,0.445603392188331,7
RIDRETH15,0.13281708535225958,7
DMDEDUC22,0.2077039025792006,7
DMDEDUC23,0.6405345090383117,7
DMDEDUC24,0.5878525239284108,7
DMDEDUC25,0.8955264819224733,7
(Intercept),0.4947310826970013,8
LBX074LA,0.9743376553975956,8
LBX099LA,0.6556713256896891,8
LBX138LA,0.4734058877251526,8
LBX153LA,0.43788535933895123,8
LBX170LA,0.7396644056822744,8
LBX180LA,0.6966518308245372,8
LBX187LA,0.4305113924071807,8
LBX194LA,0.27836904749030317,8
LBXPCBLA,0.5999432270737288,8
LBXHXCLA,0.7169174206423943,8
LBX118LA,0.5619421414322582,8
LBXD03LA,0.4489973460687142,8
LBXD05LA,0.28771422376535377,8
LBXD07LA,0.8581720976389716,8
LBXF03LA,0.17204937810673063,8
LBXF04LA,0.39549760518377475,8
LBXF05LA,0.8395825170185082,8
LBXF08LA,0.12881607768823242,8
BMXBMI,0.3906895331717487,8
LBXCOT,0.8986417072301072,8
LBXWBCSI,0.5841528187974614,8
LBXLYPCT,0.8007401542343623,8
LBXMOPCT,0.6202726673918757,8
LBXNEPCT,0.9915130163618026,8
LBXEOPCT,0.22196562462742675,8
LBXBAPCT,0.7023440108638622,8
RIDAGEYR,0.14035113269471858,8
RIAGENDR1,0.7769505695602349,8
RIDRETH12,0.8154026094136521,8
RIDRETH13,0.9980708381733037,8
RIDRETH14,0.7516930603302202,8
RIDRETH15,0.9524105053494872,8
DMDEDUC22,0.05421907250189516,8
DMDEDUC23,0.8032925774929014,8
DMDEDUC24,0.7038396020782691,8
DMDEDUC25,0.29088565454138754,8
(Intercept),0.013882336080118685,9
LBX074LA,0.731523839889715,9
LBX099LA,0.9840987515684578,9
LBX138LA,0.5464960487061546,9
LBX153LA,0.875120999517331,9
LBX170LA,0.27835120302395455,9
LBX180LA,0.8526367201298741,9
LBX187LA,0.06468551115421776,9
LBX194LA,0.9867178849551497,9
LBXPCBLA,0.7881101408032858,9
LBXHXCLA,0.7118315408043705,9
LBX118LA,0.4562165676739045,9
LBXD03LA,0.3963061991893121,9
LBXD05LA,0.5756489160575626,9
LBXD07LA,0.6033361522673111,9
LBXF03LA,0.49747697145275593,9
LBXF04LA,0.014476371718876004,9
LBXF05LA,0.3709050400321243,9
LBXF08LA,0.22601241653885423,9
BMXBMI,0.26363614338697433,9
LBXCOT,0.27974296390823844,9
LBXWBCSI,0.7936553121652827,9
LBXLYPCT,0.5739265567415017,9
LBXMOPCT,0.6211557025639827,9
LBXNEPCT,0.6175720199548963,9
LBXEOPCT,0.3960731075687668,9
LBXBAPCT,0.17711933364841678,9
RIDAGEYR,0.07935309664957772,9
RIAGENDR1,0.3590901375991441,9
RIDRETH12,0.3379952743867305,9
RIDRETH13,0.6883653481430123,9
RIDRETH14,0.7961133386614104,9
RIDRETH15,0.1526056777778236,9
DMDEDUC22,0.6483875751505727,9
DMDEDUC23,0.18616782074378513,9
DMDEDUC24,0.7936677211416686,9
DMDEDUC25,0.287694609522206,9
(Intercept),0.047518846998953555,10
LBX074LA,0.7293024826876665,10
LBX099LA,0.7181149755848298,10
LBX138LA,0.7192959758050033,10
LBX153LA,0.4072547463121242,10
LBX170LA,0.5764567212610651,10
LBX180LA,0.09684887077259524,10
LBX187LA,0.8643506012636619,10
LBX194LA,0.2762430839870569,10
LBXPCBLA,0.4103213163874623,10
LBXHXCLA,0.8961932795971993,10
LBX118LA,0.42405638179297256,10
LBXD03LA,0.33327217004061904,10
LBXD05LA,0.15997026882545898,10
LBXD07LA,0.8961022750273269,10
LBXF03LA,0.7945531008271978,10
LBXF04LA,0.09130873200235673,10
LBXF05LA,0.6747812376917819,10
LBXF08LA,0.886229085324616,10
BMXBMI,0.3896986841981004,10
LBXCOT,0.428309617572193,10
LBXWBCSI,0.620572708503363,10
LBXLYPCT,0.3617152224748822,10
LBXMOPCT,0.3193845628103664,10
LBXNEPCT,0.23974407252707194,10
LBXEOPCT,0.669762057633452,10
LBXBAPCT,0.9373883904657726,10
RIDAGEYR,0.06697983383311724,10
RIAGENDR1,0.9489165552503527,10
RIDRETH12,0.30638995489885484,10
RIDRETH13,0.571317203544301,10
RIDRETH14,0.4778766033709073,10
RIDRETH15,0.9349488906344162,10
DMDEDUC22,0.8964431589593953,10
DMDEDUC23,0.7391013571422712,10
DMDEDUC24,0.7975267992491482,10
DMDEDUC25,0.7613089145669217,10
(Intercept),0.002270777659343124,11
LBX074LA,0.5096922215762031,11
LBX099LA,0.3125632861643717,11
LBX138LA,0.90497239501986,11
LBX153LA,0.7068984136142149,11
LBX170LA,0.6196128944089864,11
LBX180LA,0.8298363549034196,11
LBX187LA,0.6261621490650335,11
LBX194LA,0.44757570482557807,11
LBXPCBLA,0.2418390031298858,11
LBXHXCLA,0.316587134545775,11
LBX118LA,0.15813072254897884,11
LBXD03LA,0.6839845041448256,11
LBXD05LA,0.13860442290532596,11
LBXD07LA,0.9261579693059416,11
LBXF03LA,0.19315580380096004,11
LBXF04LA,0.44956523621706324,11
LBXF05LA,0.974656544223462,11
LBXF08LA,0.14898611760694336,11
BMXBMI,0.5775347471029497,11
LBXCOT,0.08345845028927816,11
LBXWBCSI,0.19532823392903567,11
LBXLYPCT,0.07091737645218885,11
LBXMOPCT,0.08269658746505087,11
LBXNEPCT,0.02782598717395794,11
LBXEOPCT,0.0783849775074956,11
LBXBAPCT,0.2663184211484357,11
