var,p,case
(Intercept),0.05213156972541811,1
LBXD05LA,6.431902431475112e-4,1
LBX074LA,6.659775705163751e-5,1
I(1/(1 + exp(-4 * LBX194LA))),4.768684936826015e-6,1
I(1/(1 + exp(-4 * LBXPCBLA))),0.10535906882492219,1
I(LBXF04LA^2),0.001991828097716366,1
LBXF04LA,0.8347993394831527,1
BMXBMI,0.06785926898460257,1
LBXCOT,0.538886948240271,1
LBXWBCSI,0.09712512181049451,1
LBXLYPCT,0.7985231160931867,1
LBXMOPCT,0.3052176861994044,1
LBXNEPCT,0.7390183633221914,1
LBXEOPCT,0.6297065100210626,1
LBXBAPCT,0.7969573623770919,1
RIDAGEYR,0.04225144898354063,1
RIAGENDR1,0.27975695068503026,1
RIDRETH12,0.07164605211440746,1
RIDRETH13,0.006687102928089533,1
RIDRETH14,0.23968635302052824,1
RIDRETH15,0.3142599053399122,1
DMDEDUC22,0.41689795920545136,1
DMDEDUC23,0.3211812066702973,1
DMDEDUC24,0.4438771530493908,1
DMDEDUC25,0.8802566052433489,1
(Intercept),0.8128271243405141,2
LBXD05LA,2.7924182126453625e-4,2
LBX074LA,0.05873537790317027,2
I(1/(1 + exp(-4 * LBX194LA))),0.0018950639844829537,2
I(1/(1 + exp(-4 * LBXPCBLA))),6.448211332154907e-6,2
I(LBXF04LA^2),1.2885522093285954e-7,2
LBXF04LA,0.7760876246046456,2
BMXBMI,0.5867764227891321,2
LBXCOT,0.5341700021017604,2
LBXWBCSI,0.6886733775070875,2
LBXLYPCT,0.16114728625992203,2
LBXMOPCT,0.029343551437973785,2
LBXNEPCT,0.43828491717309503,2
LBXEOPCT,0.8298798289073437,2
LBXBAPCT,0.19655449534443176,2
RIDAGEYR,3.0824430761336515e-6,2
RIAGENDR1,0.626920751613177,2
RIDRETH12,0.0208869771182293,2
RIDRETH13,0.40834220871764704,2
RIDRETH14,0.4676220289123475,2
RIDRETH15,0.3068345292435324,2
DMDEDUC22,0.46292363852528884,2
DMDEDUC23,0.06758821466538625,2
DMDEDUC24,0.8273758518962362,2
DMDEDUC25,0.7403176903154386,2
(Intercept),0.20949452270410815,3
LBXD05LA,0.0020868234601517485,3
LBX074LA,8.478081133876983e-4,3
I(1/(1 + exp(-4 * LBX194LA))),0.021087565536690635,3
I(1/(1 + exp(-4 * LBXPCBLA))),0.2745847205839594,3
I(LBXF04LA^2),4.579894817822067e-6,3
LBXF04LA,0.09706024990914532,3
BMXBMI,0.675736539526476,3
LBXCOT,0.24801428792111027,3
