var,p,case
(Intercept),0.05557920412850466,1
LBXD05LA,0.037585990468660006,1
LBX074LA,0.09512693679724307,1
I(1/(1 + exp(-4 * LBX194LA))),4.5660812388702255e-5,1
I(1/(1 + exp(-4 * LBXPCBLA))),0.03859287565840503,1
I(LBXF04LA^2),2.72190978616711e-4,1
LBXF04LA,0.044226359116732505,1
I(LBXD05LA * (RIDRETH1 == 4)),0.7991495367574317,1
BMXBMI,0.7761200628517658,1
LBXCOT,0.11848497262939404,1
LBXWBCSI,0.4875896098069582,1
LBXLYPCT,0.26228025255433757,1
LBXMOPCT,0.14647148213141006,1
LBXNEPCT,0.4988726154650712,1
LBXEOPCT,0.928362622403716,1
LBXBAPCT,0.9075565061673263,1
RIDAGEYR,7.503042574824499e-4,1
RIAGENDR1,0.23238748124895353,1
RIDRETH12,0.2070424840551885,1
RIDRETH13,0.022945395942106164,1
RIDRETH14,0.4615443784187001,1
RIDRETH15,0.9584056579160007,1
DMDEDUC22,0.4398774995845882,1
DMDEDUC23,0.7079838454854889,1
DMDEDUC24,0.831665164080887,1
DMDEDUC25,0.14236112631093636,1
(Intercept),0.2760482643307465,2
LBXD05LA,0.008189544209342075,2
LBX074LA,0.052503872446747736,2
I(1/(1 + exp(-4 * LBX194LA))),2.5827700922941455e-4,2
I(1/(1 + exp(-4 * LBXPCBLA))),0.12443672513224553,2
I(LBXF04LA^2),0.05205747014494222,2
LBXF04LA,0.16185781276177924,2
I(LBXD05LA * (RIDRETH1 == 4)),0.8723215378394062,2
BMXBMI,0.17953281461762807,2
LBXCOT,0.04165102958948723,2
LBXWBCSI,0.14444990814757178,2
LBXLYPCT,0.6440033481874011,2
LBXMOPCT,0.26342547835152624,2
LBXNEPCT,0.350219039490654,2
LBXEOPCT,0.1654715985074385,2
LBXBAPCT,0.45289658448420733,2
RIDAGEYR,0.016117885017390057,2
RIAGENDR1,0.4989548147478433,2
RIDRETH12,0.9344991496572442,2
RIDRETH13,0.43071706759352335,2
RIDRETH14,0.7740786262891604,2
RIDRETH15,0.9678745240087698,2
DMDEDUC22,0.5848562535849565,2
DMDEDUC23,0.8383950422802879,2
DMDEDUC24,0.13823596816404607,2
DMDEDUC25,0.07736948379126225,2
(Intercept),0.06439343559265631,3
LBXD05LA,0.3179976096414728,3
LBX074LA,0.001498421654802719,3
I(1/(1 + exp(-4 * LBX194LA))),1.0206881739002777e-7,3
I(1/(1 + exp(-4 * LBXPCBLA))),1.5000887105551288e-4,3
I(LBXF04LA^2),0.1390860963399707,3
LBXF04LA,0.36551295811673423,3
I(LBXD05LA * (RIDRETH1 == 4)),0.022382927875151018,3
BMXBMI,0.4702490071270756,3
LBXCOT,0.07276739770700562,3
LBXWBCSI,0.47650668586583533,3
LBXLYPCT,0.4809106148860679,3
LBXMOPCT,0.19012835801343814,3
LBXNEPCT,0.8789235770546222,3
LBXEOPCT,0.3392080095054735,3
LBXBAPCT,0.960038009894163,3
RIDAGEYR,0.17043202499874768,3
RIAGENDR1,0.44134819861909336,3
RIDRETH12,0.24460976534250156,3
RIDRETH13,9.121111153391848e-4,3
RIDRETH14,0.0185969597831477,3
RIDRETH15,0.5183578474422796,3
DMDEDUC22,0.30169307966904235,3
DMDEDUC23,0.4176981270431699,3
DMDEDUC24,0.09550305769842501,3
DMDEDUC25,0.03742731890998583,3
(Intercept),0.031553401136399095,4
LBXD05LA,0.025808655655704008,4
LBX074LA,0.0012346406580023587,4
I(1/(1 + exp(-4 * LBX194LA))),1.0825222441009583e-4,4
I(1/(1 + exp(-4 * LBXPCBLA))),0.030296342778026848,4
I(LBXF04LA^2),6.388425667035176e-4,4
LBXF04LA,0.21356421640965742,4
I(LBXD05LA * (RIDRETH1 == 4)),0.4549293698982507,4
BMXBMI,0.3511576503513716,4
LBXCOT,0.31201128741257045,4
LBXWBCSI,0.6264928848999385,4
LBXLYPCT,0.44726140524981783,4
LBXMOPCT,0.043358166185693985,4
LBXNEPCT,0.680720633520012,4
LBXEOPCT,0.8946651534224992,4
LBXBAPCT,0.5461433831971124,4
RIDAGEYR,0.06512731238616483,4
RIAGENDR1,0.7535995225879282,4
RIDRETH12,0.7382385102994786,4
RIDRETH13,0.0025474329022759905,4
RIDRETH14,0.103548484642723,4
RIDRETH15,0.10064372368342915,4
DMDEDUC22,0.32236884174038727,4
DMDEDUC23,0.6997164008900876,4
DMDEDUC24,0.8182290016403859,4
DMDEDUC25,0.8688393067591205,4
(Intercept),0.9868723765607289,5
LBXD05LA,0.10172262115436756,5
LBX074LA,0.24495327669204847,5
I(1/(1 + exp(-4 * LBX194LA))),6.041869105285199e-7,5
I(1/(1 + exp(-4 * LBXPCBLA))),0.0010709898549716482,5
I(LBXF04LA^2),8.765290101454196e-4,5
LBXF04LA,0.0011392534666007355,5
I(LBXD05LA * (RIDRETH1 == 4)),0.10074960753889949,5
BMXBMI,0.19423348718162767,5
LBXCOT,0.22342228517772805,5
LBXWBCSI,0.26277324225041726,5
LBXLYPCT,0.7744200354007563,5
LBXMOPCT,0.09738063046493321,5
LBXNEPCT,0.7436496656013787,5
LBXEOPCT,0.5017375263823881,5
LBXBAPCT,0.4916730805194709,5
RIDAGEYR,0.3308706522239626,5
RIAGENDR1,0.30759042790189267,5
RIDRETH12,0.6434906408198877,5
RIDRETH13,0.44033016470563036,5
RIDRETH14,0.18762781088973846,5
RIDRETH15,0.4034333323534901,5
DMDEDUC22,0.43817281506805184,5
DMDEDUC23,0.5155181733931231,5
DMDEDUC24,0.3810697340999336,5
DMDEDUC25,0.7686983280001656,5
(Intercept),0.4124905507599942,6
LBXD05LA,0.09422446744650294,6
LBX074LA,0.019526144828221986,6
I(1/(1 + exp(-4 * LBX194LA))),2.2732329978960383e-6,6
I(1/(1 + exp(-4 * LBXPCBLA))),0.08184466696039121,6
I(LBXF04LA^2),0.002812328742780169,6
LBXF04LA,0.2737285121340383,6
I(LBXD05LA * (RIDRETH1 == 4)),0.0531244835259632,6
BMXBMI,0.04125234026621892,6
LBXCOT,0.2886743851028357,6
LBXWBCSI,0.9371393907157961,6
LBXLYPCT,0.08949759094282046,6
LBXMOPCT,0.0067213827065150215,6
LBXNEPCT,0.11341849848077984,6
LBXEOPCT,0.4189137566792409,6
LBXBAPCT,0.06074319970436502,6
RIDAGEYR,0.020026003034969358,6
RIAGENDR1,0.2560265672090449,6
RIDRETH12,0.0826115811668055,6
RIDRETH13,0.40460566946420695,6
RIDRETH14,0.6421078733590728,6
RIDRETH15,0.1977120791929573,6
DMDEDUC22,0.7174692645757541,6
DMDEDUC23,0.13888002039714842,6
DMDEDUC24,0.7640936422342955,6
DMDEDUC25,0.6356655126985793,6
(Intercept),0.009591140862041386,7
LBXD05LA,0.0064455503002856275,7
LBX074LA,4.0289563285647476e-5,7
I(1/(1 + exp(-4 * LBX194LA))),0.005089218379799657,7
I(1/(1 + exp(-4 * LBXPCBLA))),0.03994473711785033,7
I(LBXF04LA^2),9.701774928649144e-4,7
LBXF04LA,0.5914829733453724,7
I(LBXD05LA * (RIDRETH1 == 4)),0.04026754798337159,7
BMXBMI,0.26782715877296237,7
LBXCOT,0.48666158291682604,7
LBXWBCSI,0.9008708009522908,7
LBXLYPCT,0.05557517935528853,7
LBXMOPCT,0.0039881192741467375,7
LBXNEPCT,0.16578840131448033,7
LBXEOPCT,0.4572222500903056,7
LBXBAPCT,0.49813830796896474,7
RIDAGEYR,0.025748149924483762,7
RIAGENDR1,0.363495307994008,7
RIDRETH12,0.02104081701397705,7
RIDRETH13,0.9942734591919962,7
RIDRETH14,0.5467970667563703,7
RIDRETH15,0.33867666400339413,7
DMDEDUC22,0.7880102477347082,7
DMDEDUC23,0.8681338541364588,7
DMDEDUC24,0.5512860694801578,7
