var,p,case
(Intercept),0.12519367928490774,1
LBXD05LA,0.11378991451167193,1
LBX074LA,0.003325711944104971,1
I(1/(1 + exp(-4 * LBX194LA))),0.6608027514709713,1
I(1/(1 + exp(-4 * LBXPCBLA))),0.7865016561831679,1
I(LBXF04LA^2),0.43150036732874475,1
LBXF04LA,0.2366937104739874,1
BMXBMI,0.3825070208418133,1
LBXCOT,0.7179125179868397,1
LBXWBCSI,0.7290768493497852,1
LBXLYPCT,0.066832842599487,1
LBXMOPCT,0.05704460068560995,1
LBXNEPCT,0.11841778039899209,1
LBXEOPCT,0.29718091769199234,1
LBXBAPCT,0.05099737602798504,1
RIDAGEYR,0.2744286593695736,1
RIAGENDR1,0.45279219611550614,1
RIDRETH12,0.20739913204434757,1
RIDRETH13,0.601217619863734,1
RIDRETH14,0.4374350619899723,1
RIDRETH15,0.6194567439664462,1
DMDEDUC22,0.3461103867428622,1
DMDEDUC23,0.6571577229587693,1
DMDEDUC24,0.9039996448551215,1
DMDEDUC25,0.9819097740301954,1
(Intercept),0.680011910241141,2
LBXD05LA,0.3272807854376466,2
LBX074LA,0.4992644965136096,2
I(1/(1 + exp(-4 * LBX194LA))),0.015505479486440559,2
I(1/(1 + exp(-4 * LBXPCBLA))),0.004395042085886081,2
I(LBXF04LA^2),3.190714860250643e-4,2
LBXF04LA,0.2457903771185373,2
BMXBMI,0.5125744191488811,2
LBXCOT,0.8512184836222385,2
LBXWBCSI,0.1753045932588258,2
LBXLYPCT,0.3451374814125848,2
LBXMOPCT,0.6144664307611757,2
LBXNEPCT,0.2881553093339808,2
LBXEOPCT,0.5086596555616201,2
LBXBAPCT,0.4649892072931563,2
RIDAGEYR,0.12075888009639169,2
RIAGENDR1,0.1036481347242422,2
RIDRETH12,0.9849740515616727,2
RIDRETH13,0.3835973602935453,2
RIDRETH14,0.5498165500782823,2
RIDRETH15,0.9240931961271122,2
DMDEDUC22,0.1479384550404481,2
DMDEDUC23,0.9108515996641465,2
DMDEDUC24,0.8960281333556012,2
DMDEDUC25,0.9277670771040204,2
(Intercept),0.7269799798951355,3
LBXD05LA,0.07327637885197417,3
LBX074LA,0.5643878650247449,3
I(1/(1 + exp(-4 * LBX194LA))),0.42333146287017476,3
I(1/(1 + exp(-4 * LBXPCBLA))),0.0025692514776080324,3
I(LBXF04LA^2),0.025849966607657197,3
LBXF04LA,0.5467150724155807,3
BMXBMI,0.07391056822713397,3
LBXCOT,0.6391626809095667,3
LBXWBCSI,0.7743132159017733,3
LBXLYPCT,0.5865761965295067,3
LBXMOPCT,0.7943195384091256,3
LBXNEPCT,0.4940162939981273,3
LBXEOPCT,0.195855163439452,3
LBXBAPCT,0.3808515548486746,3
RIDAGEYR,0.33166048063347675,3
RIAGENDR1,0.5065214067907565,3
RIDRETH12,0.44872779872862956,3
RIDRETH13,0.7005116936687477,3
RIDRETH14,0.06687288981775355,3
RIDRETH15,0.6854577072491439,3
DMDEDUC22,0.5035634097735848,3
DMDEDUC23,0.569869552454954,3
DMDEDUC24,0.46290488183839795,3
DMDEDUC25,0.3331546927876273,3
(Intercept),0.7835080424163805,4
LBXD05LA,0.09160393994583627,4
LBX074LA,0.007766139246491955,4
I(1/(1 + exp(-4 * LBX194LA))),0.34780958338081414,4
I(1/(1 + exp(-4 * LBXPCBLA))),0.07623388046270434,4
I(LBXF04LA^2),0.35145981926284364,4
LBXF04LA,0.7206935701385837,4
BMXBMI,0.1539812262011114,4
LBXCOT,0.12056369353214635,4
LBXWBCSI,0.2578774739466896,4
LBXLYPCT,0.048846320775268334,4
LBXMOPCT,0.5103164551290769,4
LBXNEPCT,0.053268501651414044,4
LBXEOPCT,0.5516197072072193,4
LBXBAPCT,0.6784685577699008,4
RIDAGEYR,0.045227570932294195,4
RIAGENDR1,0.5173440835730115,4
RIDRETH12,0.39977277389001986,4
RIDRETH13,0.05218522576547159,4
RIDRETH14,0.5049589812829489,4
RIDRETH15,0.11306771177832252,4
DMDEDUC22,0.7963209791800512,4
DMDEDUC23,0.2724563475853951,4
DMDEDUC24,0.22702271600482418,4
DMDEDUC25,0.9365697716755126,4
(Intercept),0.12595478446945538,5
LBXD05LA,0.154711999167898,5
LBX074LA,0.18029916784007397,5
I(1/(1 + exp(-4 * LBX194LA))),0.008498858067749918,5
I(1/(1 + exp(-4 * LBXPCBLA))),0.2629659540296404,5
I(LBXF04LA^2),0.01533342705872567,5
LBXF04LA,0.6779810485005913,5
BMXBMI,0.7387544299619536,5
LBXCOT,0.0632729864593742,5
LBXWBCSI,0.8507047338943814,5
LBXLYPCT,0.3453336986531592,5
LBXMOPCT,0.19937194602375355,5
LBXNEPCT,0.5144153898921826,5
LBXEOPCT,0.7536720898037914,5
LBXBAPCT,0.23200555400240555,5
RIDAGEYR,0.004434190431678696,5
RIAGENDR1,0.10595941698393224,5
RIDRETH12,0.11303464303405378,5
RIDRETH13,0.09538666099490443,5
RIDRETH14,0.6997070600704641,5
RIDRETH15,0.433897306671022,5
DMDEDUC22,0.6695336902308052,5
DMDEDUC23,0.21123375987307522,5
DMDEDUC24,0.8442000019669085,5
DMDEDUC25,0.6108390158220955,5
(Intercept),0.8495044783114508,6
LBXD05LA,0.636191369398819,6
LBX074LA,0.03824826197366524,6
I(1/(1 + exp(-4 * LBX194LA))),0.08572945056735981,6
I(1/(1 + exp(-4 * LBXPCBLA))),0.37355441557015145,6
I(LBXF04LA^2),0.008799434015276,6
LBXF04LA,0.28310090545713856,6
BMXBMI,0.12895229997524185,6
LBXCOT,0.0395309437257465,6
LBXWBCSI,0.9093764534187185,6
LBXLYPCT,0.769140535147301,6
LBXMOPCT,0.7652102868859703,6
LBXNEPCT,0.9692740197213987,6
LBXEOPCT,0.5431721679303638,6
LBXBAPCT,0.45142924172642185,6
RIDAGEYR,0.36645979643217463,6
RIAGENDR1,0.4112386448230123,6
RIDRETH12,0.7549285250229041,6
RIDRETH13,0.8967616128092648,6
RIDRETH14,0.15687760690145935,6
RIDRETH15,0.7863290018076963,6
DMDEDUC22,0.3554481542942527,6
DMDEDUC23,0.18550489808339474,6
DMDEDUC24,0.5040373221666996,6
DMDEDUC25,0.35605674306564206,6
(Intercept),0.22045778186212409,7
LBXD05LA,0.6405118509148167,7
LBX074LA,0.5969106159678388,7
I(1/(1 + exp(-4 * LBX194LA))),0.5775497769163462,7
I(1/(1 + exp(-4 * LBXPCBLA))),0.5645946997378901,7
I(LBXF04LA^2),0.2781770479927902,7
LBXF04LA,0.018206997820840364,7
BMXBMI,0.9740892197772367,7
LBXCOT,0.5410218935378215,7
LBXWBCSI,0.1220100588496744,7
LBXLYPCT,0.11471411914766774,7
LBXMOPCT,0.6338656308133528,7
LBXNEPCT,0.056532314447883356,7
LBXEOPCT,0.054262161292811494,7
LBXBAPCT,0.002237034075034676,7
RIDAGEYR,0.0034458651317642378,7
RIAGENDR1,0.449892912942888,7
RIDRETH12,0.6689066742605239,7
RIDRETH13,0.3247485901361482,7
RIDRETH14,0.4494716879089752,7
RIDRETH15,0.2118400241757237,7
DMDEDUC22,0.7394160462274768,7
DMDEDUC23,0.15977264791529844,7
DMDEDUC24,0.7257623302828177,7
DMDEDUC25,0.8781555300514086,7
(Intercept),0.5532587216878468,8
LBXD05LA,0.48341131500660695,8
LBX074LA,0.7048545013310128,8
I(1/(1 + exp(-4 * LBX194LA))),0.016351044511289638,8
I(1/(1 + exp(-4 * LBXPCBLA))),0.07732903303176603,8
I(LBXF04LA^2),0.009699369596754912,8
LBXF04LA,0.3781405960577351,8
BMXBMI,0.09903832353470109,8
LBXCOT,0.9385150284276428,8
LBXWBCSI,0.9962209940066257,8
LBXLYPCT,0.271859978923101,8
LBXMOPCT,0.23536536975326888,8
LBXNEPCT,0.17925284545228273,8
LBXEOPCT,0.03221452670108536,8
LBXBAPCT,0.7952502675680615,8
RIDAGEYR,0.488112806167722,8
RIAGENDR1,0.7590496266271705,8
RIDRETH12,0.24521453770446416,8
RIDRETH13,0.2928382514861292,8
RIDRETH14,0.5818099742667042,8
RIDRETH15,0.4416917044910392,8
DMDEDUC22,0.5206890818985024,8
DMDEDUC23,0.17757479094658576,8
DMDEDUC24,0.3471835290800839,8
DMDEDUC25,0.8856303289940695,8
(Intercept),0.849923376573957,9
LBXD05LA,0.10927719811043471,9
LBX074LA,0.020479101778791312,9
I(1/(1 + exp(-4 * LBX194LA))),0.8850997240687597,9
I(1/(1 + exp(-4 * LBXPCBLA))),0.9125321569100817,9
I(LBXF04LA^2),0.09660661207919373,9
LBXF04LA,0.7242723184258759,9
BMXBMI,0.85714387915545,9
LBXCOT,0.7552496807095705,9
LBXWBCSI,0.025830484240925666,9
LBXLYPCT,0.7882154357603064,9
LBXMOPCT,0.6544052284692621,9
LBXNEPCT,0.883776377107493,9
LBXEOPCT,0.28055101869713067,9
LBXBAPCT,0.4124038888274165,9
RIDAGEYR,0.026113522484163623,9
RIAGENDR1,0.08784435188139067,9
RIDRETH12,0.19838791897268557,9
RIDRETH13,0.7350286835722571,9
RIDRETH14,0.5501548042156013,9
RIDRETH15,0.4896145232227498,9
DMDEDUC22,0.37477415320603036,9
DMDEDUC23,0.7076868904511551,9
DMDEDUC24,0.40660973309925197,9
DMDEDUC25,0.4052320878162671,9
(Intercept),0.8346062657688568,10
LBXD05LA,0.5383900985275478,10
LBX074LA,0.26089864542430935,10
I(1/(1 + exp(-4 * LBX194LA))),0.1493644336813102,10
I(1/(1 + exp(-4 * LBXPCBLA))),0.06464455120297376,10
I(LBXF04LA^2),0.0026845162670511716,10
LBXF04LA,0.9789804022494084,10
BMXBMI,0.45516030887497017,10
LBXCOT,0.17254888287690903,10
LBXWBCSI,0.9173167110209333,10
LBXLYPCT,0.057384142178533895,10
LBXMOPCT,0.19991399289532205,10
LBXNEPCT,0.01429104721975612,10
LBXEOPCT,0.44828343843266805,10
LBXBAPCT,0.9457341705996821,10
RIDAGEYR,0.16799388741806734,10
RIAGENDR1,0.45600670831101797,10
RIDRETH12,0.6204951296661543,10
RIDRETH13,0.8628559962573412,10
RIDRETH14,0.30606354048079853,10
RIDRETH15,0.30644623463025167,10
DMDEDUC22,0.6317354672481461,10
DMDEDUC23,0.030075338646797678,10
DMDEDUC24,0.35157237359249494,10
DMDEDUC25,0.7545225107249175,10
(Intercept),0.6119758687641715,11
LBXD05LA,0.5616255326218565,11
LBX074LA,0.006355316196521959,11
I(1/(1 + exp(-4 * LBX194LA))),0.006241383157037196,11
I(1/(1 + exp(-4 * LBXPCBLA))),0.2558652842148195,11
I(LBXF04LA^2),0.06841660461988316,11
LBXF04LA,0.3451318267597774,11
BMXBMI,0.40942098745298816,11
LBXCOT,0.9516224261944808,11
LBXWBCSI,0.5730719108403735,11
LBXLYPCT,0.7244670867060914,11
LBXMOPCT,0.9640800952940418,11
LBXNEPCT,0.6046974871909019,11
LBXEOPCT,0.8986755305411056,11
LBXBAPCT,0.17045306570771265,11
RIDAGEYR,0.21543670152982589,11
RIAGENDR1,0.5891118207402541,11
RIDRETH12,0.09061297850587324,11
RIDRETH13,0.5023662372353237,11
RIDRETH14,0.5285679797264262,11
RIDRETH15,0.12633972586467934,11
DMDEDUC22,0.5496183856243653,11
DMDEDUC23,0.28471793592261996,11
DMDEDUC24,0.311948588321555,11
DMDEDUC25,0.08499589777654852,11
(Intercept),0.3434164086496386,12
LBXD05LA,0.07389285222093456,12
LBX074LA,0.415952297890568,12
I(1/(1 + exp(-4 * LBX194LA))),3.7308694857725824e-5,12
