var,p,case
(Intercept),0.07235302418917433,1
LBXD05LA,0.10708085066835304,1
LBX074LA,0.013113716220763984,1
I(1/(1 + exp(-4 * LBX194LA))),0.3002230823875811,1
I(1/(1 + exp(-4 * LBXPCBLA))),0.053603297846569635,1
I(LBXF04LA^2),0.04253535238158435,1
LBXF04LA,0.9608052362177923,1
I(LBXD05LA * (RIDRETH1 == 4)),0.1732481024098698,1
BMXBMI,0.4487916891225078,1
LBXCOT,0.9203655244775557,1
LBXWBCSI,0.019752050273229644,1
LBXLYPCT,0.35743053834656513,1
LBXMOPCT,0.36421821792456965,1
LBXNEPCT,0.38388805499477163,1
LBXEOPCT,0.962322598383305,1
LBXBAPCT,0.08558167330421079,1
RIDAGEYR,0.1539447619263345,1
RIAGENDR1,0.15982821517761528,1
RIDRETH12,0.210052108499088,1
RIDRETH13,0.41955265186352364,1
RIDRETH14,0.3958130510162474,1
RIDRETH15,0.048332680464235875,1
DMDEDUC22,0.7835456121091886,1
DMDEDUC23,0.5092180502780639,1
DMDEDUC24,0.37622706103877257,1
DMDEDUC25,0.3008357280110972,1
(Intercept),0.09142071165963102,2
LBXD05LA,0.7126362042744148,2
LBX074LA,0.1142604862948606,2
I(1/(1 + exp(-4 * LBX194LA))),0.5426550613642347,2
I(1/(1 + exp(-4 * LBXPCBLA))),0.09813630756177827,2
I(LBXF04LA^2),0.08155283451678695,2
LBXF04LA,0.26391524060914145,2
I(LBXD05LA * (RIDRETH1 == 4)),0.7453862609531254,2
BMXBMI,0.7933124704059047,2
LBXCOT,0.8544963809531745,2
LBXWBCSI,0.002701766170092404,2
LBXLYPCT,0.013970555325480956,2
LBXMOPCT,0.018534386224094375,2
LBXNEPCT,0.027853058408978077,2
LBXEOPCT,0.66924141309448,2
LBXBAPCT,0.7551644760431127,2
RIDAGEYR,3.8457103116921576e-4,2
RIAGENDR1,0.9210270490074269,2
RIDRETH12,0.1269324290609439,2
RIDRETH13,0.3368835779875632,2
RIDRETH14,0.3962721655502016,2
RIDRETH15,0.7266160984660457,2
DMDEDUC22,0.7066615425560159,2
DMDEDUC23,0.5997003987481035,2
DMDEDUC24,0.7759268386590763,2
DMDEDUC25,0.8047782590608845,2
(Intercept),0.8460814246868833,3
LBXD05LA,0.8905339900190046,3
LBX074LA,0.7660865592524049,3
I(1/(1 + exp(-4 * LBX194LA))),0.01172815032896693,3
I(1/(1 + exp(-4 * LBXPCBLA))),0.21724898038950027,3
I(LBXF04LA^2),8.383324686565495e-4,3
LBXF04LA,0.12312424667517582,3
I(LBXD05LA * (RIDRETH1 == 4)),0.213072749957614,3
BMXBMI,0.05816602119752027,3
LBXCOT,0.851166085079931,3
LBXWBCSI,0.06610200155486332,3
LBXLYPCT,0.503046996630354,3
LBXMOPCT,0.9203243567432062,3
LBXNEPCT,0.6158081535614306,3
LBXEOPCT,0.1113508252393736,3
LBXBAPCT,0.5507410467010183,3
RIDAGEYR,0.3149962138013667,3
RIAGENDR1,0.45469904016780993,3
RIDRETH12,0.25693446457575037,3
RIDRETH13,0.6673296256591519,3
RIDRETH14,0.27668681816683766,3
RIDRETH15,0.3397036210492461,3
DMDEDUC22,0.5337110497163495,3
