variable,fixedat1,fixedat2,est,sd,trial,case
LBXD05LA,LBXPCBLA,LBX194LA,-0.33207031744532234,0.8914264500632255,1301,14
LBXPCBLA,LBX194LA,LBXD05LA,-1.0300592903486478,0.9560959404353954,1301,14
LBX194LA,LBXD05LA,LBXPCBLA,-1.2518970676415968,1.0134936809640849,1301,14
LBXD05LA,LBXPCBLA,LBX194LA,0.0471201352253372,0.3407586088388992,1302,14
LBXPCBLA,LBX194LA,LBXD05LA,0.0433118874366798,0.23047967333976596,1302,14
LBX194LA,LBXD05LA,LBXPCBLA,0.02205178803215535,0.2928817059674359,1302,14
LBXD05LA,LBXPCBLA,LBX194LA,0.5273178443181559,0.8317718114949733,1303,14
LBXPCBLA,LBX194LA,LBXD05LA,0.3395070596158307,0.46335459892890557,1303,14
LBX194LA,LBXD05LA,LBXPCBLA,0.2101007999526887,0.8228191349539262,1303,14
LBXD05LA,LBXPCBLA,LBX194LA,0.14621735754386478,0.6103639787895577,1304,14
LBXPCBLA,LBX194LA,LBXD05LA,0.47367460055620025,0.5917865329088301,1304,14
LBX194LA,LBXD05LA,LBXPCBLA,0.5193240759918876,0.7292189620121687,1304,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.025387799243510756,0.6723138410345479,1305,14
LBXPCBLA,LBX194LA,LBXD05LA,0.025901465600381535,0.23708717898464815,1305,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.042369749829103576,0.6764651635626688,1305,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.12649459623469728,0.6764936875808011,1306,14
LBXPCBLA,LBX194LA,LBXD05LA,0.4408168167579669,0.6009703259140867,1306,14
LBX194LA,LBXD05LA,LBXPCBLA,0.31117760479340983,0.8003863114541668,1306,14
LBXD05LA,LBXPCBLA,LBX194LA,0.27534977600878996,0.7746267870331124,1307,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.1277125908068184,0.37780293576241264,1307,14
LBX194LA,LBXD05LA,LBXPCBLA,0.2458021173028122,0.7718201035584371,1307,14
LBXD05LA,LBXPCBLA,LBX194LA,-1.3865062460148971,0.9080199612589108,1308,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.3609471756114129,0.4808728415411566,1308,14
