variable,PIP,trial,case
LBX074LA,0.87608,1,1
LBX099LA,0.27004,1,1
LBX138LA,0.23024,1,1
LBX153LA,0.25724,1,1
LBX170LA,0.38684,1,1
LBX180LA,0.21972,1,1
LBX187LA,0.26468,1,1
LBX194LA,0.88556,1,1
LBXPCBLA,0.37116,1,1
LBXHXCLA,0.27108,1,1
LBX118LA,0.41428,1,1
LBXD03LA,0.38052,1,1
LBXD05LA,0.84756,1,1
LBXD07LA,0.38068,1,1
LBXF03LA,0.14588,1,1
LBXF04LA,0.39948,1,1
LBXF05LA,0.21904,1,1
LBXF08LA,0.07524,1,1
LBX074LA,0.71432,10,1
LBX099LA,0.4374,10,1
LBX138LA,0.29556,10,1
LBX153LA,0.31072,10,1
LBX170LA,0.30248,10,1
LBX180LA,0.417,10,1
LBX187LA,0.30436,10,1
LBX194LA,0.99408,10,1
LBXPCBLA,0.98256,10,1
LBXHXCLA,0.256,10,1
LBX118LA,0.37756,10,1
LBXD03LA,0.35464,10,1
LBXD05LA,0.97184,10,1
LBXD07LA,0.3076,10,1
LBXF03LA,0.48696,10,1
LBXF04LA,0.90524,10,1
LBXF05LA,0.4548,10,1
LBXF08LA,0.30936,10,1
LBX074LA,0.93688,100,1
LBX099LA,0.29556,100,1
LBX138LA,0.44008,100,1
LBX153LA,0.41264,100,1
LBX170LA,0.44812,100,1
LBX180LA,0.37784,100,1
LBX187LA,0.45116,100,1
LBX194LA,0.79912,100,1
LBXPCBLA,0.85468,100,1
LBXHXCLA,0.3776,100,1
LBX118LA,0.42576,100,1
LBXD03LA,0.43016,100,1
LBXD05LA,0.78472,100,1
LBXD07LA,0.4624,100,1
LBXF03LA,0.37472,100,1
LBXF04LA,0.56592,100,1
LBXF05LA,0.40004,100,1
LBXF08LA,0.43076,100,1
LBX074LA,0.42364,11,1
LBX099LA,0.33244,11,1
LBX138LA,0.32692,11,1
LBX153LA,0.32016,11,1
LBX170LA,0.34776,11,1
LBX180LA,0.29896,11,1
LBX187LA,0.85112,11,1
LBX194LA,0.67072,11,1
LBXPCBLA,0.21504,11,1
LBXHXCLA,0.23336,11,1
