variable,fixedat1,fixedat2,est,sd,trial,case
LBXD05LA,LBXPCBLA,LBX194LA,0.034491039863242534,0.35217729437004874,1301,14
LBXPCBLA,LBX194LA,LBXD05LA,0.042477716015051126,0.20623001195448698,1301,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.025665772394144692,0.33764288029274087,1301,14
LBXD05LA,LBXPCBLA,LBX194LA,0.027992107840096203,0.6600869356031157,1302,14
LBXPCBLA,LBX194LA,LBXD05LA,0.06615929775107698,0.4478148739111897,1302,14
LBX194LA,LBXD05LA,LBXPCBLA,0.16777662539137328,0.6535297079404369,1302,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.1770839689851491,1.1366734194154697,1303,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.16289381613432186,0.6739635209498973,1303,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.2332963147687961,1.1608537039424034,1303,14
LBXD05LA,LBXPCBLA,LBX194LA,0.036475050634427575,0.524739496494935,1304,14
LBXPCBLA,LBX194LA,LBXD05LA,0.017723612299699987,0.3459523269791963,1304,14
LBX194LA,LBXD05LA,LBXPCBLA,0.015463481246369426,0.5566133133104252,1304,14
LBXD05LA,LBXPCBLA,LBX194LA,0.9090238807144928,1.098496514101266,1305,14
LBXPCBLA,LBX194LA,LBXD05LA,0.9071051682704891,0.9958006883658229,1305,14
LBX194LA,LBXD05LA,LBXPCBLA,0.604004166816118,0.9712234215557429,1305,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.710273927553227,1.0843113874428063,1306,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.05612824616103884,0.4059884473817085,1306,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.6778122508588966,1.0715477835776088,1306,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.0744875309333457,0.5428681445575576,1307,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.11041975560463868,0.43496371068742984,1307,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.04431003853002924,0.4467440472568825,1307,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.032640118266724194,0.6681260158644173,1308,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.15576549772360426,0.37737445006702086,1308,14
LBX194LA,LBXD05LA,LBXPCBLA,0.09953113019153026,0.59896647550745,1308,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.10032965678518568,0.5719458956338186,1309,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.059033143095239105,0.35127425423738856,1309,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.01943064636224623,0.5616546374453414,1309,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.030490721545381128,0.28955598078218825,1310,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.009576933171386859,0.34947208972427374,1310,14
LBX194LA,LBXD05LA,LBXPCBLA,0.034512608015010215,0.3352505712334971,1310,14
LBXD05LA,LBXPCBLA,LBX194LA,-0.021258608233811316,0.5661945687965568,1311,14
LBXPCBLA,LBX194LA,LBXD05LA,-0.3578044022017668,0.6542234404858561,1311,14
LBX194LA,LBXD05LA,LBXPCBLA,-0.4114159888422133,0.7453067736121098,1311,14
