variable,PIP,trial,case
LBX074LA,0.74444,1,1
LBX099LA,0.35972,1,1
LBX138LA,0.2376,1,1
LBX153LA,0.21404,1,1
LBX170LA,0.2722,1,1
LBX180LA,0.21656,1,1
LBX187LA,0.22136,1,1
LBX194LA,0.22436,1,1
LBXPCBLA,0.301,1,1
LBXHXCLA,0.30136,1,1
LBX118LA,0.54624,1,1
LBXD03LA,0.23496,1,1
LBXD05LA,0.397,1,1
LBXD07LA,0.18972,1,1
LBXF03LA,0.21604,1,1
LBXF04LA,0.47356,1,1
LBXF05LA,0.2062,1,1
LBXF08LA,0.23916,1,1
LBX074LA,0.5264,10,1
LBX099LA,0.66972,10,1
LBX138LA,0.64928,10,1
LBX153LA,0.56768,10,1
LBX170LA,0.74036,10,1
LBX180LA,0.52168,10,1
LBX187LA,0.5358,10,1
LBX194LA,0.56256,10,1
LBXPCBLA,0.50888,10,1
LBXHXCLA,0.53236000000000006,10,1
LBX118LA,0.5654,10,1
LBXD03LA,0.60264,10,1
LBXD05LA,0.8918,10,1
LBXD07LA,0.50436,10,1
LBXF03LA,0.43376,10,1
LBXF04LA,0.6922,10,1
LBXF05LA,0.55184,10,1
LBXF08LA,0.35484,10,1
LBX074LA,0.39792,100,1
LBX099LA,0.3776,100,1
LBX138LA,0.41828,100,1
LBX153LA,0.42932,100,1
LBX170LA,0.4498,100,1
LBX180LA,0.43036,100,1
LBX187LA,0.3814,100,1
LBX194LA,0.5706,100,1
LBXPCBLA,0.54292,100,1
LBXHXCLA,0.3892,100,1
LBX118LA,0.40528,100,1
LBXD03LA,0.41448,100,1
LBXD05LA,0.41136,100,1
LBXD07LA,0.38468,100,1
LBXF03LA,0.35212,100,1
LBXF04LA,0.47544,100,1
LBXF05LA,0.35928,100,1
LBXF08LA,0.34724,100,1
LBX074LA,0.87108,11,1
LBX099LA,0.41108,11,1
LBX138LA,0.2842,11,1
LBX153LA,0.2916,11,1
LBX170LA,0.32452,11,1
LBX180LA,0.36072,11,1
LBX187LA,0.3222,11,1
LBX194LA,0.723,11,1
LBXPCBLA,0.23424,11,1
LBXHXCLA,0.25592,11,1
LBX118LA,0.43592,11,1
LBXD03LA,0.38696,11,1
LBXD05LA,0.24216,11,1
LBXD07LA,0.30824,11,1
LBXF03LA,0.28728,11,1
LBXF04LA,0.53836,11,1
LBXF05LA,0.25744,11,1
LBXF08LA,0.29752,11,1
LBX074LA,0.26772,12,1
LBX099LA,0.21884,12,1
LBX138LA,0.29616,12,1
LBX153LA,0.28444,12,1
LBX170LA,0.25776,12,1
LBX180LA,0.28664,12,1
LBX187LA,0.24676,12,1
LBX194LA,0.99512,12,1
LBXPCBLA,0.5914,12,1
LBXHXCLA,0.26872,12,1
LBX118LA,0.19552,12,1
LBXD03LA,0.37244,12,1
LBXD05LA,0.76056,12,1
LBXD07LA,0.60204,12,1
LBXF03LA,0.17412,12,1
LBXF04LA,0.59336,12,1
LBXF05LA,0.1648,12,1
LBXF08LA,0.17796,12,1
LBX074LA,0.34056,13,1
LBX099LA,0.30708,13,1
LBX138LA,0.3208,13,1
