PIP,trial,df,case
0,1301,2,14
0,1302,2,14
0,1303,4,14
0,1304,3,14
0,1305,2,14
0,1306,3,14
0,1307,2,14
0,1308,2,14
1.5999999999999999e-4,1309,2,14
0,1310,3,14
0,1311,3,14
0,1312,2,14
0,1313,2,14
0,1314,2,14
0,1315,3,14
0,1316,1,14
0,1317,2,14
3.2e-4,1318,2,14
0,1319,3,14
0,1320,3,14
0,1321,1,14
0,1322,3,14
0,1323,2,14
0,1324,2,14
0,1325,2,14
0,1326,3,14
0,1327,1,14
0,1328,2,14
0,1329,3,14
0,1330,4,14
0,1331,4,14
0,1332,2,14
0,1333,2,14
0,1334,3,14
0,1335,1,14
0,1336,2,14
0,1337,4,14
0,1338,4,14
6.4e-4,1339,2,14
0,1340,2,14
0,1341,2,14
3.2e-4,1342,2,14
0,1343,3,14
0,1344,2,14
0,1345,3,14
0,1346,2,14
0,1347,2,14
0,1348,3,14
0,1349,2,14
0,1350,2,14
0,1351,4,14
0,1352,4,14
0,1353,2,14
0,1354,2,14
0,1355,2,14
0,1356,3,14
0,1357,3,14
0,1358,4,14
0,1359,1,14
0,1360,3,14
0,1361,1,14
0,1362,1,14
0,1363,2,14
0,1364,2,14
0,1365,3,14
0,1366,2,14
0,1367,3,14
0,1368,2,14
0,1369,3,14
0,1370,2,14
0,1371,2,14
0,1372,3,14
0,1373,2,14
0,1374,2,14
0.00368,1375,1,14
0,1376,1,14
0,1377,2,14
0,1378,1,14
0,1379,2,14
0,1380,2,14
0,1381,2,14
0,1382,2,14
0,1383,2,14
0,1384,3,14
1.6e-4,1385,1,14
0,1386,1,14
0,1387,3,14
0,1388,1,14
0.0012799999999999999,1389,1,14
0,1390,2,14
0,1391,3,14
0,1392,2,14
0,1393,3,14
0,1394,3,14
0,1395,2,14
0,1396,3,14
0,1397,2,14
0,1398,3,14
0,1399,3,14
0,1400,2,14
0,1401,2,15
1.5999999999999999e-4,1402,2,15
0,1403,2,15
9.6e-4,1404,3,15
0,1405,2,15
3.1999999999999997e-4,1406,2,15
0,1407,2,15
0,1408,3,15
0,1409,2,15
0,1410,3,15
1.6e-4,1411,2,15
0,1412,2,15
0,1413,3,15
0.0728,1414,2,15
0,1415,2,15
0,1416,2,15
0,1417,3,15
0,1418,2,15
0,1419,4,15
0,1420,2,15
0,1421,4,15
1.6e-4,1422,2,15
0,1423,2,15
0,1424,3,15
0,1425,3,15
0,1426,1,15
0,1427,4,15
0,1428,4,15
0,1429,2,15
0,1430,2,15
4.8e-4,1431,2,15
1.6e-4,1432,1,15
0,1433,2,15
0,1434,3,15
0,1435,1,15
4.8e-4,1436,2,15
0.75072,1437,1,15
0,1438,2,15
0,1439,2,15
0,1440,2,15
0,1441,3,15
0,1442,4,15
1.6e-4,1443,2,15
0,1444,2,15
0,1445,3,15
0,1446,4,15
1.5999999999999999e-4,1447,2,15
0,1448,3,15
0,1449,2,15
0,1450,3,15
0,1451,2,15
0,1452,3,15
0.00144,1453,2,15
0,1454,3,15
0,1455,3,15
0,1456,3,15
1.5999999999999999e-4,1457,2,15
0,1458,2,15
0,1459,2,15
0,1460,3,15
0,1461,2,15
0,1462,2,15
0,1463,3,15
0.00192,1464,1,15
0,1465,3,15
0,1466,3,15
0.004,1467,1,15
0,1468,3,15
0,1469,2,15
0,1470,2,15
0,1471,3,15
0,1472,3,15
0,1473,2,15
0,1474,3,15
0,1475,4,15
0,1476,2,15
0,1477,2,15
0,1478,3,15
0,1479,3,15
0.38496,1480,1,15
0,1481,2,15
0.04656,1482,1,15
0.027039999999999998,1483,1,15
0,1484,3,15
0,1485,3,15
0,1486,2,15
0,1487,2,15
0,1488,2,15
1.6e-4,1489,2,15
0,1490,2,15
0,1491,4,15
0,1492,2,15
0.00368,1493,2,15
3.1999999999999997e-4,1494,3,15
0,1495,2,15
0,1496,3,15
8e-4,1497,2,15
0,1498,1,15
0,1499,2,15
0,1500,1,15
0,1501,3,16
0,1502,2,16
0,1503,2,16
0,1504,4,16
0,1505,3,16
0,1506,3,16
0,1507,3,16
0,1508,4,16
0,1509,3,16
0,1510,3,16
0,1511,2,16
0,1512,3,16
0,1513,2,16
0,1514,2,16
0,1515,3,16
0,1516,3,16
0,1517,3,16
0,1518,3,16
0,1519,3,16
0,1520,2,16
0,1521,3,16
0,1522,2,16
0,1523,3,16
0,1524,4,16
0,1525,2,16
0,1526,2,16
0,1527,3,16
0,1528,3,16
1.5999999999999999e-4,1529,1,16
0,1530,2,16
0,1531,2,16
0,1532,2,16
0,1533,3,16
0,1534,2,16
0,1535,3,16
0,1536,3,16
0,1537,3,16
0,1538,3,16
0,1539,3,16
0,1540,2,16
0,1541,3,16
0,1542,2,16
0,1543,3,16
0,1544,4,16
0,1545,1,16
0,1546,3,16
0,1547,2,16
0,1548,2,16
0,1549,2,16
0,1550,2,16
0,1551,4,16
0,1552,3,16
0,1553,4,16
0,1554,3,16
0,1555,2,16
0,1556,3,16
0,1557,3,16
0,1558,2,16
0,1559,3,16
0,1560,2,16
0,1561,4,16
0,1562,3,16
0,1563,2,16
0,1564,3,16
0,1565,3,16
0,1566,4,16
0,1567,3,16
0,1568,2,16
0,1569,3,16
0,1570,4,16
1.5999999999999999e-4,1571,1,16
0,1572,1,16
0,1573,3,16
0,1574,3,16
0,1575,3,16
0,1576,2,16
0,1577,3,16
0,1578,3,16
0,1579,2,16
0,1580,2,16
0,1581,2,16
0,1582,2,16
0,1583,2,16
0,1584,3,16
0,1585,2,16
0,1586,3,16
0,1587,2,16
0,1588,3,16
0,1589,4,16
0,1590,2,16
0,1591,2,16
0,1592,3,16
0,1593,3,16
0,1594,3,16
0,1595,3,16
0,1596,3,16
0,1597,4,16
0,1598,3,16
0,1599,2,16
0,1600,3,16
0.0032,1601,1,17
0,1602,2,17
0,1603,3,17
0,1604,3,17
0,1605,4,17
0,1606,2,17
0,1607,3,17
0,1608,4,17
0,1609,3,17
0,1610,2,17
0,1611,3,17
0,1612,3,17
