variable,PIP,trial,df,case
LBX074LA,0.89136,100,4,1
LBX099LA,0.07232,100,4,1
LBX138LA,0.12016,100,4,1
LBX153LA,0.15808,100,4,1
LBX170LA,0.14384,100,4,1
LBX180LA,0.08784,100,4,1
LBX187LA,0.06768,100,4,1
LBX194LA,0.87168,100,4,1
LBXPCBLA,0.7544,100,4,1
LBXHXCLA,0.10496,100,4,1
LBX118LA,0.18272,100,4,1
LBXD03LA,0.07392,100,4,1
LBXD05LA,0.73744,100,4,1
LBXD07LA,0.14544,100,4,1
LBXF03LA,0.05056,100,4,1
LBXF04LA,0.31536,100,4,1
LBXF05LA,0.15504,100,4,1
LBXF08LA,0.09824,100,4,1
LBX074LA,0.67744,10,3,1
LBX099LA,0.10544,10,3,1
LBX138LA,0.10688,10,3,1
LBX153LA,0.08496,10,3,1
LBX170LA,0.1312,10,3,1
LBX180LA,0.14976,10,3,1
LBX187LA,0.15664,10,3,1
LBX194LA,0.99072,10,3,1
LBXPCBLA,0.99584,10,3,1
LBXHXCLA,0.06608,10,3,1
LBX118LA,0.28192,10,3,1
LBXD03LA,0.07888,10,3,1
LBXD05LA,0.976,10,3,1
LBXD07LA,0.26336,10,3,1
LBXF03LA,0.26096,10,3,1
LBXF04LA,0.94688,10,3,1
LBXF05LA,0.28992,10,3,1
LBXF08LA,0.06352,10,3,1
LBX074LA,0.24448,11,1,1
LBX099LA,0.11664,11,1,1
LBX138LA,0.22464,11,1,1
LBX153LA,0.2256,11,1,1
LBX170LA,0.25408,11,1,1
LBX180LA,0.17376,11,1,1
LBX187LA,0.81904,11,1,1
LBX194LA,0.59824,11,1,1
LBXPCBLA,0.14048,11,1,1
LBXHXCLA,0.13056,11,1,1
LBX118LA,0.1384,11,1,1
LBXD03LA,0.81008,11,1,1
LBXD05LA,0.9048,11,1,1
LBXD07LA,0.1736,11,1,1
LBXF03LA,0.0904,11,1,1
LBXF04LA,0.17632,11,1,1
LBXF05LA,0.14896,11,1,1
LBXF08LA,0.08784,11,1,1
LBX074LA,0.9488,12,3,1
LBX099LA,0.14592,12,3,1
LBX138LA,0.38656,12,3,1
LBX153LA,0.21296,12,3,1
LBX170LA,0.4112,12,3,1
LBX180LA,0.22416,12,3,1
LBX187LA,0.15984,12,3,1
LBX194LA,0.6896,12,3,1
LBXPCBLA,0.08304,12,3,1
LBXHXCLA,0.51696,12,3,1
LBX118LA,0.09728,12,3,1
LBXD03LA,0.04736,12,3,1
LBXD05LA,0.58128,12,3,1
LBXD07LA,0.04976,12,3,1
LBXF03LA,0.03856,12,3,1
LBXF04LA,0.99456,12,3,1
LBXF05LA,0.04944,12,3,1
LBXF08LA,0.25472,12,3,1
LBX074LA,0.43184,13,2,1
LBX099LA,0.17392,13,2,1
LBX138LA,0.13296,13,2,1
LBX153LA,0.15456,13,2,1
LBX170LA,0.20688,13,2,1
LBX180LA,0.2704,13,2,1
LBX187LA,0.19344,13,2,1
LBX194LA,0.96352,13,2,1
LBXPCBLA,0.17088,13,2,1
LBXHXCLA,0.20672,13,2,1
LBX118LA,0.22784,13,2,1
LBXD03LA,0.2432,13,2,1
LBXD05LA,0.95216,13,2,1
LBXD07LA,0.13776,13,2,1
LBXF03LA,0.08784,13,2,1
LBXF04LA,0.97392,13,2,1
LBXF05LA,0.34528,13,2,1
LBXF08LA,0.1008,13,2,1
LBX074LA,0.9248,14,3,1
LBX099LA,0.05664,14,3,1
LBX138LA,0.06144,14,3,1
LBX153LA,0.06544,14,3,1
LBX170LA,0.11024,14,3,1
LBX180LA,0.07264,14,3,1
LBX187LA,0.41872,14,3,1
LBX194LA,0.55296,14,3,1
LBXPCBLA,0.07056,14,3,1
LBXHXCLA,0.08944,14,3,1
LBX118LA,0.28256,14,3,1
LBXD03LA,0.26944,14,3,1
LBXD05LA,0.91488,14,3,1
LBXD07LA,0.16832,14,3,1
LBXF03LA,0.46352,14,3,1
LBXF04LA,0.99984,14,3,1
LBXF05LA,0.05904,14,3,1
LBXF08LA,0.16976,14,3,1
LBX074LA,0.14656,15,3,1
LBX099LA,0.08368,15,3,1
LBX138LA,0.04144,15,3,1
LBX153LA,0.0584,15,3,1
LBX170LA,0.32352,15,3,1
LBX180LA,0.10592,15,3,1
LBX187LA,0.36688,15,3,1
LBX194LA,0.99952,15,3,1
LBXPCBLA,0.15712,15,3,1
LBXHXCLA,0.0512,15,3,1
LBX118LA,0.06288,15,3,1
LBXD03LA,0.05632,15,3,1
LBXD05LA,0.94368,15,3,1
LBXD07LA,0.23904,15,3,1
LBXF03LA,0.0112,15,3,1
LBXF04LA,0.99984,15,3,1
LBXF05LA,0.10064,15,3,1
LBXF08LA,0.04816,15,3,1
LBX074LA,0.19056,16,2,1
LBX099LA,0.06496,16,2,1
LBX138LA,0.10688,16,2,1
LBX153LA,0.17024,16,2,1
LBX170LA,0.15712,16,2,1
LBX180LA,0.10112,16,2,1
LBX187LA,0.17568,16,2,1
LBX194LA,0.9592,16,2,1
LBXPCBLA,0.964,16,2,1
LBXHXCLA,0.08208,16,2,1
LBX118LA,0.12368,16,2,1
LBXD03LA,0.29696,16,2,1
LBXD05LA,0.99728000000000006,16,2,1
LBXD07LA,0.18384,16,2,1
LBXF03LA,0.1416,16,2,1
LBXF04LA,0.77696,16,2,1
LBXF05LA,0.28368,16,2,1
LBXF08LA,0.06848,16,2,1
LBX074LA,0.48928,17,3,1
LBX099LA,0.11168,17,3,1
LBX138LA,0.33712,17,3,1
LBX153LA,0.21648,17,3,1
LBX170LA,0.31616,17,3,1
LBX180LA,0.27104,17,3,1
LBX187LA,0.42016,17,3,1
LBX194LA,0.96336,17,3,1
LBXPCBLA,0.98368,17,3,1
LBXHXCLA,0.22832,17,3,1
LBX118LA,0.38144,17,3,1
LBXD03LA,0.32816,17,3,1
