PIP,trial,df,case
0,1301,3,14
0,1302,1,14
0,1303,1,14
0,1304,2,14
0,1305,2,14
0,1306,2,14
0,1307,2,14
0,1308,1,14
0,1309,1,14
0,1310,1,14
0,1311,1,14
0,1312,2,14
0,1313,1,14
0,1314,1,14
0,1315,4,14
3.1999999999999997e-4,1316,1,14
0,1317,1,14
0,1318,3,14
0,1319,2,14
0,1320,4,14
0,1321,2,14
0,1322,2,14
0,1323,3,14
0,1324,1,14
0,1325,4,14
0,1326,1,14
0,1327,2,14
4.8e-4,1328,2,14
0,1329,4,14
0,1330,3,14
0,1331,2,14
0,1332,2,14
0,1333,4,14
0,1334,1,14
0,1335,3,14
0,1336,2,14
0,1337,3,14
0,1338,1,14
0,1339,2,14
0,1340,3,14
0,1341,2,14
0,1342,2,14
0,1343,2,14
0,1344,4,14
0,1345,3,14
0,1346,1,14
0,1347,2,14
0,1348,3,14
0,1349,4,14
0,1350,1,14
0,1351,4,14
0,1352,3,14
0,1353,1,14
0,1354,3,14
0,1355,1,14
0,1356,3,14
0,1357,2,14
0,1358,4,14
0,1359,3,14
0,1360,3,14
0,1361,1,14
0,1362,4,14
0,1363,4,14
0,1364,2,14
0,1365,3,14
0,1366,1,14
0,1367,2,14
0,1368,1,14
0,1369,2,14
0,1370,2,14
0,1371,1,14
0,1372,1,14
0,1373,3,14
0,1374,2,14
0,1375,3,14
0,1376,4,14
0,1377,2,14
0,1378,1,14
0,1379,4,14
0,1380,1,14
0,1381,1,14
0,1382,2,14
0,1383,2,14
0,1384,3,14
0,1385,4,14
0,1386,4,14
0,1387,2,14
0,1388,2,14
0,1389,3,14
0,1390,3,14
0,1391,4,14
0,1392,4,14
0,1393,2,14
0,1394,3,14
0,1395,2,14
0,1396,1,14
0,1397,3,14
0,1398,1,14
0,1399,1,14
0,1400,2,14
0,1401,2,15
0,1402,2,15
0,1403,1,15
4.8e-4,1404,1,15
0,1405,4,15
0,1406,3,15
9.6e-4,1407,1,15
0,1408,1,15
0,1409,2,15
0,1410,2,15
0,1411,2,15
0,1412,3,15
0,1413,3,15
0,1414,2,15
0,1415,4,15
0,1416,4,15
0,1417,1,15
0,1418,3,15
0,1419,4,15
0,1420,3,15
0,1421,1,15
0,1422,1,15
0,1423,3,15
0,1424,2,15
0,1425,2,15
0,1426,1,15
0,1427,3,15
0,1428,1,15
0,1429,1,15
1.6e-4,1430,1,15
0,1431,2,15
0,1432,3,15
0,1433,1,15
0,1434,4,15
0,1435,1,15
0,1436,4,15
0,1437,2,15
0,1438,2,15
0,1439,1,15
0,1440,2,15
0,1441,1,15
0,1442,4,15
0,1443,2,15
0,1444,3,15
0,1445,2,15
0,1446,3,15
0,1447,2,15
0,1448,1,15
