variable,PIP,trial,df,case
LBX074LA,0.12336,100,1,1
LBX099LA,0.09792,100,1,1
LBX138LA,0.14288,100,1,1
LBX153LA,0.16176,100,1,1
LBX170LA,0.23584,100,1,1
LBX180LA,0.14496,100,1,1
LBX187LA,0.14464,100,1,1
LBX194LA,0.35728,100,1,1
LBXPCBLA,0.56512,100,1,1
LBXHXCLA,0.08928,100,1,1
LBX118LA,0.18288,100,1,1
LBXD03LA,0.128,100,1,1
LBXD05LA,0.22432,100,1,1
LBXD07LA,0.11952,100,1,1
LBXF03LA,0.0512,100,1,1
LBXF04LA,0.11632,100,1,1
LBXF05LA,0.0616,100,1,1
LBXF08LA,0.06304,100,1,1
LBX074LA,0.14352,10,4,1
LBX099LA,0.1384,10,4,1
LBX138LA,0.41536,10,4,1
LBX153LA,0.23088,10,4,1
LBX170LA,0.2656,10,4,1
LBX180LA,0.10912,10,4,1
LBX187LA,0.32032,10,4,1
LBX194LA,0.10912,10,4,1
LBXPCBLA,0.14416,10,4,1
LBXHXCLA,0.08224,10,4,1
LBX118LA,0.21856,10,4,1
LBXD03LA,0.15936,10,4,1
LBXD05LA,0.89888,10,4,1
LBXD07LA,0.0744,10,4,1
LBXF03LA,0.14096,10,4,1
LBXF04LA,0.268,10,4,1
LBXF05LA,0.059520000000000003,10,4,1
LBXF08LA,0.09152,10,4,1
LBX074LA,0.89104,11,4,1
LBX099LA,0.64032,11,4,1
LBX138LA,0.05568,11,4,1
LBX153LA,0.06784,11,4,1
LBX170LA,0.08016,11,4,1
LBX180LA,0.1968,11,4,1
LBX187LA,0.10592,11,4,1
LBX194LA,0.94112,11,4,1
LBXPCBLA,0.2936,11,4,1
LBXHXCLA,0.044,11,4,1
LBX118LA,0.16176,11,4,1
LBXD03LA,0.74848,11,4,1
LBXD05LA,0.0344,11,4,1
LBXD07LA,0.0632,11,4,1
LBXF03LA,0.01824,11,4,1
LBXF04LA,0.192,11,4,1
LBXF05LA,0.18064,11,4,1
LBXF08LA,0.22656,11,4,1
LBX074LA,0.12064,12,1,1
LBX099LA,0.09376,12,1,1
LBX138LA,0.16512,12,1,1
LBX153LA,0.1776,12,1,1
LBX170LA,0.11328,12,1,1
LBX180LA,0.16368,12,1,1
LBX187LA,0.12848,12,1,1
LBX194LA,0.9928,12,1,1
LBXPCBLA,0.42528,12,1,1
LBXHXCLA,0.10944,12,1,1
LBX118LA,0.1056,12,1,1
LBXD03LA,0.26288,12,1,1
LBXD05LA,0.78304,12,1,1
LBXD07LA,0.78576,12,1,1
LBXF03LA,0.10704,12,1,1
LBXF04LA,0.67824,12,1,1
LBXF05LA,0.09696,12,1,1
LBXF08LA,0.07632,12,1,1
LBX074LA,0.21584,13,2,1
LBX099LA,0.2696,13,2,1
LBX138LA,0.19072,13,2,1
LBX153LA,0.21328,13,2,1
LBX170LA,0.28816,13,2,1
LBX180LA,0.33632,13,2,1
LBX187LA,0.43632,13,2,1
LBX194LA,0.36368,13,2,1
LBXPCBLA,0.2256,13,2,1
LBXHXCLA,0.72992,13,2,1
LBX118LA,0.2168,13,2,1
LBXD03LA,0.12736,13,2,1
LBXD05LA,0.09536,13,2,1
LBXD07LA,0.12384,13,2,1
LBXF03LA,0.17648,13,2,1
LBXF04LA,0.95216,13,2,1
LBXF05LA,0.2168,13,2,1
LBXF08LA,0.24416,13,2,1
LBX074LA,0.32032,14,3,1
LBX099LA,0.17328,14,3,1
LBX138LA,0.12192,14,3,1
LBX153LA,0.15456,14,3,1
LBX170LA,0.11184,14,3,1
LBX180LA,0.07264,14,3,1
LBX187LA,0.07904,14,3,1
LBX194LA,0.2336,14,3,1
LBXPCBLA,0.5888,14,3,1
LBXHXCLA,0.128,14,3,1
LBX118LA,0.456,14,3,1
LBXD03LA,0.92128,14,3,1
LBXD05LA,0.064,14,3,1
LBXD07LA,0.07632,14,3,1
LBXF03LA,0.42368,14,3,1
LBXF04LA,0.50528,14,3,1
LBXF05LA,0.39648,14,3,1
LBXF08LA,0.0664,14,3,1
LBX074LA,0.228,15,1,1
LBX099LA,0.17664,15,1,1
LBX138LA,0.1224,15,1,1
LBX153LA,0.12176,15,1,1
LBX170LA,0.17664,15,1,1
LBX180LA,0.14768,15,1,1
LBX187LA,0.52416,15,1,1
LBX194LA,0.40896,15,1,1
LBXPCBLA,0.0496,15,1,1
LBXHXCLA,0.06784,15,1,1
LBX118LA,0.10096,15,1,1
LBXD03LA,0.07344,15,1,1
LBXD05LA,0.06992,15,1,1
LBXD07LA,0.15776,15,1,1
LBXF03LA,0.11488,15,1,1
LBXF04LA,0.05648,15,1,1
LBXF05LA,0.12992,15,1,1
LBXF08LA,0.08592,15,1,1
LBX074LA,0.16416,16,2,1
LBX099LA,0.13424,16,2,1
LBX138LA,0.33808,16,2,1
LBX153LA,0.164,16,2,1
LBX170LA,0.1056,16,2,1
LBX180LA,0.14272,16,2,1
LBX187LA,0.08304,16,2,1
LBX194LA,0.09632,16,2,1
LBXPCBLA,0.05104,16,2,1
LBXHXCLA,0.59872,16,2,1
LBX118LA,0.10032,16,2,1
LBXD03LA,0.07696,16,2,1
LBXD05LA,0.44784,16,2,1
LBXD07LA,0.0848,16,2,1
LBXF03LA,0.05712,16,2,1
LBXF04LA,0.30352,16,2,1
LBXF05LA,0.06704,16,2,1
