variable,PIP,race,trial,case
LBX074LA,0.4052,1,1,1
LBX099LA,0.42196,1,1,1
LBX138LA,0.36752,1,1,1
LBX153LA,0.33436,1,1,1
LBX170LA,0.3638,1,1,1
LBX180LA,0.3456,1,1,1
LBX187LA,0.45452,1,1,1
LBX194LA,0.43744,1,1,1
LBXPCBLA,0.6104,1,1,1
LBXHXCLA,0.31656,1,1,1
LBX118LA,0.5108,1,1,1
LBXD03LA,0.34608,1,1,1
LBXD05LA,0.3262,1,1,1
LBXD07LA,0.33244,1,1,1
LBXF03LA,0.2802,1,1,1
LBXF04LA,0.85816,1,1,1
LBXF05LA,0.299,1,1,1
LBXF08LA,0.31764,1,1,1
LBX074LA,0.31584,2,1,1
LBX099LA,0.31252,2,1,1
LBX138LA,0.28492,2,1,1
LBX153LA,0.39948,2,1,1
LBX170LA,0.31832,2,1,1
LBX180LA,0.41148,2,1,1
LBX187LA,0.44812,2,1,1
LBX194LA,0.51708,2,1,1
LBXPCBLA,0.35312,2,1,1
LBXHXCLA,0.32424,2,1,1
LBX118LA,0.34688,2,1,1
LBXD03LA,0.32176,2,1,1
LBXD05LA,0.44064,2,1,1
LBXD07LA,0.63356,2,1,1
LBXF03LA,0.24212,2,1,1
LBXF04LA,0.851,2,1,1
LBXF05LA,0.33888,2,1,1
LBXF08LA,0.21116,2,1,1
LBX074LA,0.32192,3,1,1
LBX099LA,0.30544,3,1,1
LBX138LA,0.41672,3,1,1
LBX153LA,0.4854,3,1,1
LBX170LA,0.31864,3,1,1
LBX180LA,0.36964,3,1,1
LBX187LA,0.31876,3,1,1
LBX194LA,0.2984,3,1,1
LBXPCBLA,0.429,3,1,1
LBXHXCLA,0.30424,3,1,1
LBX118LA,0.33064,3,1,1
LBXD03LA,0.38924,3,1,1
LBXD05LA,0.40344,3,1,1
LBXD07LA,0.33708,3,1,1
LBXF03LA,0.39944,3,1,1
LBXF04LA,0.38112,3,1,1
LBXF05LA,0.34904,3,1,1
LBXF08LA,0.48524,3,1,1
LBX074LA,0.48376,1,10,1
LBX099LA,0.676,1,10,1
LBX138LA,0.77528,1,10,1
LBX153LA,0.68016,1,10,1
LBX170LA,0.60392,1,10,1
LBX180LA,0.69304,1,10,1
LBX187LA,0.51304,1,10,1
LBX194LA,0.53524,1,10,1
LBXPCBLA,0.623,1,10,1
LBXHXCLA,0.6128,1,10,1
LBX118LA,0.5948,1,10,1
LBXD03LA,0.55304,1,10,1
LBXD05LA,0.87396,1,10,1
LBXD07LA,0.40736,1,10,1
LBXF03LA,0.57856,1,10,1
LBXF04LA,0.63452,1,10,1
LBXF05LA,0.5418,1,10,1
LBXF08LA,0.51972,1,10,1
LBX074LA,0.7678,2,10,1
LBX099LA,0.79068,2,10,1
LBX138LA,0.71276,2,10,1
LBX153LA,0.69796,2,10,1
LBX170LA,0.57376,2,10,1
LBX180LA,0.60488,2,10,1
LBX187LA,0.67888,2,10,1
LBX194LA,0.76192,2,10,1
LBXPCBLA,0.8292,2,10,1
LBXHXCLA,0.50704,2,10,1
LBX118LA,0.74828,2,10,1
