variable,PIP,race,trial,case
LBX074LA,0.40392,1,1,1
LBX099LA,0.4666,1,1,1
LBX138LA,0.39656,1,1,1
LBX153LA,0.4274,1,1,1
LBX170LA,0.45168,1,1,1
LBX180LA,0.36248,1,1,1
LBX187LA,0.39592,1,1,1
LBX194LA,0.62428,1,1,1
LBXPCBLA,0.34248,1,1,1
LBXHXCLA,0.43364,1,1,1
LBX118LA,0.3764,1,1,1
LBXD03LA,0.3674,1,1,1
LBXD05LA,0.34636,1,1,1
LBXD07LA,0.4344,1,1,1
LBXF03LA,0.34876,1,1,1
LBXF04LA,0.42092,1,1,1
LBXF05LA,0.36924,1,1,1
LBXF08LA,0.41464,1,1,1
LBX074LA,0.31124,2,1,1
LBX099LA,0.2944,2,1,1
LBX138LA,0.25704,2,1,1
LBX153LA,0.26208,2,1,1
LBX170LA,0.21068,2,1,1
LBX180LA,0.22428,2,1,1
LBX187LA,0.28036,2,1,1
LBX194LA,0.20668,2,1,1
LBXPCBLA,0.33644,2,1,1
LBXHXCLA,0.26912,2,1,1
LBX118LA,0.27084,2,1,1
LBXD03LA,0.27012,2,1,1
LBXD05LA,0.3802,2,1,1
LBXD07LA,0.29216,2,1,1
LBXF03LA,0.19072,2,1,1
LBXF04LA,0.26936,2,1,1
LBXF05LA,0.23688,2,1,1
LBXF08LA,0.29728,2,1,1
LBX074LA,0.21548,3,1,1
LBX099LA,0.19604,3,1,1
LBX138LA,0.23372,3,1,1
LBX153LA,0.19556,3,1,1
LBX170LA,0.1906,3,1,1
LBX180LA,0.20032,3,1,1
LBX187LA,0.19388,3,1,1
LBX194LA,0.14212,3,1,1
LBXPCBLA,0.4576,3,1,1
LBXHXCLA,0.38608,3,1,1
LBX118LA,0.22904,3,1,1
LBXD03LA,0.20608,3,1,1
LBXD05LA,0.21068,3,1,1
LBXD07LA,0.15568,3,1,1
LBXF03LA,0.21708,3,1,1
LBXF04LA,0.18276,3,1,1
LBXF05LA,0.21996,3,1,1
LBXF08LA,0.15436,3,1,1
LBX074LA,0.2302,1,10,1
LBX099LA,0.4052,1,10,1
LBX138LA,0.28512,1,10,1
LBX153LA,0.30932,1,10,1
LBX170LA,0.28212,1,10,1
LBX180LA,0.28108,1,10,1
LBX187LA,0.32916,1,10,1
LBX194LA,0.29732,1,10,1
LBXPCBLA,0.25864,1,10,1
LBXHXCLA,0.35828,1,10,1
LBX118LA,0.3156,1,10,1
LBXD03LA,0.2772,1,10,1
LBXD05LA,0.2832,1,10,1
LBXD07LA,0.30592,1,10,1
LBXF03LA,0.41784,1,10,1
LBXF04LA,0.29388,1,10,1
LBXF05LA,0.27556,1,10,1
LBXF08LA,0.2604,1,10,1
LBX074LA,0.231,2,10,1
LBX099LA,0.17972,2,10,1
LBX138LA,0.19168,2,10,1
LBX153LA,0.20216,2,10,1
LBX170LA,0.19836,2,10,1
LBX180LA,0.18976,2,10,1
LBX187LA,0.19804,2,10,1
LBX194LA,0.214,2,10,1
LBXPCBLA,0.15144,2,10,1
LBXHXCLA,0.22152,2,10,1
LBX118LA,0.14868,2,10,1
LBXD03LA,0.24556,2,10,1
LBXD05LA,0.15076,2,10,1
LBXD07LA,0.15408,2,10,1
LBXF03LA,0.18,2,10,1
LBXF04LA,0.2606,2,10,1
LBXF05LA,0.20872,2,10,1
LBXF08LA,0.21224,2,10,1
LBX074LA,0.40356,3,10,1
LBX099LA,0.40144,3,10,1
LBX138LA,0.41108,3,10,1
LBX153LA,0.40508,3,10,1
LBX170LA,0.3922,3,10,1
LBX180LA,0.39632,3,10,1
LBX187LA,0.44852,3,10,1
LBX194LA,0.39552,3,10,1
LBXPCBLA,0.37868,3,10,1
LBXHXCLA,0.40332,3,10,1
LBX118LA,0.44236,3,10,1
LBXD03LA,0.41044,3,10,1
LBXD05LA,0.45948,3,10,1
LBXD07LA,0.36656,3,10,1
LBXF03LA,0.34932,3,10,1
LBXF04LA,0.4276,3,10,1
LBXF05LA,0.35732,3,10,1
LBXF08LA,0.40808,3,10,1
LBX074LA,0.47256,1,100,1
LBX099LA,0.48256,1,100,1
LBX138LA,0.5926,1,100,1
LBX153LA,0.517,1,100,1
LBX170LA,0.70276,1,100,1
LBX180LA,0.64912,1,100,1
LBX187LA,0.48808,1,100,1
LBX194LA,0.49176,1,100,1
LBXPCBLA,0.56648,1,100,1
LBXHXCLA,0.47084,1,100,1
LBX118LA,0.45776,1,100,1
LBXD03LA,0.454,1,100,1
LBXD05LA,0.46236,1,100,1
LBXD07LA,0.4038,1,100,1
LBXF03LA,0.4978,1,100,1
LBXF04LA,0.57272,1,100,1
LBXF05LA,0.59124,1,100,1
LBXF08LA,0.55328,1,100,1
LBX074LA,0.5218,2,100,1
LBX099LA,0.54384,2,100,1
LBX138LA,0.575,2,100,1
LBX153LA,0.59324,2,100,1
LBX170LA,0.68268,2,100,1
LBX180LA,0.58456,2,100,1
LBX187LA,0.5742,2,100,1
LBX194LA,0.64548,2,100,1
LBXPCBLA,0.47576,2,100,1
LBXHXCLA,0.60216,2,100,1
LBX118LA,0.69632,2,100,1
LBXD03LA,0.515,2,100,1
LBXD05LA,0.49912,2,100,1
LBXD07LA,0.46576,2,100,1
LBXF03LA,0.49504,2,100,1
LBXF04LA,0.60408,2,100,1
LBXF05LA,0.5722,2,100,1
LBXF08LA,0.74184,2,100,1
LBX074LA,0.487,3,100,1
LBX099LA,0.47068,3,100,1
LBX138LA,0.43812,3,100,1
LBX153LA,0.44176,3,100,1
LBX170LA,0.42592,3,100,1
LBX180LA,0.41632,3,100,1
LBX187LA,0.46212,3,100,1
LBX194LA,0.4974,3,100,1
LBXPCBLA,0.4544,3,100,1
LBXHXCLA,0.44768,3,100,1
LBX118LA,0.40368,3,100,1
LBXD03LA,0.42212,3,100,1
LBXD05LA,0.46204,3,100,1
LBXD07LA,0.4174,3,100,1
LBXF03LA,0.5388,3,100,1
LBXF04LA,0.4104,3,100,1
LBXF05LA,0.48608,3,100,1
LBXF08LA,0.44112,3,100,1
LBX074LA,0.4744,1,11,1
LBX099LA,0.46532,1,11,1
LBX138LA,0.39092,1,11,1
LBX153LA,0.4102,1,11,1
LBX170LA,0.45876,1,11,1
LBX180LA,0.49348,1,11,1
LBX187LA,0.49296,1,11,1
LBX194LA,0.41144,1,11,1
LBXPCBLA,0.39984,1,11,1
LBXHXCLA,0.45708,1,11,1
LBX118LA,0.3948,1,11,1
LBXD03LA,0.41548,1,11,1
LBXD05LA,0.38504,1,11,1
LBXD07LA,0.40556,1,11,1
LBXF03LA,0.37552,1,11,1
LBXF04LA,0.38076,1,11,1
LBXF05LA,0.4364,1,11,1
LBXF08LA,0.72556,1,11,1
LBX074LA,0.34148,2,11,1
LBX099LA,0.32388,2,11,1
LBX138LA,0.35284,2,11,1
LBX153LA,0.34372,2,11,1
LBX170LA,0.3502,2,11,1
LBX180LA,0.38016,2,11,1
LBX187LA,0.34968,2,11,1
LBX194LA,0.40664,2,11,1
LBXPCBLA,0.68748,2,11,1
LBXHXCLA,0.34848,2,11,1
LBX118LA,0.40524,2,11,1
LBXD03LA,0.31452,2,11,1
LBXD05LA,0.74284,2,11,1
LBXD07LA,0.37476,2,11,1
