variable,PIP,df,race,trial,case
LBX074LA,0.32736,2,1,1,1
LBX099LA,0.22944,2,1,1,1
LBX138LA,0.37872,2,1,1,1
LBX153LA,0.1968,2,1,1,1
LBX170LA,0.144,2,1,1,1
LBX180LA,0.14544,2,1,1,1
LBX187LA,0.33568,2,1,1,1
LBX194LA,0.27696,2,1,1,1
LBXPCBLA,0.62176,2,1,1,1
LBXHXCLA,0.14432,2,1,1,1
LBX118LA,0.39504,2,1,1,1
LBXD03LA,0.1616,2,1,1,1
LBXD05LA,0.09264,2,1,1,1
LBXD07LA,0.2664,2,1,1,1
LBXF03LA,0.14448,2,1,1,1
LBXF04LA,0.98048,2,1,1,1
LBXF05LA,0.08176,2,1,1,1
LBXF08LA,0.088,2,1,1,1
LBX074LA,0.04528,3,2,1,1
LBX099LA,0.03312,3,2,1,1
LBX138LA,0.05072,3,2,1,1
LBX153LA,0.19328,3,2,1,1
LBX170LA,0.0656,3,2,1,1
LBX180LA,0.19216,3,2,1,1
LBX187LA,0.14784,3,2,1,1
LBX194LA,0.55024,3,2,1,1
LBXPCBLA,0.0648,3,2,1,1
LBXHXCLA,0.01664,3,2,1,1
LBX118LA,0.13296,3,2,1,1
LBXD03LA,0.11536,3,2,1,1
LBXD05LA,0.16864,3,2,1,1
LBXD07LA,0.27408,3,2,1,1
LBXF03LA,0.01008,3,2,1,1
LBXF04LA,0.79872,3,2,1,1
LBXF05LA,0.0368,3,2,1,1
LBXF08LA,0.00864,3,2,1,1
LBX074LA,0.10176,2,3,1,1
LBX099LA,0.08336,2,3,1,1
LBX138LA,0.3688,2,3,1,1
LBX153LA,0.4304,2,3,1,1
LBX170LA,0.11824,2,3,1,1
LBX180LA,0.14704,2,3,1,1
LBX187LA,0.1088,2,3,1,1
LBX194LA,0.08256,2,3,1,1
LBXPCBLA,0.87552,2,3,1,1
LBXHXCLA,0.07584,2,3,1,1
LBX118LA,0.47344,2,3,1,1
LBXD03LA,0.15072,2,3,1,1
LBXD05LA,0.11472,2,3,1,1
LBXD07LA,0.15376,2,3,1,1
LBXF03LA,0.1296,2,3,1,1
LBXF04LA,0.22192,2,3,1,1
LBXF05LA,0.07472,2,3,1,1
LBXF08LA,0.26352,2,3,1,1
