var,p,case
(Intercept),0.05625596674305779,1
race2,0.0708279824158046,1
race3,0.14999636422376744,1
race4,0.5635685034249677,1
race5,0.13381011887475974,1
smoke1,8.835931836586696e-6,1
age,1.9339566183527434e-10,1
bmi,2.495263137357664e-4,1
As,0.8884658975427511,1
Cd,0.4284629796045989,1
Co,0.7992246731809577,1
Hg,9.837434408533667e-7,1
Ni,3.1533249439631907e-6,1
Tl,0.6012982362148669,1
Pb,0.08965931322251851,1
Mo,0.033251992802636306,1
Sb,0.8784516568283578,1
Sn,0.11069323356156734,1
(Intercept),4.1647182569805503e-4,2
race2,0.5328988497898361,2
race3,0.8768620224786674,2
race4,0.34640101292078995,2
race5,0.4104905902346453,2
smoke1,1.672773600410244e-7,2
age,8.155043300480382e-10,2
bmi,0.004256035296166754,2
As,0.48819376331060904,2
Cd,0.5235484526014039,2
Co,0.18559882135171887,2
Hg,4.7580217130362496e-11,2
Ni,1.6871281161458132e-4,2
Tl,0.6035196251929854,2
Pb,0.552955439931045,2
Mo,0.30997633607379527,2
Sb,0.17683940456106606,2
Sn,0.04288906033537289,2
(Intercept),0.026092152017418647,3
race2,0.9345743990940698,3
race3,0.7106169866375107,3
race4,0.6324388046106256,3
race5,0.540663936901814,3
smoke1,8.262149694458828e-7,3
age,2.2575829122678784e-8,3
bmi,0.15091580211536448,3
As,0.9604191874004288,3
Cd,0.9335532125986487,3
Co,0.1424433905082907,3
Hg,3.4404206604467826e-9,3
Ni,4.954646965449262e-8,3
Tl,0.45060800916345145,3
Pb,0.7103709727770195,3
Mo,0.5824356223366807,3
Sb,0.14032338394812616,3
Sn,0.09030964763475524,3
(Intercept),0.004248967209972807,4
race2,0.30657488024322405,4
race3,0.6212609477009011,4
race4,0.9801878068908746,4
race5,0.629545668754613,4
smoke1,1.273942556868542e-7,4
age,5.2581420762057436e-5,4
bmi,1.9305156523033645e-5,4
As,0.38187086847345564,4
Cd,0.14084554054236958,4
Co,0.5931231984485698,4
Hg,1.2322186738975563e-10,4
Ni,2.2626029297748093e-7,4
Tl,0.724875272420788,4
Pb,0.9693365089926005,4
Mo,0.20450310451203604,4
Sb,0.15954304229317792,4
Sn,0.007898634974008525,4
(Intercept),0.09192618286579751,5
race2,0.27277909481402307,5
race3,0.641751321478399,5
race4,0.30675726090621486,5
race5,0.09322209919069613,5
smoke1,5.152580637973865e-6,5
age,3.4208467064907783e-9,5
bmi,6.937374981358794e-4,5
As,0.633330565159085,5
Cd,0.7413173332530514,5
Co,0.9457182660236654,5
Hg,1.5861209250814767e-7,5
Ni,4.340650316344384e-8,5
Tl,0.890191921050854,5
Pb,0.9596641103313874,5
Mo,0.8096767116312624,5
Sb,0.3161364579457523,5
Sn,0.04364570672746234,5
(Intercept),0.004641268648664046,6
race2,0.6675990906646401,6
race3,0.6340775027730976,6
race4,0.9424968640915329,6
race5,0.5515086739308885,6
smoke1,3.10747414794595e-7,6
age,1.729754151725396e-10,6
bmi,0.08556669526021247,6
As,0.7764788016962354,6
Cd,0.5762185382616747,6
Co,0.35320969991992224,6
Hg,3.693267677678881e-10,6
Ni,3.0136674431055413e-8,6
Tl,0.22650739361103076,6
Pb,0.5951608579510766,6
Mo,0.5499838183997432,6
Sb,0.5363175866869638,6
Sn,0.07811340044872044,6
(Intercept),3.8129126159772964e-5,7
race2,0.6241349392246924,7
race3,0.3882608743621476,7
race4,0.4510802377151101,7
race5,0.3352156011128339,7
smoke1,3.81787870131376e-7,7
age,3.4061701647074335e-9,7
bmi,0.03676695247340196,7
As,0.9269004735347509,7
Cd,0.7483504306113113,7
Co,0.8841618695637761,7
Hg,1.3210370784415318e-10,7
Ni,5.834512794729455e-9,7
Tl,0.2485432395359816,7
Pb,0.41175582844984915,7
Mo,0.409919824630268,7
Sb,2.1516498868189468e-4,7
Sn,0.023194910669494594,7
(Intercept),0.01638709012424246,8
race2,0.1409891555066484,8
race3,0.9461314996225367,8
race4,0.9857827665315024,8
race5,0.6370236333631354,8
smoke1,1.3748590811614916e-4,8
age,4.1799226725696223e-10,8
bmi,0.008574108905797993,8
As,0.7734666021609544,8
Cd,0.11642056120035338,8
Co,0.8285653620803697,8
Hg,9.834156737091528e-8,8
Ni,4.010575122344751e-8,8
Tl,0.4287864942627716,8
Pb,0.050591913377170304,8
Mo,0.9033674071503155,8
Sb,0.12860152647770703,8
Sn,1.7258912769796778e-5,8
(Intercept),0.003690220451270339,9
race2,0.7997394280294451,9
race3,0.14856370451498652,9
race4,0.36339482536765333,9
race5,0.7082179955337548,9
smoke1,0.001501315463728975,9
age,4.010146165603514e-5,9
bmi,0.0028416836946341356,9
As,0.21065270358935656,9
Cd,0.10763346796979055,9
Co,0.7438111958748066,9
Hg,7.362356725713038e-9,9
Ni,5.297081925372558e-7,9
Tl,0.2597492062042701,9
Pb,0.2099355191944756,9
Mo,0.31655734300367566,9
Sb,0.17703056934741662,9
Sn,0.0014884167082028904,9
(Intercept),1.6321904090744744e-4,10
race2,0.833620599618817,10
race3,0.1854193282202874,10
race4,0.3468685957336545,10
race5,0.3828778811478033,10
smoke1,7.305802991335099e-6,10
age,1.899870160952354e-12,10
bmi,0.10259011754358931,10
As,0.686168658202987,10
Cd,0.5226680593431654,10
Co,0.8500498875499862,10
Hg,3.8428458584098106e-7,10
Ni,2.3546831962013604e-4,10
Tl,0.8844467980824595,10
Pb,0.9436633214745878,10
Mo,0.07047316038367356,10
Sb,4.6997321338460257e-4,10
Sn,3.9840265171501953e-4,10
(Intercept),2.591715440359917e-4,11
race2,0.5495931198632936,11
race3,0.9415558577858161,11
race4,0.4728977474084102,11
race5,0.37720591918362534,11
smoke1,1.036648959985737e-5,11
age,7.3901070012517655e-11,11
bmi,0.0010004700366764107,11
As,0.4749665356836229,11
Cd,0.1262553566570076,11
Co,0.3141648337535975,11
Hg,3.768612727493678e-9,11
Ni,2.339514097495985e-6,11
Tl,0.23589640852120702,11
Pb,0.7693881554274289,11
Mo,0.6874332965210845,11
Sb,0.0038051710076428356,11
Sn,1.6395062344585077e-6,11
(Intercept),0.0011844886683751838,12
race2,0.6565822803837645,12
race3,0.9700272022124553,12
race4,0.8349318599170004,12
race5,0.8326599490392416,12
smoke1,7.53090929348719e-5,12
age,1.2360571369116993e-5,12
bmi,0.0029271705362037704,12
As,0.24762348719184554,12
Cd,0.6886730952657112,12
Co,0.7935745944210949,12
Hg,5.573949407211321e-13,12
Ni,2.130483180047891e-6,12
Tl,0.48051853021261726,12
Pb,0.7911128036913075,12
Mo,0.15077941112425491,12
Sb,0.025965345754515548,12
Sn,0.009450209399196788,12
(Intercept),0.0023910265703142542,13
race2,0.47765794711688436,13
race3,0.7375261853001697,13
race4,0.4987432594492801,13
race5,0.7459918759407342,13
smoke1,0.003377273089714744,13
age,3.331142927861485e-9,13
bmi,1.699647936691884e-5,13
As,0.1393628633931344,13
Cd,0.46866146659959995,13
Co,0.6948337068407624,13
Hg,1.719884758481696e-8,13
Ni,5.519164022418796e-6,13
Tl,0.1136728250692192,13
Pb,0.8777756103138883,13
Mo,0.9322830290199156,13
Sb,1.3475515346514094e-6,13
Sn,0.04275735910989943,13
(Intercept),3.1333647198720675e-4,14
race2,0.48101211153497725,14
race3,0.5759121273300909,14
race4,0.1648530507469263,14
race5,0.5505504608906866,14
smoke1,1.0003316846698905e-4,14
age,3.439228189511596e-10,14
bmi,0.00555577910311138,14
As,0.5924798973483396,14
Cd,0.5169606995411411,14
Co,0.09478139712326054,14
Hg,5.916879971367626e-6,14
Ni,6.851778468449501e-11,14
Tl,0.47320469386712527,14
Pb,0.7969682057518668,14
Mo,0.5823455995726352,14
Sb,0.01424421380157031,14
Sn,6.825304545620226e-4,14
(Intercept),0.002446021879324617,15
race2,0.32754353631377475,15
race3,0.7591274007137727,15
race4,0.9149462998061229,15
race5,0.6754771890906727,15
smoke1,4.391310145345325e-6,15
age,6.874811574001522e-6,15
bmi,0.0179714430165885,15
As,0.5275594077855668,15
Cd,0.7068856650583817,15
Co,0.39430846234612105,15
Hg,1.4189095063203798e-10,15
Ni,1.73611263074643e-6,15
Tl,0.7445256624052863,15
Pb,0.5921827921535799,15
Mo,0.8365601923677464,15
Sb,3.136655818203888e-4,15
Sn,7.868112951377219e-4,15
(Intercept),2.1551757171585947e-4,16
race2,0.37204842891499756,16
race3,0.4832613132966044,16
race4,0.13452075478447015,16
race5,0.7780867661593446,16
smoke1,1.7330548627359822e-4,16
age,4.0805937712362125e-8,16
bmi,0.00550554996606509,16
As,0.6688152539105245,16
Cd,0.7933921151332922,16
Co,0.044422108363484945,16
Hg,1.5846327062254778e-7,16
Ni,1.1257392421880856e-4,16
Tl,0.3567003058640711,16
Pb,0.7940566753483166,16
Mo,0.41984291161803466,16
Sb,0.019680026586687285,16
Sn,0.018342980576067112,16
(Intercept),0.001034846768427349,17
race2,0.10197943867514843,17
race3,0.23888043335844134,17
race4,0.8429733848011538,17
race5,0.21796083513305703,17
smoke1,5.877887288417892e-9,17
age,1.990083535652949e-9,17
bmi,0.7901810502891318,17
As,0.26764165251709227,17
Cd,0.21156044394501625,17
Co,0.6683139894653654,17
Hg,1.359002176141971e-4,17
Ni,1.271943880634157e-9,17
Tl,0.6450428013322616,17
Pb,0.06411044018670717,17
Mo,0.21268488545413763,17
Sb,0.021707628224940625,17
Sn,0.07363506858229954,17
(Intercept),0.014971242049202263,18
race2,0.5375242941854289,18
race3,0.42749473278182015,18
race4,0.8306685356734332,18
race5,0.3148381439819627,18
smoke1,1.264887357527792e-4,18
age,1.5021440645154016e-5,18
bmi,6.505103698992403e-5,18
As,0.09730897812280935,18
Cd,0.3737559376609665,18
Co,0.7755390768961402,18
Hg,4.620447823045042e-7,18
Ni,2.45337943286178e-9,18
Tl,0.1420890578299505,18
Pb,0.9368637940001725,18
Mo,0.5888112577268336,18
Sb,0.05074492821717678,18
Sn,0.0033999981759642297,18
(Intercept),0.014875477331296141,19
race2,0.8544282739586135,19
race3,0.8731402264864633,19
race4,0.9790020181505408,19
race5,0.19768701380408132,19
smoke1,2.3458378705951257e-8,19
age,3.4798116954975304e-12,19
bmi,1.679719866952616e-4,19
As,0.7211870578152579,19
Cd,0.34240795678809377,19
Co,0.13093529118844516,19
Hg,4.060172635391623e-9,19
Ni,4.5676001426153e-8,19
Tl,0.9632074363455548,19
Pb,0.04283415387640617,19
Mo,0.49580681008044547,19
Sb,0.10731473373463873,19
Sn,0.004893671556293425,19
(Intercept),0.02276588684068779,20
race2,0.45859799833293324,20
race3,0.9714932827115395,20
race4,0.9827337796404891,20
race5,0.5104953744380938,20
smoke1,8.171014555915661e-5,20
age,9.49994384381007e-9,20
bmi,0.034798837963123795,20
As,0.7957511114909772,20
Cd,0.0604422588397153,20
Co,0.30448249164975216,20
Hg,5.86552107431024e-8,20
Ni,1.5730883466555272e-6,20
Tl,0.6200514373405752,20
Pb,0.08887208912211685,20
Mo,0.8555897553649516,20
Sb,0.23834455214109768,20
Sn,0.0016325572076529348,20
(Intercept),0.276786697099891,21
race2,0.0015510963221933018,21
race3,0.6556488697955616,21
race4,0.21810756121492528,21
race5,0.08388751542250505,21
smoke1,0.0034003207989213463,21
age,1.7043930568177135e-9,21
bmi,0.04989556746086448,21
As,0.7486496037601668,21
Cd,0.1982206027757684,21
Co,0.980234252791148,21
Hg,1.801482450814647e-13,21
Ni,4.3776420213032315e-5,21
Tl,0.16237168136995303,21
Pb,0.45650365575691376,21
Mo,0.6556015962844468,21
Sb,0.009151599747497116,21
Sn,0.0012272020502986786,21
(Intercept),3.7955383476498996e-4,22
race2,0.9195040881199088,22
race3,0.7376620269864522,22
race4,0.5698988551528721,22
race5,0.8194297974387317,22
smoke1,4.7551657764215085e-4,22
age,3.0535789272259192e-9,22
bmi,0.006568381363584635,22
As,0.9970834453596518,22
Cd,0.4571510653238603,22
Co,0.25307853862802454,22
Hg,1.3889854603020293e-11,22
Ni,5.394519615264426e-9,22
Tl,0.9987274670705709,22
Pb,0.9796200086550524,22
Mo,0.9125397567753383,22
Sb,0.09173243681421997,22
Sn,0.023982815338635836,22
(Intercept),6.769092676226614e-6,23
race2,0.6999820183043641,23
race3,0.12654324594061014,23
race4,0.08062554167660672,23
race5,0.44263298381165184,23
smoke1,1.44513484900334e-7,23
age,2.9534895417590563e-7,23
bmi,6.172449168033278e-4,23
As,0.41839237624186276,23
Cd,0.35315789325469926,23
Co,0.20383163217035902,23
Hg,5.460960132497348e-9,23
Ni,0.004982821629829777,23
Tl,0.34512295543229765,23
Pb,0.8001152268225455,23
Mo,0.0015168352377313685,23
Sb,0.5892603034455518,23
Sn,9.743343775705252e-4,23
(Intercept),0.1259107780594787,24
race2,0.24444241030750458,24
race3,0.9056532372781871,24
race4,0.6416260020253637,24
race5,0.26984623483291786,24
smoke1,0.04973929406116891,24
age,8.154586850846114e-9,24
bmi,2.37008042527262e-5,24
As,0.3475213363562759,24
Cd,0.9397427705531787,24
Co,0.004085689927498641,24
Hg,8.305553671085247e-8,24
Ni,1.3672259483452622e-12,24
Tl,0.5277089524037775,24
Pb,0.3143206722260494,24
Mo,0.37777364087368726,24
Sb,0.028435016791240907,24
Sn,0.007843671222111197,24
(Intercept),0.027984551557999456,25
race2,0.5763143427661417,25
race3,0.23657548169728873,25
race4,0.696957112798936,25
race5,0.23132999271814517,25
smoke1,9.827812993857248e-7,25
age,2.5057942541679866e-8,25
bmi,0.05251893444095649,25
As,0.5793433243132656,25
Cd,0.8967640520443014,25
Co,0.18131664111923979,25
Hg,1.9309787591386814e-8,25
Ni,1.913912584499977e-4,25
Tl,0.21964225657302927,25
Pb,0.07664122499114073,25
Mo,0.5222732835685593,25
Sb,0.016377174227363837,25
Sn,0.04176815092262991,25
(Intercept),6.352033464488292e-5,26
race2,0.9407716076629677,26
race3,0.42754788643765596,26
race4,0.08493161155531984,26
race5,0.6755026379665445,26
smoke1,6.570239372935428e-10,26
age,9.522301482143926e-11,26
bmi,0.028450775173233772,26
As,0.22376339580958512,26
Cd,0.3349859284081943,26
Co,0.6949913636210868,26
Hg,1.3473931649906327e-7,26
Ni,0.012058127897947201,26
Tl,0.8329251686006233,26
Pb,0.34830697842187996,26
Mo,0.35103499698851814,26
Sb,4.2156111495973665e-4,26
Sn,0.06849755295635288,26
(Intercept),0.003238573752946026,27
race2,0.5480376161909752,27
race3,0.9199335049041537,27
race4,0.5344257475624314,27
race5,0.2103862179094069,27
smoke1,4.172003792093692e-7,27
age,1.9726809867030778e-11,27
bmi,0.051823534569544034,27
As,0.3452634995815893,27
Cd,0.09919163168149464,27
Co,0.006459026483959517,27
Hg,8.629888601936239e-9,27
Ni,0.005057560902044884,27
Tl,0.15959256810605169,27
