var,p,case
(Intercept),2.763909430926277e-7,1
race2,0.6837788232784892,1
race3,0.5795118020728857,1
race4,0.46644824372822646,1
race5,0.6996960808805428,1
smoke1,4.637203899512336e-7,1
age,1.323352240923558e-10,1
bmi,7.032126508941651e-4,1
As,0.46754101601121656,1
Cd,0.6180395562491058,1
Co,0.2659199819966872,1
Hg,8.462593649168522e-12,1
Ni,8.566219705873632e-5,1
Tl,0.6165860747445078,1
Pb,0.43052355597159386,1
Mo,0.2504589156338846,1
Sb,0.08994910934067595,1
Sn,9.912985073256278e-5,1
(Intercept),5.751938525070414e-10,2
race2,0.3402183680459505,2
race3,0.015193385199617609,2
race4,0.002669621804682026,2
race5,0.04366926038416167,2
smoke1,5.991456439769885e-4,2
age,2.622812663982699e-8,2
bmi,0.04809377711501357,2
As,0.9014840220836473,2
Cd,0.5234902367777492,2
Co,0.5226041708237239,2
Hg,1.3700378812957994e-5,2
Ni,3.335350964850425e-5,2
Tl,0.8036957039201686,2
Pb,0.5676261119345103,2
Mo,0.986493456541905,2
Sb,0.05848637485071031,2
Sn,0.010038096055216847,2
(Intercept),1.7740362924352715e-4,3
race2,0.1446597684525355,3
race3,0.4887580561665841,3
race4,0.9106928548600315,3
race5,0.7711401607339152,3
smoke1,0.0021953450094613115,3
age,3.32219632130591e-7,3
bmi,0.047710171596262715,3
As,0.5233027785914286,3
Cd,0.727105912709578,3
Co,0.9581754008571143,3
Hg,2.0481258664869607e-9,3
Ni,1.3541276729713652e-5,3
Tl,0.2803316677361471,3
Pb,0.7183356675828052,3
Mo,0.22094426628055883,3
Sb,0.008267268871450687,3
Sn,0.011177010407837326,3
(Intercept),5.605086974865387e-6,4
race2,0.8592322702433248,4
race3,0.47875637170291196,4
race4,0.5606898857882192,4
race5,0.9287761448295966,4
smoke1,1.5565463311124477e-7,4
age,6.234520116979346e-6,4
bmi,0.093896718629467385,4
As,0.6769394941552548,4
Cd,0.5449804336505253,4
Co,0.7101194007506093,4
Hg,2.701397372821194e-12,4
Ni,9.669905071188012e-7,4
Tl,0.8908273356280366,4
Pb,0.4167480137003743,4
Mo,0.44107878158591807,4
Sb,0.007729649428270802,4
Sn,0.04239069819466762,4
(Intercept),2.890475535400288e-4,5
race2,0.2499777284693653,5
race3,0.19447051374346724,5
race4,0.7907121614379803,5
race5,0.02368002138782858,5
smoke1,1.4713465726845743e-9,5
age,2.1346301797384737e-4,5
bmi,3.791639245977255e-4,5
As,0.4325907448461448,5
Cd,0.021263269810691775,5
Co,0.1430811947126564,5
Hg,1.1412359102788332e-8,5
Ni,0.0029960705312754585,5
Tl,0.5694323579455303,5
Pb,0.23251022806744762,5
Mo,0.5908229644952259,5
Sb,0.021023118371974396,5
Sn,0.4254705051968507,5
(Intercept),2.225203866303539e-7,6
race2,0.40908069973845274,6
race3,0.3667310743958305,6
race4,0.4609925292276197,6
race5,0.4428680049855964,6
smoke1,4.942020357847844e-5,6
age,7.419908708256501e-7,6
bmi,3.531457587630665e-6,6
As,0.28235543849772554,6
Cd,0.4436291493635083,6
Co,0.027167064591928074,6
Hg,2.607529271244274e-6,6
Ni,1.8353237122964542e-9,6
Tl,0.9107506640331771,6
Pb,0.4247438958888661,6
Mo,0.2342305292928368,6
Sb,0.13808272453022652,6
Sn,0.046504694287829565,6
(Intercept),3.3824886645672747e-6,7
race2,0.6938190194228052,7
race3,0.044225104567133036,7
race4,0.6150717169431544,7
race5,0.8121196244670676,7
smoke1,5.7736115411754005e-6,7
age,1.2569537656440719e-6,7
bmi,0.07447453333974491,7
As,0.23124781238424028,7
Cd,0.9273873471429794,7
Co,0.20308353235022933,7
Hg,5.238253473738346e-9,7
