var,p,case
(Intercept),0.7893598284988959,1
race2,0.49075916924881735,1
race3,0.124057528643896,1
race4,0.22223268851409664,1
race5,0.11714549455181289,1
smoke1,0.2478724403569416,1
age,0.4106372809489425,1
bmi,0.027774689816257598,1
As,0.5992364655802624,1
Cd,0.4699793021500108,1
Co,0.08801568388550404,1
Hg,0.16459216920088673,1
Ni,0.0892393103635737,1
Tl,0.013253647278794054,1
Pb,0.39410333638098616,1
Mo,0.3224916947744174,1
Sb,0.209497733765651,1
Sn,0.4098175941511262,1
(Intercept),0.9758318173836971,2
race2,0.012101504595000645,2
race3,0.017622157784739967,2
race4,0.2982120125102609,2
race5,0.27290078017751496,2
smoke1,0.291432103859602,2
age,0.005466121394609229,2
bmi,0.7975279805069917,2
As,0.16311516281924365,2
Cd,0.6284636141239444,2
Co,0.23986551736706346,2
Hg,0.19842597862014624,2
Ni,0.17618476276316491,2
Tl,0.16598525797879943,2
Pb,0.6725063650617673,2
Mo,0.7496851977036378,2
Sb,0.05359301833656043,2
Sn,0.03766162588231059,2
(Intercept),0.37184337221278885,3
race2,0.8068159061312014,3
race3,0.09088588239804947,3
race4,0.5310380027364523,3
race5,0.548385107201362,3
smoke1,0.24955324114985297,3
age,0.008658876740635327,3
bmi,6.811047062128795e-4,3
As,0.5799733730272651,3
Cd,0.04390365284306566,3
Co,0.9075419597684737,3
Hg,8.379095029157355e-5,3
Ni,0.0013628539207420265,3
Tl,0.2442138708105729,3
Pb,0.5434989943839865,3
Mo,0.7998133016515799,3
Sb,0.7736207781204124,3
Sn,0.2766855751831806,3
(Intercept),0.9418639005408296,4
race2,0.05126489150773974,4
race3,0.20316400193509498,4
race4,0.2277493966251345,4
race5,0.038211236272221484,4
smoke1,0.0010895789015666747,4
age,1.5681459747619845e-4,4
bmi,0.002503903465464649,4
As,0.928721517971907,4
Cd,0.14966861108143042,4
Co,0.3989035232795811,4
Hg,0.022439002150364727,4
Ni,0.03980770936319027,4
Tl,0.9748552531426795,4
Pb,0.18381567651060376,4
Mo,0.8647686742307155,4
Sb,0.04316581730874259,4
Sn,0.02588399488136751,4
(Intercept),0.0033766581129642433,5
race2,0.5107893299933264,5
race3,0.5002260791573481,5
race4,0.08980424277352536,5
race5,0.7892441133994271,5
smoke1,0.09927041632293458,5
age,0.38371137910422615,5
bmi,0.5063690505638736,5
As,0.4067246905549118,5
Cd,0.46062889551708397,5
Co,0.35909405216741797,5
Hg,2.0246320575258324e-4,5
Ni,0.0021221040110295376,5
Tl,0.06467146247268714,5
Pb,0.9958813991132744,5
Mo,0.1083012375766088,5
Sb,0.2306683560000463,5
Sn,0.9181946156003151,5
(Intercept),0.056371798832761645,6
race2,0.6199398959625029,6
race3,0.6393680463845696,6
race4,0.517994503918249,6
race5,0.6045000024180498,6
smoke1,0.048258140282350315,6
age,0.02538163817451689,6
bmi,0.0317337103633828,6
As,0.6909283233220569,6
Cd,0.8357369267408581,6
Co,0.7857125521264616,6
Hg,0.009675981186207935,6
Ni,4.7341857944963706e-4,6
Tl,0.9030225782710888,6
Pb,0.3978917625092384,6
Mo,0.4639808297967124,6
Sb,0.9114220533066443,6
Sn,0.19077330830584113,6
(Intercept),0.03534815726843977,7
race2,0.9531313064259757,7
race3,0.8107564785997229,7
race4,0.38836771481423493,7
race5,0.7515172764369427,7
smoke1,1.9321155563238308e-4,7
age,0.009705937809490585,7
bmi,0.8651696711320334,7
As,0.39040278494524583,7
Cd,0.9399235241221817,7
Co,0.13091199486505525,7
Hg,0.021329345669903934,7
Ni,9.776411572116842e-4,7
Tl,0.48821677899054117,7
Pb,0.9142014659558759,7
Mo,0.24289727238015393,7
Sb,0.8364336518331742,7
Sn,0.8801055051385743,7
(Intercept),0.00431833936208148,8
race2,0.665502397549169,8
race3,0.04392280991581145,8
race4,0.02395719443725975,8
race5,0.4556385497851274,8
smoke1,0.006654497448573898,8
age,0.007312049066351965,8
bmi,0.3702389090580257,8
As,0.48992575683158845,8
Cd,0.38568891935487126,8
Co,0.96006340537476,8
Hg,0.0012001955552161164,8
Ni,0.0015382227997909773,8
Tl,0.8847010537335176,8
Pb,0.15213899107666068,8
Mo,0.7785479877322823,8
Sb,0.017986512154783352,8
Sn,0.09434249832856949,8
(Intercept),0.1007511356570572,9
race2,0.7395548365883928,9
race3,0.580065454186647,9
race4,0.7255123174556328,9
race5,0.8409332501974909,9
smoke1,0.001400705517863757,9
