var,p,case
(Intercept),0.20029400516597362,1
race2,0.9938357878748137,1
race3,0.8873408620314325,1
race4,0.6297264336447431,1
race5,0.44716756430686555,1
smoke1,0.09967911616957874,1
age,0.08287311349448945,1
bmi,0.06081194169772454,1
As,0.875870314520381,1
Cd,0.4952699719502788,1
Co,0.6422631027104693,1
Hg,0.0012232953943939527,1
Ni,0.03409625189016279,1
Tl,0.37088132808048513,1
Pb,0.47836994146423206,1
Mo,0.48701434867418425,1
Sb,0.08030568663577184,1
Sn,0.005925317373185623,1
(Intercept),0.2736834397862035,2
race2,0.10925110641766109,2
race3,0.061895144088558035,2
race4,0.191651706758506,2
race5,0.056571941765495216,2
smoke1,0.19327464170661965,2
age,0.01450038595563243,2
bmi,0.012797283340569891,2
As,0.7583710844527828,2
Cd,0.07881551217873253,2
Co,0.44232467834983347,2
Hg,0.0012961842393692477,2
Ni,2.0743163728342473e-4,2
Tl,0.07991414429919698,2
Pb,0.40988126093784005,2
Mo,0.3449099429071584,2
Sb,0.40231453249218374,2
Sn,0.05344496805219122,2
(Intercept),0.13139659349923255,3
race2,0.6140176352578124,3
race3,0.26529435024843045,3
race4,0.7895231853782391,3
race5,0.8109342454592259,3
smoke1,0.015000643520133033,3
age,1.422384011520435e-4,3
bmi,0.22638323414009903,3
As,0.9108163952983426,3
Cd,0.4535545964048183,3
Co,0.8481565682048533,3
Hg,0.010142502966581684,3
Ni,0.038411492882947124,3
Tl,0.872568132871796,3
Pb,0.48989472634276676,3
Mo,0.35506981700230134,3
Sb,0.8628268922945127,3
Sn,0.0035472298631161014,3
(Intercept),6.767254311884998e-5,4
race2,0.6665707342499769,4
race3,0.06422221611754776,4
race4,0.040615565485237835,4
race5,0.1526804861650122,4
smoke1,0.12663102978424196,4
age,0.27733345817365873,4
bmi,0.612310643432963,4
As,0.8673587182180862,4
Cd,0.31799202579128155,4
Co,0.14394294802265045,4
Hg,0.003510771218783394,4
Ni,0.07937552683753801,4
Tl,0.9997698986579249,4
Pb,0.05526989581910801,4
Mo,0.7505948306105854,4
Sb,0.075894630522246,4
Sn,0.12128884781353316,4
(Intercept),2.398574123025104e-4,5
race2,0.28437721997929016,5
race3,0.12056451812136638,5
race4,0.14056379923238765,5
race5,0.11950583285967116,5
smoke1,0.19006908988350962,5
age,0.01709140943422829,5
bmi,0.22287205523501094,5
As,0.891206085675089,5
Cd,0.7559951771772355,5
Co,0.7186277772972094,5
Hg,1.2236172513432452e-4,5
Ni,0.003811051556983837,5
Tl,0.06973245441652975,5
Pb,0.9585527015468303,5
Mo,0.16933585713758234,5
Sb,0.17081611037464173,5
Sn,0.3014687049355575,5
(Intercept),0.8411576772050815,6
