var,p,case
(Intercept),0.868840300639541,1
Hg,3.7266748366119626e-8,1
Sb,0.1210049039443754,1
I(1/(1 + exp(-4 * Ni))),1.3688186154438902e-10,1
I(Sb^2),1.50611059738036e-15,1
I(1/(1 + exp(-4 * Sn))),9.44681176260924e-4,1
age,2.193932747522454e-13,1
bmi,3.603651238236648e-5,1
race2,0.04485814023433662,1
race3,0.23279433988250203,1
race4,0.3881026752166,1
race5,0.08532293330218979,1
smoke1,8.351194283497009e-6,1
(Intercept),0.02718566366457236,2
Hg,1.655488766981315e-13,2
Sb,0.016026703188002055,2
I(1/(1 + exp(-4 * Ni))),2.787470211654789e-11,2
I(Sb^2),2.366714680046693e-17,2
I(1/(1 + exp(-4 * Sn))),0.0034143123688467236,2
age,1.3034813949440304e-13,2
bmi,0.0037787593213221603,2
race2,0.554678034266727,2
race3,0.9593317475875147,2
race4,0.3385313321521938,2
race5,0.2873000989083827,2
smoke1,8.509985346678111e-8,2
(Intercept),0.5528929615569962,3
Hg,3.509491208438951e-11,3
Sb,0.026720001122530125,3
I(1/(1 + exp(-4 * Ni))),4.1029426744612657e-13,3
I(Sb^2),1.5638832514030736e-14,3
I(1/(1 + exp(-4 * Sn))),0.0342509140048735,3
age,3.036963264709201e-9,3
bmi,0.16887000176705472,3
race2,0.9090527803626127,3
race3,0.9541475285866353,3
race4,0.6795601751989397,3
race5,0.5524431107700791,3
smoke1,1.4393044046405886e-6,3
(Intercept),0.7370239205370754,4
Hg,3.8711101178304116e-11,4
Sb,0.004406387785946303,4
I(1/(1 + exp(-4 * Ni))),1.0336940060042859e-13,4
I(Sb^2),7.381645911610335e-13,4
I(1/(1 + exp(-4 * Sn))),4.810036917278617e-4,4
age,3.480390709230344e-7,4
bmi,9.286929295781723e-6,4
race2,0.1909560881787373,4
race3,0.8377883700012008,4
race4,0.6225863182754166,4
race5,0.34020541930566417,4
smoke1,6.560852738235978e-8,4
(Intercept),0.8002632512754274,5
Hg,1.284031315043721e-8,5
Sb,0.03810971076142443,5
I(1/(1 + exp(-4 * Ni))),2.5319964036977143e-13,5
I(Sb^2),3.1310592953201752e-21,5
I(1/(1 + exp(-4 * Sn))),0.0032277141483768416,5
age,1.7911794513665897e-11,5
bmi,0.00022251544537132856,5
race2,0.31067944662403685,5
race3,0.7051861313641123,5
race4,0.30360588229289437,5
race5,0.08319124532936192,5
smoke1,7.339995853333238e-8,5
(Intercept),0.17733149012656463,6
Hg,4.722273713125879e-11,6
Sb,0.10342444004528045,6
I(1/(1 + exp(-4 * Ni))),1.618688551515582e-12,6
I(Sb^2),5.553462244226757e-16,6
I(1/(1 + exp(-4 * Sn))),0.0166400438536784,6
age,7.866876698792435e-12,6
bmi,0.07840215400805105,6
race2,0.7469847388347396,6
race3,0.6702090026175964,6
race4,0.9260876106726537,6
race5,0.47830685784893645,6
smoke1,2.034562664884162e-7,6
(Intercept),0.21994868595294287,7
Hg,2.470097889001797e-11,7
Sb,2.213326023837695e-6,7
I(1/(1 + exp(-4 * Ni))),1.6024217954037467e-16,7
I(Sb^2),2.2111980565404071e-13,7
I(1/(1 + exp(-4 * Sn))),1.3565894216148843e-4,7
age,2.667145543744493e-10,7
bmi,0.00667795947492492,7
race2,0.642073812653728,7
race3,0.38279886135713226,7
race4,0.3464249886101667,7
race5,0.34952389842674536,7
smoke1,1.0242058264728845e-7,7
(Intercept),0.8129606829924534,8
Hg,1.4874971241435798e-9,8
Sb,0.014957531905796868,8
I(1/(1 + exp(-4 * Ni))),1.4448536560007403e-12,8
I(Sb^2),4.052717522544013e-17,8
I(1/(1 + exp(-4 * Sn))),1.2783044693325855e-6,8
age,1.1076825714358286e-12,8
bmi,0.005677989294876015,8
race2,0.351655480683971,8
race3,0.9447835814661887,8
race4,0.8695124594839162,8
race5,0.41670823618657526,8
smoke1,8.194789377485617e-5,8
(Intercept),0.27780765847244926,9
Hg,6.198635862368076e-9,9
Sb,0.006708643596556385,9
I(1/(1 + exp(-4 * Ni))),1.8396309451850687e-11,9
I(Sb^2),7.436853984824324e-12,9
I(1/(1 + exp(-4 * Sn))),2.952395748612002e-4,9
age,1.7810563723561565e-6,9
bmi,0.0013521023236017554,9
race2,0.9973576820642394,9
race3,0.1135538021947847,9
race4,0.3600616866366464,9
race5,0.7096420724193047,9
smoke1,4.395478157605137e-5,9
(Intercept),0.25312235200021943,10
Hg,7.178669961964131e-9,10
Sb,6.066267546425679e-5,10
I(1/(1 + exp(-4 * Ni))),5.580084261273568e-10,10
I(Sb^2),2.198117370783299e-11,10
I(1/(1 + exp(-4 * Sn))),2.61106269244446e-6,10
age,5.117279814516677e-16,10
bmi,0.052765153918271454,10
race2,0.7747273934338418,10
race3,0.32103024088800397,10
race4,0.6803362381732917,10
race5,0.6690433106685925,10
smoke1,4.248654151215144e-6,10
(Intercept),0.15496103729138155,11
Hg,2.1012413428359444e-10,11
Sb,4.0304855949504775e-6,11
I(1/(1 + exp(-4 * Ni))),2.1129099333614182e-10,11
I(Sb^2),2.14685013784893e-12,11
I(1/(1 + exp(-4 * Sn))),9.241715255918968e-8,11
age,1.6108847677349752e-15,11
bmi,0.0014672743542504404,11
race2,0.7381893152582213,11
race3,0.953858366604428,11
race4,0.5595285539539057,11
race5,0.4880279714730492,11
smoke1,3.3964531041132686e-7,11
(Intercept),0.3993174091162993,12
Hg,1.9874142116444663e-15,12
Sb,2.945707236570583e-4,12
I(1/(1 + exp(-4 * Ni))),2.6134796905163255e-12,12
I(Sb^2),2.5341091264899983e-11,12
I(1/(1 + exp(-4 * Sn))),4.981880282731265e-4,12
age,8.019221419551691e-8,12
bmi,0.0011909372289617389,12
race2,0.33317180867202645,12
race3,0.9766743307489283,12
race4,0.8289836179906735,12
race5,0.7487529503417489,12
smoke1,6.640099623298577e-5,12
(Intercept),0.11501042193801776,13
Hg,2.882765384658582e-9,13
Sb,1.8268952350376354e-6,13
I(1/(1 + exp(-4 * Ni))),6.177454063811037e-13,13
I(Sb^2),4.7495167179809624e-12,13
I(1/(1 + exp(-4 * Sn))),0.005574517979583836,13
age,1.2435856822994118e-9,13
bmi,2.6700066987712847e-5,13
race2,0.5558603652800458,13
race3,0.5228921722179554,13
race4,0.2455859331324022,13
race5,0.5970313788620365,13
smoke1,0.0022625017562347494,13
(Intercept),0.149644459183578,14
Hg,1.5139967303627173e-6,14
Sb,3.669495115698012e-4,14
I(1/(1 + exp(-4 * Ni))),4.282691608338729e-15,14
I(Sb^2),6.197621740402106e-15,14
I(1/(1 + exp(-4 * Sn))),9.36442683280058e-4,14
age,2.93284733736442e-11,14
bmi,0.0023532107747636483,14
race2,0.4329161096725552,14
race3,0.528833684300962,14
race4,0.2284549070138011,14
race5,0.6731278600206225,14
smoke1,2.200098558725249e-5,14
(Intercept),0.6450044330851166,15
Hg,5.1998494221119764e-12,15
Sb,1.3501422636639456e-5,15
I(1/(1 + exp(-4 * Ni))),9.581379155496528e-12,15
I(Sb^2),7.779455720015936e-14,15
I(1/(1 + exp(-4 * Sn))),1.5298016967345544e-8,15
age,1.589241020787872e-7,15
bmi,0.011747652068054094,15
