var,p,case
(Intercept),0.0022376477616682672,1
Hg,1.7666859279035971e-12,1
Sb,0.008841902240027476,1
I(1/(1 + exp(-4 * Ni))),1.1338592763077353e-7,1
I(Sb^2),1.634122380453296e-13,1
I(1/(1 + exp(-4 * Sn))),1.1239409083318585e-6,1
I(Hg * (race == 2)),0.7559876911595369,1
age,1.2312654507913089e-11,1
bmi,2.2186003375161208e-5,1
race2,0.9149116084087346,1
race3,0.7052484828669725,1
race4,0.3299983648529944,1
race5,0.7612045961192855,1
smoke1,1.632003133264912e-7,1
(Intercept),3.711511175656626e-5,2
Hg,2.0094551991666254e-5,2
Sb,0.006221160596555015,2
I(1/(1 + exp(-4 * Ni))),2.0400704062850437e-8,2
I(Sb^2),1.965076795419399e-8,2
I(1/(1 + exp(-4 * Sn))),0.003558542460064398,2
I(Hg * (race == 2)),0.29694757116554016,2
age,6.716562297970441e-11,2
bmi,0.040443207930199315,2
race2,0.4367164173223097,2
race3,0.02485638029383167,2
race4,0.006965017938037629,2
race5,0.06685406185754904,2
smoke1,0.0011383334185957035,2
(Intercept),0.051993087694840456,3
Hg,7.175103253687484e-10,3
Sb,0.0015569894747112592,3
I(1/(1 + exp(-4 * Ni))),1.558700682025585e-10,3
I(Sb^2),2.1595901582768526e-13,3
I(1/(1 + exp(-4 * Sn))),1.8148113454250384e-4,3
I(Hg * (race == 2)),0.6726822939152708,3
age,2.2097545065242882e-8,3
bmi,0.09992206456443997,3
race2,0.0958970117768128,3
race3,0.45912353389142835,3
race4,0.8505710895537799,3
race5,0.6392234801604341,3
smoke1,0.0017397632883680769,3
(Intercept),0.04014752760211489,4
Hg,2.993888902244041e-14,4
Sb,0.004019021255056454,4
I(1/(1 + exp(-4 * Ni))),4.259185179939598e-14,4
I(Sb^2),2.229367509959018e-16,4
I(1/(1 + exp(-4 * Sn))),0.0023577406077921192,4
I(Hg * (race == 2)),0.31394058068376346,4
age,1.9569140396579777e-7,4
bmi,0.05268152130652934,4
race2,0.4440356222143441,4
race3,0.6101063038774059,4
race4,0.35176937503528216,4
race5,0.6014957312603264,4
smoke1,5.188349674456391e-7,4
(Intercept),0.008629102622125214,5
Hg,4.169898810672427e-9,5
Sb,1.8099881709310526e-4,5
I(1/(1 + exp(-4 * Ni))),1.2363800984856162e-7,5
I(Sb^2),7.517465242839714e-14,5
I(1/(1 + exp(-4 * Sn))),0.02404201624497379,5
I(Hg * (race == 2)),0.16970798316466307,5
age,4.973014059422721e-6,5
bmi,4.1369913245995675e-5,5
race2,0.28273174392872863,5
race3,0.22096049509457766,5
race4,0.9290119291134229,5
race5,0.029423912620369943,5
smoke1,1.4544305935753067e-9,5
(Intercept),1.9641058037174767e-4,6
Hg,1.3828673729462085e-7,6
Sb,0.016242603444134106,6
I(1/(1 + exp(-4 * Ni))),1.2386821593893896e-8,6
I(Sb^2),9.316023062200317e-19,6
I(1/(1 + exp(-4 * Sn))),0.00404305289006291,6
I(Hg * (race == 2)),0.4899949605759365,6
age,8.290814285972187e-10,6
bmi,7.031399062006559e-7,6
race2,0.7750981136019746,6
race3,0.4226867842807318,6
race4,0.6091526559235738,6
race5,0.5417289644226747,6
smoke1,1.1532024580555628e-5,6
(Intercept),0.005737254901671671,7
Hg,2.3159307690508134e-9,7
Sb,1.4717635193799736e-4,7
I(1/(1 + exp(-4 * Ni))),2.3960929044502576e-16,7
I(Sb^2),3.655684933824742e-13,7
I(1/(1 + exp(-4 * Sn))),0.027223416251887015,7
I(Hg * (race == 2)),0.25606388075543823,7
age,6.190793623911583e-9,7
bmi,0.07887020791156626,7
race2,0.7252159228196959,7
race3,0.06516773004414064,7
race4,0.7037439318241415,7
race5,0.8741811961715841,7
smoke1,5.0958353368543085e-8,7
(Intercept),0.05699969162541286,8
Hg,2.6573815676668123e-8,8
Sb,0.059973388215330145,8
I(1/(1 + exp(-4 * Ni))),2.3053340998054248e-10,8
I(Sb^2),2.316374390726519e-16,8
I(1/(1 + exp(-4 * Sn))),1.383467755819321e-5,8
I(Hg * (race == 2)),0.04116367664850277,8
age,2.90006013562623e-6,8
bmi,0.005102819550037016,8
race2,0.8678203045701139,8
race3,0.13010703550221833,8
race4,0.8194492540257725,8
race5,0.46758046901454464,8
smoke1,5.3581634729153185e-6,8
(Intercept),0.2832798779694559,9
Hg,3.4057047761833566e-8,9
Sb,0.035638387874729394,9
I(1/(1 + exp(-4 * Ni))),2.8333275777430605e-15,9
I(Sb^2),1.2468859789953102e-10,9
I(1/(1 + exp(-4 * Sn))),1.343629040752755e-4,9
I(Hg * (race == 2)),0.02229438145653488,9
age,9.285394641474934e-9,9
bmi,0.008497710149642191,9
race2,0.051330274827448535,9
race3,0.6332341552135787,9
race4,0.8957778534537041,9
race5,0.3955022759727769,9
smoke1,8.465302439707394e-5,9
(Intercept),0.45706321502260205,10
Hg,2.5791167921935725e-7,10
Sb,0.10577373155940566,10
I(1/(1 + exp(-4 * Ni))),2.9024363946074163e-10,10
I(Sb^2),4.89962107605557e-11,10
I(1/(1 + exp(-4 * Sn))),4.8312216975823286e-4,10
I(Hg * (race == 2)),0.1950330815656818,10
age,2.6427111688682482e-5,10
bmi,0.004534402251028716,10
race2,0.04267628738561196,10
race3,0.33694828742298166,10
race4,0.5917386033299239,10
race5,0.10083331204344917,10
smoke1,1.0372429412558547e-4,10
(Intercept),0.09347697979287951,11
Hg,1.67385665474453e-9,11
Sb,0.008967239416192128,11
I(1/(1 + exp(-4 * Ni))),8.720525020457549e-11,11
I(Sb^2),4.332053723481842e-12,11
I(1/(1 + exp(-4 * Sn))),3.4229408047150824e-4,11
I(Hg * (race == 2)),0.4930332535590807,11
age,5.51160376758007e-17,11
bmi,2.494992529014596e-4,11
race2,0.07728313734747198,11
race3,0.14165454684928566,11
race4,0.8530171123402748,11
race5,0.14098598621270422,11
smoke1,1.379382676731965e-7,11
(Intercept),0.019590152945563447,12
Hg,1.1955915129904588e-10,12
Sb,3.644691309957651e-6,12
I(1/(1 + exp(-4 * Ni))),6.508542662752662e-6,12
I(Sb^2),1.1997972419968432e-16,12
I(1/(1 + exp(-4 * Sn))),0.024099525093322128,12
I(Hg * (race == 2)),0.034080660901449455,12
age,5.109839065234202e-6,12
bmi,0.006409393303868029,12
race2,0.21789839748097656,12
race3,0.7095728025410165,12
race4,0.43728115702567016,12
race5,0.2043296607476237,12
smoke1,0.003816873004367152,12
(Intercept),0.22248659102335383,13
Hg,1.6837064380490446e-6,13
Sb,0.011130508605095927,13
I(1/(1 + exp(-4 * Ni))),8.790689385797884e-12,13
I(Sb^2),3.632016918185098e-9,13
I(1/(1 + exp(-4 * Sn))),5.246742341506732e-4,13
I(Hg * (race == 2)),0.07135823940440562,13
age,8.016645876989761e-10,13
bmi,1.4424485741401202e-8,13
race2,0.4506236775735055,13
race3,0.8412573003513312,13
race4,0.4441038407040264,13
race5,0.3579552180374319,13
smoke1,4.645246351283049e-5,13
(Intercept),0.9671547574343207,14
Hg,1.1250551671607578e-5,14
Sb,0.001319834874426764,14
I(1/(1 + exp(-4 * Ni))),5.690280142092198e-15,14
I(Sb^2),2.2380367085805397e-17,14
I(1/(1 + exp(-4 * Sn))),3.164302343385289e-4,14
I(Hg * (race == 2)),0.03723217251842648,14
age,2.257284798240445e-13,14
bmi,0.007840603987266898,14
race2,1.3887739910570387e-4,14
race3,0.920406577701889,14
race4,0.0033111984356231474,14
race5,0.008658997158761384,14
smoke1,0.001722852733823544,14
(Intercept),0.024434745431641973,15
Hg,1.304654682901996e-10,15
Sb,0.0031187259651627463,15
I(1/(1 + exp(-4 * Ni))),7.148657256086814e-8,15
I(Sb^2),4.796808102869901e-13,15
I(1/(1 + exp(-4 * Sn))),0.0019345394151243523,15
I(Hg * (race == 2)),0.32334011480584535,15
age,1.0383007903157417e-6,15
bmi,0.031148196706111828,15
race2,0.6641818139973921,15
race3,0.8080482785592769,15
race4,0.49109571007801744,15
race5,0.3546601718645015,15
smoke1,0.0025220026007842,15
(Intercept),6.462662781363624e-4,16
Hg,6.348124365052843e-9,16
Sb,0.04914488006403959,16
I(1/(1 + exp(-4 * Ni))),5.263318279396107e-11,16
I(Sb^2),4.2283050259805316e-16,16
I(1/(1 + exp(-4 * Sn))),8.018718360169918e-4,16
I(Hg * (race == 2)),0.591588812946362,16
age,3.9134872821655415e-7,16
bmi,3.6465066356371423e-4,16
race2,0.5125129911000719,16
race3,0.6283189269282488,16
race4,0.4813737660068449,16
race5,0.7067555926424521,16
smoke1,2.6155537953138618e-8,16
(Intercept),0.04352680062113379,17
Hg,9.668282348878892e-12,17
Sb,0.00408316353198238,17
I(1/(1 + exp(-4 * Ni))),5.246036229217997e-15,17
I(Sb^2),3.153242953716462e-17,17
I(1/(1 + exp(-4 * Sn))),0.26494161492194335,17
I(Hg * (race == 2)),0.7371053159761995,17
age,1.1752953270117443e-8,17
bmi,2.477433627132801e-4,17
race2,0.46976409336117253,17
race3,0.32397961442616785,17
race4,0.5353706187336318,17
race5,0.3921076084158486,17
smoke1,1.2844831225211405e-6,17
(Intercept),0.01975288333695921,18
Hg,1.3848540062189081e-9,18
Sb,0.001957065510817112,18
I(1/(1 + exp(-4 * Ni))),2.8921281287865893e-13,18
I(Sb^2),2.519813084341086e-17,18
I(1/(1 + exp(-4 * Sn))),1.5962835645751247e-4,18
I(Hg * (race == 2)),0.6213318077359189,18
age,1.6478249437344033e-12,18
bmi,0.0013467482747296442,18
race2,0.9393900052805441,18
race3,0.9852830055049586,18
race4,0.8704991496888307,18
race5,0.7128325728059424,18
smoke1,5.6541351417695e-5,18
(Intercept),0.019281700868604347,19
Hg,3.6599236581913787e-10,19
Sb,0.0017807831447994617,19
I(1/(1 + exp(-4 * Ni))),1.424772354113401e-14,19
I(Sb^2),4.514487870876805e-13,19
I(1/(1 + exp(-4 * Sn))),0.008304381063313394,19
I(Hg * (race == 2)),0.9155231721313726,19
age,2.855980907724618e-7,19
bmi,0.0021786470135210386,19
race2,0.8057155513155771,19
race3,0.9562658587173526,19
race4,0.4756647077375492,19
race5,0.9386638058342365,19
smoke1,7.101145941968154e-6,19
(Intercept),0.18343321713188704,20
Hg,1.1871518623663268e-7,20
Sb,0.002135252080247083,20
I(1/(1 + exp(-4 * Ni))),8.802517144482689e-13,20
I(Sb^2),2.0035611108534749e-22,20
I(1/(1 + exp(-4 * Sn))),0.0014144607379337135,20
I(Hg * (race == 2)),0.9436166334553655,20
age,7.949899489338882e-9,20
bmi,0.004807133911676556,20
race2,0.14343847287408942,20
race3,0.9797573192297949,20
race4,0.4700565703872329,20
race5,0.2236671739988568,20
smoke1,3.9001593641771297e-4,20
(Intercept),0.03075962474697073,21
Hg,1.705088007394841e-8,21
Sb,9.772641960851024e-4,21
I(1/(1 + exp(-4 * Ni))),2.3485652064677188e-12,21
I(Sb^2),2.017836537938069e-15,21
I(1/(1 + exp(-4 * Sn))),9.767593769493622e-6,21
I(Hg * (race == 2)),0.0061390202063938,21
age,4.49707029692444e-12,21
bmi,3.5468626082900577e-6,21
race2,0.6444146187968962,21
race3,0.16185304432611125,21
race4,0.550374384144993,21
race5,0.8921470443854507,21
smoke1,1.0690088362342482e-5,21
(Intercept),0.06537247149859725,22
Hg,3.652176256844952e-7,22
