var,p,case
(Intercept),0.1767706803907341,1
Hg,0.015249456975913695,1
Sb,0.9610025563701059,1
I(1/(1 + exp(-4 * Ni))),1.0219413886852828e-5,1
I(Sb^2),1.8231711278541495e-6,1
I(1/(1 + exp(-4 * Sn))),0.1000093448841288,1
age,0.035913631844612944,1
bmi,0.0013101741670234815,1
race2,0.27985784762668225,1
race3,0.0785578318803404,1
race4,0.15022379817022674,1
race5,0.06581245522931747,1
smoke1,0.6653403541389769,1
(Intercept),0.21523553008966756,2
Hg,0.0284976819216727,2
Sb,0.013887884621668933,2
I(1/(1 + exp(-4 * Ni))),0.0033383239603885636,2
I(Sb^2),1.530361649894582e-4,2
I(1/(1 + exp(-4 * Sn))),0.001473738362333924,2
age,1.578460455206651e-4,2
bmi,0.3847786309594655,2
race2,0.006220495034704562,2
race3,0.005450754454960879,2
race4,0.15256192862637305,2
race5,0.09418668957732801,2
smoke1,0.18015556608692312,2
(Intercept),0.7875374839537749,3
Hg,1.0999109469023138e-4,3
Sb,0.842974595174415,3
I(1/(1 + exp(-4 * Ni))),1.0526985410945422e-6,3
I(Sb^2),0.012712772693567947,3
I(1/(1 + exp(-4 * Sn))),0.7864911580642501,3
age,0.053438578250213344,3
bmi,0.002538569919731831,3
race2,0.9430625777251087,3
race3,0.09816981151067304,3
race4,0.6267141512662503,3
race5,0.6680979019296783,3
smoke1,0.24233282302026507,3
(Intercept),0.33319384484336445,4
Hg,0.05242767508729484,4
Sb,0.08945577556769649,4
I(1/(1 + exp(-4 * Ni))),0.021869881214339755,4
I(Sb^2),2.7264891712928924e-4,4
I(1/(1 + exp(-4 * Sn))),0.04950575699215929,4
age,0.0027765421453530884,4
bmi,0.038199092647805986,4
race2,0.011248719902091368,4
race3,0.15511233620740547,4
race4,0.08091705552951717,4
race5,0.019912624772016264,4
smoke1,3.8146589556762786e-4,4
(Intercept),0.11640752926070247,5
Hg,1.9050911698754156e-4,5
Sb,0.07929372514313225,5
I(1/(1 + exp(-4 * Ni))),2.3424685029364378e-4,5
I(Sb^2),1.4571574991153655e-4,5
I(1/(1 + exp(-4 * Sn))),0.6028331905678979,5
age,0.4844323308653846,5
bmi,0.4081581765634551,5
race2,0.6431995335414569,5
race3,0.6817752809525413,5
race4,0.206863804528023,5
race5,0.939652460100262,5
smoke1,0.12196696349606825,5
(Intercept),0.1867317203048215,6
Hg,0.007770051621255642,6
Sb,0.6956098953835306,6
I(1/(1 + exp(-4 * Ni))),1.677335644041419e-5,6
I(Sb^2),4.213946810854688e-5,6
I(1/(1 + exp(-4 * Sn))),0.5239242146898254,6
age,0.009708519774420157,6
bmi,0.051180374209664016,6
race2,0.5076998672408561,6
race3,0.7113423256694392,6
race4,0.3418422217883039,6
race5,0.5101298753850176,6
smoke1,0.006991344464990856,6
(Intercept),0.39843376575313094,7
Hg,0.00744465124560272,7
Sb,0.895735069385313,7
I(1/(1 + exp(-4 * Ni))),2.61997059389525e-7,7
I(Sb^2),2.8404102308320675e-4,7
I(1/(1 + exp(-4 * Sn))),0.6781379468828577,7
age,3.6395395412526846e-4,7
bmi,0.8086772568839469,7
race2,0.9602072732274898,7
race3,0.9153299733930699,7
race4,0.6328217899268629,7
race5,0.9714606385663304,7
smoke1,1.6812124731296186e-4,7
(Intercept),0.3058511239616624,8
Hg,1.9951599151824865e-4,8
Sb,0.025030039660117003,8
I(1/(1 + exp(-4 * Ni))),1.0370583669713504e-5,8
I(Sb^2),0.012304263316655876,8
I(1/(1 + exp(-4 * Sn))),0.05051476932902585,8
age,0.0041662124646959795,8
bmi,0.1903077510954991,8
race2,0.731241985903714,8
race3,0.06490640277041208,8
race4,0.04895062604257438,8
race5,0.6079029881211991,8
smoke1,0.007477233189878131,8
(Intercept),0.8543154218747866,9
Hg,0.013353760404491067,9
Sb,0.37968400639299626,9
I(1/(1 + exp(-4 * Ni))),1.131065206837546e-5,9
I(Sb^2),3.677380716024538e-4,9
I(1/(1 + exp(-4 * Sn))),0.003660049943375414,9
age,6.077154318157016e-4,9
bmi,0.47520948199577284,9
race2,0.7559905652811616,9
race3,0.3215984567862367,9
race4,0.5162002274618509,9
race5,0.9381590104898909,9
smoke1,6.002106617725453e-4,9
(Intercept),0.2620361255719734,10
Hg,0.07171625085431288,10
Sb,0.0031575941183189056,10
I(1/(1 + exp(-4 * Ni))),0.002702729847397203,10
I(Sb^2),0.00504924316350193,10
I(1/(1 + exp(-4 * Sn))),0.0783071218749181,10
age,3.1519775851597957e-6,10
bmi,0.03641857596178263,10
race2,0.9108503493297535,10
race3,0.034014613858587305,10
race4,0.15203817431400996,10
race5,0.767765596016364,10
smoke1,0.08260757836623969,10
(Intercept),0.342072103813033,11
Hg,9.927332675409653e-5,11
Sb,0.10924546935942533,11
I(1/(1 + exp(-4 * Ni))),1.8792574942400351e-4,11
I(Sb^2),3.6325932577249324e-4,11
I(1/(1 + exp(-4 * Sn))),5.74265116203864e-4,11
age,0.05664737706063146,11
bmi,0.7675440038363728,11
race2,0.30250712130817253,11
race3,0.07275085638927156,11
race4,0.9750231978283284,11
race5,0.11436383543828313,11
smoke1,0.009298764305255917,11
(Intercept),0.5430727411605477,12
Hg,0.002187046303872922,12
Sb,0.4325919433969704,12
I(1/(1 + exp(-4 * Ni))),4.009987484458046e-5,12
I(Sb^2),0.0143964979164195,12
I(1/(1 + exp(-4 * Sn))),0.3826357749437652,12
age,0.012921555652920691,12
bmi,0.1446564195264371,12
race2,0.17007316139448353,12
race3,0.20264677744797555,12
race4,0.46403382664259896,12
race5,0.7219216554397088,12
smoke1,0.028447361802555988,12
(Intercept),0.6708738041152584,13
Hg,0.020644907031991594,13
Sb,0.0015898386937355782,13
I(1/(1 + exp(-4 * Ni))),0.030897080194373157,13
I(Sb^2),6.9786055371596755e-6,13
I(1/(1 + exp(-4 * Sn))),0.44605455356117185,13
age,0.19783303396744126,13
bmi,0.16861466743063078,13
race2,0.9204557529063496,13
race3,0.6322425736794717,13
race4,0.1704759174473845,13
race5,0.029975096416287584,13
smoke1,0.4493943134877343,13
(Intercept),0.05703711652093114,14
Hg,6.668655911033446e-4,14
Sb,0.48213257382909336,14
I(1/(1 + exp(-4 * Ni))),7.290093100316417e-4,14
I(Sb^2),2.4096379670712215e-5,14
I(1/(1 + exp(-4 * Sn))),0.01781971020045796,14
age,4.376560250177578e-4,14
bmi,0.0051370231423162795,14
race2,0.027358571940981374,14
race3,0.29803956331064513,14
race4,0.008792495967436299,14
race5,0.001048408958394325,14
smoke1,0.010171554174648557,14
(Intercept),0.9963859358140483,15
Hg,1.5832424404289124e-5,15
Sb,0.4968058786969549,15
I(1/(1 + exp(-4 * Ni))),0.002940624721514329,15
I(Sb^2),0.0037910136838539815,15
I(1/(1 + exp(-4 * Sn))),3.1130966549231536e-5,15
age,3.998836867999655e-5,15
bmi,0.05524023252771831,15
race2,0.8113763834628837,15
race3,0.2715414158595013,15
race4,0.8998739154380164,15
race5,0.8523329640445569,15
smoke1,0.028711774235141117,15
(Intercept),0.024869310562712816,16
Hg,6.632525154214216e-4,16
Sb,0.04149755938200289,16
I(1/(1 + exp(-4 * Ni))),0.03997885334472985,16
I(Sb^2),6.8659177016417405e-6,16
I(1/(1 + exp(-4 * Sn))),0.3731702470290631,16
age,0.004780040379988019,16
bmi,0.8251536562455909,16
race2,0.8465357669910092,16
race3,0.18720129018494602,16
race4,0.0658686571525999,16
race5,0.13837904046542654,16
smoke1,0.5037174084159178,16
(Intercept),0.38492992932017456,17
Hg,0.015162699756835011,17
Sb,0.1272274823893367,17
I(1/(1 + exp(-4 * Ni))),0.0012702914696830232,17
I(Sb^2),0.08317463818808782,17
I(1/(1 + exp(-4 * Sn))),0.16526947108667614,17
age,0.08066833166619385,17
bmi,1.674140774105968e-4,17
race2,0.2985902827354172,17
race3,0.8843517500478449,17
race4,0.5372637734218428,17
race5,0.22014036011033933,17
smoke1,0.5535862504738183,17
(Intercept),0.5651733583514209,18
Hg,0.03089250793859497,18
Sb,0.7522840397717109,18
I(1/(1 + exp(-4 * Ni))),0.014090594892439908,18
I(Sb^2),2.5749995397969573e-07,18
I(1/(1 + exp(-4 * Sn))),0.002053304808033163,18
age,8.423193831109232e-5,18
bmi,0.10057544889100209,18
race2,0.6297769890546383,18
race3,0.08634129459767893,18
race4,0.8976268804901056,18
race5,0.748318376281649,18
smoke1,4.6666724753792406e-4,18
(Intercept),0.06122438191389097,19
Hg,0.09970560483047282,19
Sb,0.6746348769591716,19
I(1/(1 + exp(-4 * Ni))),2.198955993136428e-5,19
I(Sb^2),3.438102061749987e-4,19
I(1/(1 + exp(-4 * Sn))),0.8818929672089997,19
age,0.6684451588172031,19
bmi,0.590192338846488,19
race2,0.30080369527691037,19
race3,0.3405201251161324,19
race4,0.10055340817013605,19
race5,0.09568874477264752,19
smoke1,0.03959991130071701,19
(Intercept),0.27072150353857377,20
Hg,9.244992446685211e-4,20
Sb,0.0397779342614416,20
I(1/(1 + exp(-4 * Ni))),0.019989786113917683,20
I(Sb^2),0.0013796911458970242,20
I(1/(1 + exp(-4 * Sn))),0.016678019038490997,20
age,0.021547940289867406,20
bmi,0.01570099439195269,20
race2,0.6124814012693782,20
race3,0.13954283411858656,20
race4,0.7390364871105726,20
race5,0.8409682022555706,20
smoke1,0.02309257875733774,20
(Intercept),0.49146772671696803,21
Hg,0.03012474661502656,21
Sb,0.3779676741307557,21
I(1/(1 + exp(-4 * Ni))),4.359787779319792e-4,21
I(Sb^2),6.496146951615505e-4,21
I(1/(1 + exp(-4 * Sn))),0.3879625617726403,21
age,3.7519465920212e-4,21
bmi,0.05211043687804102,21
race2,0.2824879971369066,21
race3,0.8852046933871678,21
race4,0.28204293703687444,21
race5,0.2850093698119338,21
smoke1,0.42071316358097277,21
(Intercept),0.5879626667248479,22
Hg,0.021820838703870433,22
Sb,0.021631300427555872,22
I(1/(1 + exp(-4 * Ni))),0.003863441756832448,22
I(Sb^2),7.404420912024064e-4,22
I(1/(1 + exp(-4 * Sn))),0.44337380638098944,22
age,0.05701740220393735,22
bmi,0.18803097203114646,22
race2,0.2034104741306207,22
race3,0.35212847848291984,22
race4,0.7765382242702218,22
race5,0.06696616859360202,22
smoke1,0.8414584212313088,22
(Intercept),0.036689371940973936,23
Hg,0.004796041941588783,23
Sb,0.16616684718764332,23
I(1/(1 + exp(-4 * Ni))),1.6427186169664103e-6,23
I(Sb^2),1.2122539159357654e-6,23
I(1/(1 + exp(-4 * Sn))),0.4196420825768795,23
age,0.004873978378330076,23
bmi,0.8301873502305495,23
race2,0.037093367015343055,23
race3,0.07394685447793815,23
race4,0.03569622041169052,23
race5,0.23487102952679034,23
smoke1,0.3306254016772331,23
(Intercept),0.4660982139317513,24
Hg,0.008356255176945403,24
Sb,0.20024238371161976,24
I(1/(1 + exp(-4 * Ni))),0.018847044081111874,24
I(Sb^2),9.995645263910102e-6,24
I(1/(1 + exp(-4 * Sn))),0.01778652164079823,24
age,2.9882738606706876e-8,24
bmi,0.03134716902216381,24
race2,0.5176334457025482,24
race3,0.8016757642152502,24
race4,0.799252571466753,24
race5,0.5206275699129086,24
smoke1,9.583874016677886e-6,24
(Intercept),0.36732213834420635,25
Hg,4.608977336716419e-6,25
Sb,0.11268303961397047,25
I(1/(1 + exp(-4 * Ni))),0.004745756380374529,25
I(Sb^2),0.13120114616361364,25
I(1/(1 + exp(-4 * Sn))),0.3895201608089883,25
age,0.004466081822915614,25
bmi,0.013959413499566314,25
race2,0.3605091904559995,25
race3,0.8303459232519491,25
race4,0.3530151809053851,25
race5,0.6651432238107338,25
smoke1,0.09020335996591118,25
(Intercept),0.9855312853462596,26
Hg,8.018757205240323e-6,26
Sb,0.10875047371622748,26
I(1/(1 + exp(-4 * Ni))),2.570464306284382e-4,26
I(Sb^2),0.01197506569019234,26
I(1/(1 + exp(-4 * Sn))),0.05709517559228222,26
age,7.663543896951385e-6,26
bmi,0.016247548707325934,26
race2,0.5904426145334262,26
race3,0.6982399498917398,26
race4,0.9799553306739761,26
race5,0.837062464642773,26
smoke1,0.08189343677575557,26
(Intercept),0.7344384855579866,27
Hg,1.3961404279260413e-4,27
Sb,0.581102025720623,27
I(1/(1 + exp(-4 * Ni))),1.289611591323643e-5,27
I(Sb^2),0.0011719165627077524,27
I(1/(1 + exp(-4 * Sn))),0.008770728025481364,27
age,0.017335114979922028,27
bmi,0.03351068672051925,27
race2,0.7311202155842755,27
race3,0.9776314724736179,27
race4,0.41446133660894113,27
race5,0.8459332166702491,27
smoke1,0.06766546424175293,27
(Intercept),0.6711447364560136,28
Hg,4.8739298020733984e-4,28
Sb,0.655600096233936,28
I(1/(1 + exp(-4 * Ni))),2.0871886540109087e-4,28
I(Sb^2),7.18208246066827e-4,28
I(1/(1 + exp(-4 * Sn))),0.39525912536056906,28
age,0.00471966114677613,28
bmi,0.027039619364178997,28
race2,0.14980374174924904,28
race3,0.24931712187511065,28
race4,0.5159194807695642,28
race5,0.18810269127496534,28
smoke1,0.5340369778330276,28
(Intercept),0.5044579323746897,29
Hg,0.0011911453100155007,29
Sb,0.3485836868652328,29
I(1/(1 + exp(-4 * Ni))),7.990716650896647e-4,29
I(Sb^2),2.350169594614822e-4,29
I(1/(1 + exp(-4 * Sn))),0.029202558385765926,29
age,0.013189112559703117,29
bmi,0.6544502470548577,29
race2,0.621177361172437,29
race3,0.7608711765053109,29
race4,0.2737464383382737,29
race5,0.5257200823475777,29
smoke1,0.008858024367034178,29
(Intercept),0.2792941259155142,30
Hg,1.031794858169891e-4,30
Sb,3.445222571700772e-4,30
I(1/(1 + exp(-4 * Ni))),0.006713161473641962,30
I(Sb^2),4.628763714572859e-8,30
I(1/(1 + exp(-4 * Sn))),0.32885855995556834,30
age,3.2560899367045697e-4,30
bmi,0.4879747624537184,30
race2,0.5577672883551288,30
race3,0.715595315020698,30
race4,0.9385071586809495,30
race5,0.8326282346932004,30
smoke1,0.18500066819078004,30
(Intercept),0.1742286949717042,31
Hg,2.4310387429999077e-4,31
Sb,0.5681828955056294,31
I(1/(1 + exp(-4 * Ni))),0.011297075693409497,31
I(Sb^2),9.702171502079701e-4,31
I(1/(1 + exp(-4 * Sn))),0.055273698741936175,31
age,1.4066453636463262e-4,31
bmi,0.0776631456624407,31
race2,0.6034082176929172,31
race3,0.1387979953306308,31
race4,0.28693111179730463,31
race5,0.24704484487565417,31
smoke1,0.12664900269539547,31
(Intercept),0.04365765763266599,32
Hg,7.253056832772151e-5,32
Sb,0.4471059348798423,32
I(1/(1 + exp(-4 * Ni))),1.154458972011398e-4,32
I(Sb^2),5.141142465990146e-6,32
I(1/(1 + exp(-4 * Sn))),0.11749153025538678,32
age,0.005654718190930573,32
bmi,0.039948331821710745,32
race2,0.1488057587855227,32
race3,0.49936184774700754,32
race4,0.0789822246146515,32
race5,0.36049143926274785,32
smoke1,5.966865455405843e-4,32
(Intercept),0.7777467099875572,33
Hg,3.312585230720924e-5,33
Sb,0.06087129500765698,33
I(1/(1 + exp(-4 * Ni))),0.004390010687303793,33
I(Sb^2),1.3599791864135627e-4,33
I(1/(1 + exp(-4 * Sn))),1.0500122275927871e-4,33
age,0.0016426486526035747,33
bmi,0.11158943144505372,33
race2,0.36147769052898926,33
race3,0.8408159773265468,33
race4,0.5771573461813577,33
race5,0.5550801701861652,33
smoke1,0.024770533651057854,33
(Intercept),0.2486543795656888,34
Hg,0.003516261977280782,34
Sb,0.06637939229716548,34
I(1/(1 + exp(-4 * Ni))),1.6819460644359113e-5,34
I(Sb^2),0.005693596988303581,34
