var,p,case
(Intercept),0.6641568343405612,1
Hg,1.9156546303832883e-4,1
Sb,0.05795937127218036,1
I(1/(1 + exp(-4 * Ni))),0.00786320881496676,1
I(Sb^2),5.696451218400401e-5,1
I(1/(1 + exp(-4 * Sn))),0.002045068694574916,1
I(Hg * (race == 2)),0.24835747346135179,1
age,0.03075148024777801,1
bmi,0.1407553046843009,1
race2,0.7398530822485988,1
race3,0.9208080042675251,1
race4,0.6663227267084058,1
race5,0.3058329155156587,1
smoke1,0.039822688322251644,1
(Intercept),0.7837796502986294,2
Hg,0.0021927467830241865,2
Sb,0.8628194561504637,2
I(1/(1 + exp(-4 * Ni))),2.9998083704411325e-7,2
I(Sb^2),2.4862156861484525e-8,2
I(1/(1 + exp(-4 * Sn))),0.09023511765349401,2
I(Hg * (race == 2)),0.0018966560073857958,2
age,0.03828892993729187,2
bmi,0.01333336968085747,2
race2,0.15055456621057176,2
race3,0.032486922530456604,2
race4,0.11501361687279842,2
race5,0.043746672505076196,2
smoke1,0.18478126681101661,2
(Intercept),0.3770974843734163,3
Hg,0.0575743978062475,3
Sb,0.944489936654872,3
I(1/(1 + exp(-4 * Ni))),9.345583426605238e-4,3
I(Sb^2),9.541112894653332e-4,3
I(1/(1 + exp(-4 * Sn))),0.0011984172550145236,3
I(Hg * (race == 2)),0.061002135871481254,3
age,5.744351973691378e-5,3
bmi,0.1992840151339959,3
race2,0.9947053462826525,3
race3,0.3472501809978312,3
race4,0.3784286561242619,3
race5,0.8012664053392439,3
smoke1,0.019345281730884047,3
(Intercept),0.012084812064079135,4
Hg,0.0081951001693129,4
Sb,0.12661283995000688,4
I(1/(1 + exp(-4 * Ni))),0.0011569465138399787,4
I(Sb^2),2.015712379940697e-5,4
I(1/(1 + exp(-4 * Sn))),0.011390465385193048,4
I(Hg * (race == 2)),0.24490199043306665,4
age,0.12439722516272479,4
bmi,0.46386384772344025,4
race2,0.8167445873803134,4
race3,0.055207640509144965,4
race4,0.06405928336746777,4
race5,0.17349718062434705,4
smoke1,0.08829520658996735,4
(Intercept),0.012528881425289545,5
Hg,8.250988665317494e-4,5
Sb,0.7227838334489758,5
I(1/(1 + exp(-4 * Ni))),9.307089498708541e-6,5
I(Sb^2),0.0037306383374257003,5
I(1/(1 + exp(-4 * Sn))),0.09789128059098132,5
I(Hg * (race == 2)),0.6709131992025739,5
age,0.03313818560419893,5
bmi,0.22459283271971403,5
race2,0.1126222452245381,5
race3,0.055966139082001626,5
race4,0.049033939271008,5
race5,0.06312294845168384,5
smoke1,0.09344045864230204,5
(Intercept),0.3957654882288334,6
Hg,2.9577379114319034e-6,6
Sb,0.0013611606116921374,6
I(1/(1 + exp(-4 * Ni))),0.02886627557382327,6
