z1,z2,est,sd,trial,case
Hg,Ni,0.021560183557259194,0.27204734873637654,101,2
Hg,Ni,1.150394784294292,0.39619943260580354,102,2
Hg,Ni,-0.013409918136393806,0.3081800406431177,103,2
Hg,Ni,0.30842318857436,0.2490182811837836,104,2
Hg,Ni,0.5669652301527845,0.29235894543140944,105,2
Hg,Ni,0.16769586886659482,0.29113123891951687,106,2
Hg,Ni,0.1656366409977874,0.24148606453266497,107,2
Hg,Ni,1.5632760034403068,0.4148349287012552,108,2
Hg,Ni,0.21000106766302684,0.2388538093177704,109,2
Hg,Ni,0.16784108864609681,0.26968722715619203,110,2
Hg,Ni,0.28453137902497705,0.2740881289241943,111,2
Hg,Ni,0.3011956666240456,0.2535867708678155,112,2
Hg,Ni,0.15369256248595553,0.2636576541800884,113,2
Hg,Ni,0.9519578266638211,0.4619622990384728,114,2
Hg,Ni,0.10494148637874456,0.2523956849414865,115,2
Hg,Ni,0.5629677210809341,0.25667388849501865,116,2
Hg,Ni,0.1934709110092956,0.2575543897747714,117,2
Hg,Ni,0.6040498443728355,0.3221045222883859,118,2
Hg,Ni,0.3652512938214212,0.25423876542889307,119,2
Hg,Ni,0.5859634095864825,0.2505224335757771,120,2
Hg,Ni,0.29548652992237034,0.2770904025242867,121,2
Hg,Ni,0.8289141759900369,0.33857277666048574,122,2
Hg,Ni,0.20234402225893433,0.296664891239697,123,2
Hg,Ni,0.9083844022609504,0.334764937064705,124,2
Hg,Ni,0.450490577953393,0.2737306926532433,125,2
Hg,Ni,0.8140207296851347,0.2944333523235951,126,2
Hg,Ni,0.09313325267712624,0.25444173426447436,127,2
Hg,Ni,0.9519552612660132,0.33655633375939475,128,2
Hg,Ni,0.20311772522859783,0.2412289580890942,129,2
Hg,Ni,0.720517099374081,0.3126219894008453,130,2
Hg,Ni,0.5267189128835952,0.33594799661870295,131,2
Hg,Ni,0.27387544456572055,0.3055498665830035,132,2
Hg,Ni,0.0895207165659313,0.23376401177005107,133,2
Hg,Ni,0.1749659201627729,0.34148953557336625,134,2
Hg,Ni,0.04667503480186319,0.4346321262374615,135,2
Hg,Ni,0.16659375372322494,0.24599208338414708,136,2
Hg,Ni,0.33083338877405444,0.2408120992812283,137,2
Hg,Ni,0.23523913256149598,0.21573801848476862,138,2
Hg,Ni,0.27948881106284995,0.26900084018617454,139,2
Hg,Ni,0.5466479636868038,0.28527772205854396,140,2
Hg,Ni,0.33866408855293084,0.29626567258463626,141,2
Hg,Ni,0.42308437597128634,0.25008264333272345,142,2
Hg,Ni,0.08918602409940402,0.3101881653968839,143,2
Hg,Ni,0.193648249682016,0.20084139359149772,144,2
Hg,Ni,0.48433167540191313,0.25734916480138126,145,2
Hg,Ni,-0.01930325592430915,0.327282821161057,146,2
