z1,z2,est,sd,trial,case
As,Cd,0.063062828999644,0.10299716288167522,101,2
As,Co,-0.004142700089831308,0.03859494110769266,101,2
As,Hg,0.16825821197175506,0.18030230018251955,101,2
As,Ni,-0.15876851596251296,0.14495322785153356,101,2
As,Tl,0.04332343154894236,0.07845988726032407,101,2
As,Pb,0.030716914471608625,0.0737072313914827,101,2
As,Mo,0.009062925983406966,0.04967307128711987,101,2
As,Sb,0.02441447831329624,0.2590445997717274,101,2
As,Sn,0.031607426597904276,0.13336530833147153,101,2
Cd,Co,-0.0016234767341325451,0.055398490297320656,101,2
Cd,Hg,0.09847916705722382,0.24303119078221494,101,2
Cd,Ni,-0.19783616195781217,0.19944868951150843,101,2
Cd,Tl,0.005714995904072762,0.11263732827143531,101,2
Cd,Pb,0.028754684267602748,0.1056557696326075,101,2
Cd,Mo,-0.014769204794539803,0.07118445521162009,101,2
Cd,Sb,-0.07475372051632156,0.3544689395462163,101,2
Cd,Sn,-0.0029644020017065564,0.18900717609153997,101,2
Co,Hg,0.002475467219490657,0.110691649982371,101,2
Co,Ni,-0.007848618967109644,0.08365206290496473,101,2
Co,Tl,0.0025749075797008025,0.04049558139564184,101,2
Co,Pb,-0.0014868856563046151,0.038229314251594246,101,2
Co,Mo,7.765364175815748e-4,0.025411555325215985,101,2
Co,Sb,0.05567206904549504,0.1942310518598211,101,2
Co,Sn,0.004645928401774135,0.07486652812278502,101,2
Hg,Ni,0.021560183557259194,0.27204734873637654,101,2
Hg,Tl,-0.002955101984166486,0.20634497987486214,101,2
Hg,Pb,0.027744488886680685,0.19653018807226771,101,2
Hg,Mo,0.0705857735532276,0.1347771954259275,101,2
Hg,Sb,-0.18645472315477996,0.44388468740268716,101,2
Hg,Sn,-0.1547746419765028,0.2859226135424187,101,2
Ni,Tl,0.13626761317785174,0.1629940994978397,101,2
Ni,Pb,0.022755338537253422,0.15387960921554097,101,2
Ni,Mo,0.056556223375236137,0.10433678615139767,101,2
Ni,Sb,0.37129797358825956,0.3947092037271815,101,2
Ni,Sn,0.28985061616613184,0.24018620141940522,101,2
Tl,Pb,0.025143264203253413,0.0786307370662036,101,2
Tl,Mo,0.01561227116604158,0.052449900586223945,101,2
Tl,Sb,0.18834822183310607,0.3304926556442941,101,2
Tl,Sn,0.023713750791408472,0.14931593910294844,101,2
Pb,Mo,0.010387424836690418,0.049520500986537735,101,2
Pb,Sb,0.273930961528686,0.3118517912965142,101,2
Pb,Sn,-0.0075931886549520655,0.13939479659154433,101,2
Mo,Sb,-0.20423675442591005,0.22095309749819012,101,2
Mo,Sn,0.006674625479786478,0.09510961383422897,101,2
Sb,Sn,-0.30581922995266897,0.3971482690826048,101,2
As,Cd,0.008186981151375505,0.06788034847874996,102,2
As,Co,0.017086841044290146,0.1707773969348677,102,2
As,Hg,-0.1925725039233721,0.1734893365180826,102,2
As,Ni,-0.18687181123394403,0.2502272669051464,102,2
As,Tl,-0.009253358692322688,0.08295213785693503,102,2
As,Pb,-0.04604630532681364,0.12457692306846467,102,2
As,Mo,0.008796795739291152,0.05868539509948305,102,2
As,Sb,0.054559802701359406,0.3541177835586837,102,2
As,Sn,0.018825180848797363,0.1407008321927364,102,2
Cd,Co,-0.02899217279741384,0.13318850976654764,102,2
Cd,Hg,0.011839386572455979,0.14096051807561902,102,2
Cd,Ni,-0.007852131726689304,0.22024046787632184,102,2
Cd,Tl,6.936407548900902e-4,0.06295933261812182,102,2
Cd,Pb,0.037950634673285855,0.09695240795663948,102,2
Cd,Mo,-0.006089914054403511,0.04420569159465171,102,2
Cd,Sb,0.08003260787269406,0.3286515219467152,102,2
Cd,Sn,0.014613281964643843,0.11016005451375298,102,2
Co,Hg,0.16185399590408966,0.3121396127077142,102,2
Co,Ni,0.42739632729710264,0.4486853333016332,102,2
Co,Tl,-4.1883416618393454e-4,0.16295181044973664,102,2
Co,Pb,0.1626027460557138,0.24054719371592667,102,2
Co,Mo,-0.0381583503308871,0.11541535889657203,102,2
Co,Sb,-1.0483574329284386,0.6072829837934447,102,2
Co,Sn,-0.12289009791824679,0.26676435838801543,102,2
Hg,Ni,1.150394784294292,0.39619943260580354,102,2
Hg,Tl,0.017866378049279596,0.17253336837517477,102,2
Hg,Pb,-0.0147394875300213,0.24691324378590365,102,2
Hg,Mo,-8.45109044664838e-5,0.12302699724358872,102,2
Hg,Sb,0.3349572204368867,0.537565430003703,102,2
Hg,Sn,0.22667951989308133,0.26104637372102096,102,2
Ni,Tl,-0.05399333379146665,0.26574543403339657,102,2
Ni,Pb,0.5632521018981187,0.35823612206465505,102,2
Ni,Mo,0.06758226913251564,0.19338939717412937,102,2
Ni,Sb,-0.3677393926855519,0.71482047329058,102,2
Ni,Sn,0.31617028910540057,0.35970280943678407,102,2
Tl,Pb,-0.034392377820939846,0.11929717627837685,102,2
Tl,Mo,0.0037026672390823023,0.05416370456227749,102,2
Tl,Sb,-0.13376098229049882,0.39844254748285823,102,2
Tl,Sn,0.007199544341203179,0.13448256737492936,102,2
Pb,Mo,0.02707469405486762,0.08364220908343953,102,2
Pb,Sb,0.3421648313527106,0.4977485217030707,102,2
Pb,Sn,-0.15884945301690667,0.19990612013665582,102,2
Mo,Sb,-0.10657121008588932,0.28917532651694877,102,2
Mo,Sn,0.007779877148709424,0.095811740666973,102,2
Sb,Sn,0.11654755285217355,0.5089999486158163,102,2
As,Cd,-0.0014196535599242388,0.04546219411791385,103,2
