z1,z2,est,sd,trial,case
As,Cd,0.063062828999644,0.10299716288167522,101,2
As,Co,-0.0041427000898313,0.03859494110769266,101,2
As,Hg,0.16825821197175506,0.18030230018251955,101,2
As,Ni,-0.15876851596251296,0.14495322785153356,101,2
As,Tl,0.04332343154894236,0.07845988726032407,101,2
As,Pb,0.03071691447160862,0.0737072313914827,101,2
As,Mo,0.00906292598340696,0.04967307128711987,101,2
As,Sb,0.02441447831329624,0.2590445997717274,101,2
As,Sn,0.03160742659790427,0.13336530833147153,101,2
Cd,Co,-0.00162347673413254,0.05539849029732065,101,2
Cd,Hg,0.09847916705722382,0.24303119078221497,101,2
Cd,Ni,-0.19783616195781217,0.19944868951150843,101,2
Cd,Tl,0.00571499590407276,0.11263732827143531,101,2
Cd,Pb,0.02875468426760274,0.1056557696326075,101,2
Cd,Mo,-0.0147692047945398,0.07118445521162009,101,2
Cd,Sb,-0.07475372051632156,0.3544689395462163,101,2
Cd,Sn,-0.00296440200170655,0.18900717609153997,101,2
Co,Hg,0.00247546721949065,0.110691649982371,101,2
Co,Ni,-0.00784861896710964,0.08365206290496473,101,2
Co,Tl,0.0025749075797008,0.04049558139564184,101,2
Co,Pb,-0.00148688565630461,0.03822931425159424,101,2
Co,Mo,7.765364175815748e-4,0.02541155532521598,101,2
Co,Sb,0.05567206904549504,0.1942310518598211,101,2
Co,Sn,0.00464592840177413,0.07486652812278502,101,2
Hg,Ni,0.02156018355725919,0.27204734873637654,101,2
Hg,Tl,-0.00295510198416648,0.20634497987486217,101,2
Hg,Pb,0.02774448888668068,0.19653018807226771,101,2
Hg,Mo,0.0705857735532276,0.1347771954259275,101,2
Hg,Sb,-0.18645472315477996,0.4438846874026872,101,2
Hg,Sn,-0.1547746419765028,0.2859226135424187,101,2
Ni,Tl,0.13626761317785174,0.1629940994978397,101,2
Ni,Pb,0.02275533853725342,0.15387960921554095,101,2
Ni,Mo,0.05655622337523613,0.10433678615139769,101,2
Ni,Sb,0.3712979735882595,0.3947092037271815,101,2
Ni,Sn,0.28985061616613184,0.2401862014194052,101,2
Tl,Pb,0.02514326420325341,0.0786307370662036,101,2
Tl,Mo,0.01561227116604158,0.05244990058622394,101,2
Tl,Sb,0.18834822183310607,0.3304926556442941,101,2
Tl,Sn,0.02371375079140847,0.14931593910294844,101,2
Pb,Mo,0.01038742483669041,0.04952050098653773,101,2
Pb,Sb,0.273930961528686,0.3118517912965142,101,2
Pb,Sn,-0.00759318865495206,0.13939479659154433,101,2
Mo,Sb,-0.20423675442591005,0.22095309749819012,101,2
Mo,Sn,0.00667462547978647,0.09510961383422896,101,2
Sb,Sn,-0.30581922995266897,0.3971482690826048,101,2
As,Cd,0.0081869811513755,0.06788034847874996,102,2
As,Co,0.01708684104429014,0.1707773969348677,102,2
As,Hg,-0.1925725039233721,0.1734893365180826,102,2
As,Ni,-0.18687181123394403,0.2502272669051464,102,2
As,Tl,-0.00925335869232268,0.08295213785693503,102,2
As,Pb,-0.04604630532681364,0.12457692306846468,102,2
As,Mo,0.00879679573929115,0.05868539509948305,102,2
As,Sb,0.0545598027013594,0.3541177835586837,102,2
As,Sn,0.01882518084879736,0.1407008321927364,102,2
Cd,Co,-0.02899217279741384,0.13318850976654764,102,2
Cd,Hg,0.01183938657245597,0.14096051807561902,102,2
Cd,Ni,-0.0078521317266893,0.22024046787632184,102,2
Cd,Tl,6.936407548900902e-4,0.06295933261812182,102,2
Cd,Pb,0.03795063467328585,0.09695240795663948,102,2
Cd,Mo,-0.0060899140544035104,0.04420569159465171,102,2
Cd,Sb,0.08003260787269406,0.3286515219467152,102,2
Cd,Sn,0.01461328196464384,0.11016005451375298,102,2
Co,Hg,0.16185399590408966,0.3121396127077142,102,2
Co,Ni,0.42739632729710264,0.4486853333016332,102,2
