variable,fixedat1,fixedat2,est,sd,trial,case
Hg,Ni,Tl,-0.20935125836128776,0.29182057501330955,1301,14
Ni,Tl,Hg,-0.27150925230798073,0.30039886658183085,1301,14
Tl,Hg,Ni,-0.12882370275288846,0.1958916484317825,1301,14
Hg,Ni,Tl,-0.006284234277969425,0.39428028416919036,1302,14
Ni,Tl,Hg,-0.02439223516783251,0.42274416723394054,1302,14
Tl,Hg,Ni,-0.014009334790602956,0.23037549608010524,1302,14
Hg,Ni,Tl,0.03801060920681998,0.2479049997580265,1303,14
Ni,Tl,Hg,0.026314694051907672,0.24511568232379044,1303,14
Tl,Hg,Ni,4.89265923123039e-4,0.11351888758625485,1303,14
Hg,Ni,Tl,-0.043968140065465455,0.32383011174339343,1304,14
Ni,Tl,Hg,-0.2867305116231158,0.3150619980938696,1304,14
Tl,Hg,Ni,-0.08514152620703719,0.29425056230927027,1304,14
Hg,Ni,Tl,0.03893370471968982,0.31635100046608317,1305,14
Ni,Tl,Hg,0.056626703222930175,0.30652220798117635,1305,14
Tl,Hg,Ni,0.01198038064222029,0.19800150543238496,1305,14
Hg,Ni,Tl,0.1180138074773569,0.29264194360072343,1306,14
Ni,Tl,Hg,0.03779895260927413,0.2874959935663629,1306,14
Tl,Hg,Ni,0.1685457583788441,0.2684045069594968,1306,14
Hg,Ni,Tl,0.15152292920530108,0.3638833734420395,1307,14
Ni,Tl,Hg,-0.14434501153469448,0.37167894179162686,1307,14
Tl,Hg,Ni,-0.08843890150195843,0.36001771283452766,1307,14
Hg,Ni,Tl,-0.12966063495873392,0.31618847318453874,1308,14
Ni,Tl,Hg,-0.08149000957829156,0.32782556303510435,1308,14
Tl,Hg,Ni,-0.0015648670825454403,0.1771853756953283,1308,14
Hg,Ni,Tl,-0.2547503870608443,0.3807322358266837,1309,14
Ni,Tl,Hg,-0.099936982389492,0.3818585462734925,1309,14
Tl,Hg,Ni,0.3212436315057845,0.3967713449273026,1309,14
Hg,Ni,Tl,0.08670759421923524,0.2819503188640932,1310,14
Ni,Tl,Hg,-0.06830445649550576,0.2797034451447522,1310,14
Tl,Hg,Ni,-0.10290855584967229,0.2494716869081615,1310,14
Hg,Ni,Tl,0.06902273950347304,0.2484834470735831,1311,14
Ni,Tl,Hg,0.09002708440465845,0.2346743175586736,1311,14
Tl,Hg,Ni,0.02278591449411893,0.20454643787701227,1311,14
Hg,Ni,Tl,-0.4948506071654344,0.35961553183280537,1312,14
Ni,Tl,Hg,-0.4267097986128121,0.367203084194369,1312,14
Tl,Hg,Ni,-0.33887322695666366,0.3929962282172218,1312,14
Hg,Ni,Tl,-0.012580839850215408,0.357812721782267,1313,14
Ni,Tl,Hg,-0.022987284634414795,0.39593244042316933,1313,14
Tl,Hg,Ni,-0.028354572551539725,0.26045297868423234,1313,14
Hg,Ni,Tl,-0.27861308659721384,0.24650775281663495,1314,14
Ni,Tl,Hg,-0.16496752659988623,0.23249346530464463,1314,14
Tl,Hg,Ni,-0.06190996888205369,0.183994357383173,1314,14
Hg,Ni,Tl,0.14457520022591375,0.35797588000390035,1315,14
Ni,Tl,Hg,0.3750994128103038,0.3474308339209393,1315,14
Tl,Hg,Ni,0.4877913357884003,0.35414460882992627,1315,14
Hg,Ni,Tl,-0.013895892590409353,0.5681911075604976,1316,14
Ni,Tl,Hg,-0.2842751574603115,0.6188712166860956,1316,14
Tl,Hg,Ni,0.17254026911599496,0.46742934024085986,1316,14
Hg,Ni,Tl,-0.038066962532988136,0.5365556446860059,1317,14
Ni,Tl,Hg,-0.24855347475156275,0.5339782408274701,1317,14
Tl,Hg,Ni,-0.012751683074025522,0.49527273771525404,1317,14
Hg,Ni,Tl,0.17158614036454445,0.3854542244611607,1318,14
Ni,Tl,Hg,-0.17172323248346455,0.3500161802792941,1318,14
Tl,Hg,Ni,-0.07748568826367475,0.34504134544185766,1318,14
Hg,Ni,Tl,-0.027972096743215324,0.2406251478713661,1319,14
Ni,Tl,Hg,-0.03113673171317899,0.23756951361925185,1319,14
Tl,Hg,Ni,-0.002336482072382573,0.08976125499257308,1319,14
Hg,Ni,Tl,0.20471617388399732,0.29403879868476623,1320,14
Ni,Tl,Hg,0.09658204229743461,0.27593045740458794,1320,14
Tl,Hg,Ni,-0.009017966460048044,0.20251733845340905,1320,14
Hg,Ni,Tl,-0.29191376642613953,0.27917794242872473,1321,14
Ni,Tl,Hg,-0.35983478405778246,0.2697924493713812,1321,14
Tl,Hg,Ni,0.0087145957133421,0.13808618465507203,1321,14
Hg,Ni,Tl,0.2192744375193696,0.29758677656378324,1322,14
Ni,Tl,Hg,0.08132988486991533,0.30377609598394517,1322,14
Tl,Hg,Ni,-0.10565520732337408,0.22725249815189932,1322,14
Hg,Ni,Tl,-0.013482072269400014,0.29110034386747713,1323,14
Ni,Tl,Hg,-0.14217523360488027,0.3039471995197665,1323,14
Tl,Hg,Ni,-0.02491225829340671,0.21215144714538872,1323,14
Hg,Ni,Tl,-0.022583469037030568,0.26451902700034713,1324,14
Ni,Tl,Hg,0.029080780434884268,0.2649836952098434,1324,14
Tl,Hg,Ni,-0.021773700081246794,0.17314831810562273,1324,14
Hg,Ni,Tl,0.4284178133117984,0.33770621252739863,1325,14
Ni,Tl,Hg,0.5924176425091896,0.31541878503410153,1325,14
Tl,Hg,Ni,0.49907665980498317,0.33358484652027337,1325,14
Hg,Ni,Tl,-0.07906944145798445,0.2884970515274592,1326,14
Ni,Tl,Hg,-0.10357780939246108,0.30448379601613895,1326,14
Tl,Hg,Ni,0.12940793207479517,0.22225103097410517,1326,14
Hg,Ni,Tl,-0.2800978312782245,0.33368359327915875,1327,14
Ni,Tl,Hg,-0.27418948566870505,0.3402428737649117,1327,14
Tl,Hg,Ni,0.015968713806373103,0.15844063823225396,1327,14
Hg,Ni,Tl,-0.15054065117082693,0.2855336371619226,1328,14
Ni,Tl,Hg,-0.15843522145969402,0.28479752094944955,1328,14
Tl,Hg,Ni,-0.01031207739278095,0.13151533003313914,1328,14
Hg,Ni,Tl,0.17130588397849955,0.2804148948557639,1329,14
Ni,Tl,Hg,0.19652493257199133,0.2837050070424579,1329,14
Tl,Hg,Ni,-0.0058451130659671335,0.22994855223046096,1329,14
Hg,Ni,Tl,-0.164856608358936,0.31334488798853394,1330,14
Ni,Tl,Hg,-0.25802503102574637,0.3129944852461538,1330,14
Tl,Hg,Ni,-0.012834789292824667,0.2502349077868602,1330,14
Hg,Ni,Tl,-0.024531686234966266,0.30062402940399297,1331,14
Ni,Tl,Hg,-0.2799219164901654,0.2939447505084229,1331,14
Tl,Hg,Ni,-0.30201208910706256,0.2819876050587249,1331,14
Hg,Ni,Tl,0.005630593079031243,0.29552296415911655,1332,14
Ni,Tl,Hg,-0.0022237664519559885,0.2978611010559411,1332,14
Tl,Hg,Ni,0.016077775596044397,0.12200676048605577,1332,14
Hg,Ni,Tl,-0.03552447136927395,0.2786717644265414,1333,14
Ni,Tl,Hg,0.013217847061179455,0.2654070237531923,1333,14
Tl,Hg,Ni,-0.0682405930015424,0.22648819641302065,1333,14
Hg,Ni,Tl,0.15214746753358543,0.26632451360694503,1334,14
Ni,Tl,Hg,0.17705046610335362,0.2664511161920414,1334,14
Tl,Hg,Ni,-0.04379861570369581,0.17733390068804922,1334,14
Hg,Ni,Tl,-0.08617689573673015,0.3420353049449326,1335,14
Ni,Tl,Hg,-0.05058785766873708,0.35601284760148205,1335,14
Tl,Hg,Ni,0.1883335803789148,0.28291731999290837,1335,14
Hg,Ni,Tl,0.04564204927926507,0.28558025097383083,1336,14
Ni,Tl,Hg,-6.843797201958601e-4,0.2892893140949871,1336,14
Tl,Hg,Ni,-0.07302770681464033,0.1631022398882524,1336,14
Hg,Ni,Tl,-0.20458806242154104,0.31931048902041187,1337,14
Ni,Tl,Hg,-0.28514680398023273,0.32401722433143704,1337,14
Tl,Hg,Ni,-0.008624312521703814,0.21510525048160756,1337,14
Hg,Ni,Tl,0.48239765488065345,0.3866619984368557,1338,14
Ni,Tl,Hg,0.4911925378209734,0.3917388553690586,1338,14
Tl,Hg,Ni,-0.022077159342064334,0.1804482219477969,1338,14
Hg,Ni,Tl,-0.13854746129948659,0.2155655924639553,1339,14
Ni,Tl,Hg,-0.13959612856782222,0.21330115560378948,1339,14
Tl,Hg,Ni,3.863207285510484e-4,0.0853576586891629,1339,14
Hg,Ni,Tl,-0.0010268866780283048,0.29053531615760225,1340,14
Ni,Tl,Hg,0.013823459423410789,0.2872119067271917,1340,14
Tl,Hg,Ni,-0.02370905011512736,0.16332654665864035,1340,14
Hg,Ni,Tl,0.01763207461603944,0.2910855057570568,1341,14
Ni,Tl,Hg,0.047296934154092085,0.27822909164514514,1341,14
Tl,Hg,Ni,-0.10227568922478003,0.24803626866728434,1341,14
Hg,Ni,Tl,0.14588325511079603,0.3288858547660822,1342,14
Ni,Tl,Hg,0.23904184870050127,0.3410018971562123,1342,14
Tl,Hg,Ni,0.09315128711543785,0.2665098971325261,1342,14
