variable,est,sd,trial,case
Hg,0.07948064749580297,0.5710023407297554,101,2
Ni,0.5695217215660406,0.5398692117023735,101,2
Hg,1.5064218601897439,0.6674945571093391,102,2
Ni,1.5763251280011676,0.9607810094293613,102,2
Hg,1.2810731407598004,0.5345353910303946,103,2
Ni,0.41057304548489615,0.6249160751165319,103,2
Hg,0.8149899740187401,0.4433800699984685,104,2
Ni,0.39833481445316465,0.4756044977373491,104,2
Hg,0.7640603525365064,0.5390910206732535,105,2
Ni,0.7737917029438495,0.6035868718122716,105,2
Hg,0.42606395114039675,0.5208994791885511,106,2
Ni,0.38897936767639774,0.6795761090204486,106,2
Hg,0.4422014202109361,0.5005803050284868,107,2
Ni,0.41957296028143354,0.5823565901511478,107,2
Hg,0.8876955418116905,0.6226790488459748,108,2
Ni,0.6027772769849955,0.7871018314959235,108,2
Hg,0.3898512925997668,0.4852774415778087,109,2
Ni,0.20007827127833577,0.5382300682546086,109,2
Hg,-0.04162063465600241,0.5348878417737966,110,2
Ni,0.045643592877373074,0.5701535996925572,110,2
Hg,0.5450161489899807,0.5340053913490468,111,2
Ni,0.31266238962450554,0.5590300355436338,111,2
Hg,0.09086724479119379,0.49376144215417855,112,2
Ni,0.39074430565280593,0.53395817788237665,112,2
Hg,0.6190502963846813,0.5119020217133128,113,2
Ni,-0.2497146147838185,0.5458679354219222,113,2
Hg,2.941089595234248,0.8370675754504372,114,2
Ni,1.7264762782493728,1.1125943541636343,114,2
Hg,-0.3156790089060477,0.61645497300141,115,2
Ni,0.1140503753295552,0.681239967598308,115,2
Hg,1.12525065759973,0.4956948917566091,116,2
Ni,0.8886141511224075,0.49615391491327665,116,2
Hg,0.019873689668352235,0.5015209416773725,117,2
Ni,0.10233805107203375,0.5350813185624685,117,2
Hg,0.2896855429815357,0.5003513155263085,118,2
Ni,0.49047606996638393,0.6572323857794191,118,2
Hg,1.0294808562570772,0.5158844740423552,119,2
Ni,0.8790468618906244,0.5698236039545368,119,2
Hg,0.8451716708403385,0.39760664982307486,120,2
Ni,0.48441462626842036,0.42669356545578163,120,2
Hg,0.5986845094406492,0.5521695795589671,121,2
Ni,0.49882275552212985,0.6462144001812228,121,2
Hg,0.6309603080086266,0.5486420792396458,122,2
Ni,0.4120062074760167,0.7161453335769074,122,2
Hg,0.6287544582386451,0.5041756635195219,123,2
Ni,0.2521397062960773,0.6419251431716232,123,2
Hg,0.43752608917348557,0.569724644781304,124,2
Ni,1.205019252753471,0.8087978633093723,124,2
Hg,0.2513000738244706,0.537892468238484,125,2
Ni,-0.13927024852496395,0.5910267128928219,125,2
Hg,1.335635129547465,0.4677348645411385,126,2
Ni,0.23318999897050485,0.5982078624214108,126,2
Hg,0.03465150989810173,0.525517773377066,127,2
Ni,-0.00977704149168801,0.5627014345779627,127,2
Hg,0.504459908387676,0.6248015360513302,128,2
Ni,1.439939653728696,0.5581821006916605,128,2
Hg,1.0783608462629513,0.44503502318954546,129,2
Ni,0.22008395221903054,0.5074773760296354,129,2
Hg,0.6309320133769796,0.5092021192895606,130,2
Ni,0.23779325867014123,0.6363588856242516,130,2
Hg,0.6082448669118419,0.5731881605630278,131,2
Ni,1.5331431416707577,0.7355246039765949,131,2
Hg,-0.09472301766358715,0.5502077283722117,132,2
Ni,0.16733895143230715,0.65854514709462,132,2
Hg,0.10646168267747047,0.4733852807703532,133,2
Ni,0.03579636372389494,0.5647454818315691,133,2
Hg,0.0902251441690165,0.5438479824219471,134,2
Ni,-0.38806196800146786,0.7780151695009435,134,2
Hg,0.39545382259492445,0.5821713419915261,135,2
Ni,0.3916376717886827,0.9565091011929616,135,2
Hg,0.3238383232654032,0.4772125109808973,136,2
Ni,0.6927447769569008,0.5142122771803757,136,2
Hg,0.4344712442332921,0.4772019451105974,137,2
Ni,0.1853349273974083,0.4993925547016342,137,2
Hg,0.5990595547076323,0.511834559535921,138,2
Ni,0.009192780773002784,0.49082692889422547,138,2
Hg,0.5611837487619207,0.5201335903056216,139,2
Ni,0.010439002247221829,0.5197063710565749,139,2
Hg,0.43744171504766305,0.5727399325834511,140,2
Ni,0.12476141000052499,0.6433518605033854,140,2
Hg,0.20454058773927208,0.5650266423127416,141,2
Ni,0.33886108839425866,0.5912255441584942,141,2
Hg,0.7928082462652468,0.4921243875827637,142,2
Ni,0.2747621490863805,0.5397419477249933,142,2
Hg,0.17226520916952115,0.5651576596386502,143,2
Ni,0.26180762072604313,0.6218319311263356,143,2
Hg,0.4499037127080525,0.47989120380579253,144,2
Ni,0.0858259423285288,0.463521412008722,144,2
Hg,0.6800108011694066,0.4491409145249351,145,2
Ni,0.596279227489326,0.529730659014517,145,2
Hg,-0.5748112767899487,0.5398856388213884,146,2
Ni,-0.14359745695523696,0.669610366505696,146,2
Hg,-0.43959274714618557,0.5809531525925407,147,2
Ni,0.16759271724456637,0.6492606235525368,147,2
Hg,0.5422507210279095,0.4501449258582083,148,2
Ni,0.6855090494283971,0.48542680310303277,148,2
Hg,0.6797968676383839,0.47286591223538055,149,2
Ni,0.4291813452294786,0.5659073162974132,149,2
Hg,-5.65138184114744e-4,0.48907153448844753,150,2
Ni,0.08436323438205573,0.6882897594661287,150,2
Hg,0.7891010656578707,0.49025487773298526,151,2
Ni,0.5341624421103237,0.5482278653386115,151,2
Hg,0.336094252563476,0.49333280819518444,152,2
Ni,-0.013598251417925589,0.49607570623304975,152,2
Hg,0.7897719523989282,0.46572800771005146,153,2
Ni,-0.17142132464427773,0.6619340673498175,153,2
Hg,1.3279657021400557,0.5512324327004011,154,2
Ni,0.5222305731580317,0.6870760184320829,154,2
Hg,0.747954668801933,0.5752955454527895,155,2
Ni,0.6239745029132768,0.7905458994228789,155,2
Hg,0.7316441897388799,0.5004122781285765,156,2
Ni,0.8487155065091523,0.6365820899759459,156,2
Hg,0.5854541118103467,0.5086850833310423,157,2
Ni,-0.1544427966118045,0.7343599993712239,157,2
Hg,1.1962711469380456,0.5157628975839493,158,2
