variable,PIP,trial,case
As,0.20864,1,1
Cd,0.2276,1,1
Co,0.13508,1,1
Hg,1,1,1
Ni,1,1,1
Tl,0.23928,1,1
Pb,0.72872,1,1
Mo,0.43684,1,1
Sb,1,1,1
Sn,0.94384,1,1
As,0.13592,10,1
Cd,0.11456,10,1
Co,0.1116,10,1
Hg,1,10,1
Ni,1,10,1
Tl,0.20316,10,1
Pb,0.31304,10,1
Mo,0.58272,10,1
Sb,1,10,1
Sn,0.99916,10,1
As,0.4408,100,1
Cd,0.15564,100,1
Co,0.2638,100,1
Hg,1,100,1
Ni,1,100,1
Tl,0.16284,100,1
Pb,0.19864,100,1
Mo,0.56812,100,1
Sb,1,100,1
Sn,1,100,1
As,0.03788,11,1
Cd,0.09208,11,1
Co,0.10732,11,1
Hg,1,11,1
Ni,1,11,1
Tl,0.07092,11,1
Pb,0.09328,11,1
Mo,0.02788,11,1
Sb,1,11,1
Sn,1,11,1
As,0.72484,12,1
Cd,0.20924,12,1
Co,0.16352,12,1
Hg,1,12,1
Ni,1,12,1
Tl,0.13092,12,1
Pb,0.20436000000000001,12,1
Mo,0.39604,12,1
Sb,1,12,1
Sn,0.77344,12,1
As,0.11772,13,1
Cd,0.0382,13,1
Co,0.048280000000000003,13,1
Hg,1,13,1
Ni,1,13,1
Tl,0.24104,13,1
Pb,0.08392,13,1
Mo,0.06424,13,1
Sb,1,13,1
Sn,0.37432,13,1
As,0.04656,14,1
Cd,0.0316,14,1
Co,0.04436,14,1
Hg,1,14,1
Ni,1,14,1
Tl,0.03812,14,1
Pb,0.0824,14,1
Mo,0.04444,14,1
Sb,1,14,1
Sn,0.99408,14,1
As,0.06268,15,1
Cd,0.06104,15,1
Co,0.08212,15,1
Hg,1,15,1
Ni,1,15,1
Tl,0.0364,15,1
Pb,0.05224,15,1
Mo,0.02564,15,1
Sb,1,15,1
Sn,0.99812,15,1
As,0.116,16,1
Cd,0.09364,16,1
Co,0.53564,16,1
Hg,1,16,1
Ni,1,16,1
