z1,z2,est,sd,trial,case
Hg,Ni,0.12358564324455745,0.6177054028372602,101,2
Hg,Ni,0.5125817882225281,0.4281443786997082,102,2
Hg,Ni,0.0404306397412002,0.581072785096987,103,2
Hg,Ni,-0.036142721062737415,0.5351669622199221,104,2
Hg,Ni,-0.2249149464954261,0.6803900922473786,105,2
Hg,Ni,0.5006605904535448,0.39855532516489084,106,2
Hg,Ni,0.1530106132572393,0.3517063072115076,107,2
Hg,Ni,-0.03332730885997215,0.568307295112405,108,2
Hg,Ni,-0.029806244694354334,0.2969773936207055,109,2
Hg,Ni,0.27460608668354203,0.5277475969717664,110,2
Hg,Ni,-0.12206565308565587,0.34512549939346476,111,2
Hg,Ni,0.02779403080946974,0.5601091199685636,112,2
Hg,Ni,0.22339495941769094,0.42466609529206994,113,2
Hg,Ni,0.3268289858815119,0.6037062916875023,114,2
Hg,Ni,0.9721230511861183,0.5823774220345721,115,2
Hg,Ni,-0.13852793496915883,0.6327450084218167,116,2
Hg,Ni,0.19762120130658234,0.6187924164897164,117,2
Hg,Ni,-0.002507746417766299,0.3888545267494344,118,2
Hg,Ni,0.6789128790374548,0.6232832224028475,119,2
Hg,Ni,0.047151804467503666,0.46495847911504634,120,2
Hg,Ni,0.17049931872901625,0.3855671024735335,121,2
Hg,Ni,0.06847031616100274,0.32471805404617443,122,2
Hg,Ni,0.09707523189525213,0.6368546316699732,123,2
Hg,Ni,-0.10398865737096141,0.39736849670559726,124,2
Hg,Ni,-0.12139813518706122,0.5642468531619724,125,2
Hg,Ni,-0.2814646617422665,0.43761429195266044,126,2
Hg,Ni,0.44974920926366435,0.46317355080685274,127,2
Hg,Ni,0.47836819418354803,0.4366101039007968,128,2
Hg,Ni,0.07526337035177333,0.6168568770502053,129,2
Hg,Ni,0.03435321149819215,0.27890886186718444,130,2
Hg,Ni,-0.14739218045526004,0.4926403033352995,131,2
Hg,Ni,0.8712707953857235,0.4979636680354137,132,2
Hg,Ni,0.3311707312704337,0.36748800791284664,133,2
Hg,Ni,0.24908290086949458,0.3352719566848992,134,2
Hg,Ni,-0.24650484916005988,1.013757707072186,135,2
Hg,Ni,-0.05321824571865985,0.6012304002513142,136,2
Hg,Ni,0.04515466570347382,0.3596778190623483,137,2
Hg,Ni,0.7052948958533456,0.5954578138894137,138,2
Hg,Ni,0.2904004173573509,0.3794600814094663,139,2
Hg,Ni,-0.013684635047693128,0.2818740424924688,140,2
Hg,Ni,0.16209473707003674,0.37352148243083505,141,2
Hg,Ni,0.38518305280300513,0.41336089554327643,142,2
Hg,Ni,0.46697432292646557,0.5421782557759594,143,2
Hg,Ni,0.00935080648127995,0.27193672119207496,144,2
Hg,Ni,0.373465126720506,0.4521802686168866,145,2
Hg,Ni,0.30295662330038864,0.4949785440201098,146,2
Hg,Ni,-0.021186995559359545,0.5038784652304891,147,2
Hg,Ni,0.23280626230494494,0.4393483464984407,148,2
Hg,Ni,0.016509481399057613,0.2773639749495224,149,2
Hg,Ni,1.7570593573619897,0.7926716999411434,150,2
Hg,Ni,0.4891308688551521,0.5296363287544815,151,2
Hg,Ni,0.0950710326373132,0.19511279241460608,152,2
Hg,Ni,0.46279457453208006,0.4388201808840185,153,2
Hg,Ni,0.29373272718286714,0.34920904177645484,154,2
Hg,Ni,0.2863308167626579,0.31044932518178786,155,2
Hg,Ni,0.7780360876648906,0.563927207371675,156,2
Hg,Ni,0.6034549085029537,0.520207982067286,157,2
Hg,Ni,0.24667051303092435,0.4075399772918766,158,2
Hg,Ni,0.2081872213792284,0.38987858257006774,159,2
Hg,Ni,0.34008653992711313,0.44035084936578467,160,2
Hg,Ni,0.7622385054985528,0.5041862611264555,161,2
Hg,Ni,0.17487303985870772,0.29148689470989736,162,2
Hg,Ni,-0.01995624696927667,0.343524856348597,163,2
Hg,Ni,0.7522787208666721,0.682504463705043,164,2
Hg,Ni,0.05943980135202409,0.41679727133721434,165,2
Hg,Ni,0.4444113029007477,0.4408262556519924,166,2
Hg,Ni,0.4320999600793636,0.45274843332856496,167,2
Hg,Ni,0.2678901128204547,0.4492982393267529,168,2
Hg,Ni,0.22492183571041124,0.42608874569289507,169,2
Hg,Ni,0.4048556990517014,0.45355008347335407,170,2
Hg,Ni,-0.3019282952574711,0.39765507939040257,171,2
Hg,Ni,-0.011221634198889774,0.3412130591807146,172,2
Hg,Ni,0.1236793001626455,0.3426117364016735,173,2
Hg,Ni,-0.6958179746373805,0.4496132141066897,174,2
Hg,Ni,1.1191236948568064,0.6482558427787766,175,2
Hg,Ni,0.20869330173207779,0.2892912147133791,176,2
Hg,Ni,0.1544615650000325,0.37451324572609196,177,2
Hg,Ni,1.3382143756230374,0.866059869049352,178,2
Hg,Ni,-0.0424276239792607,0.4477122293092587,179,2
Hg,Ni,0.013731603238945844,0.13394994963153456,180,2
Hg,Ni,-0.33972653186967294,0.5730857782793681,181,2
Hg,Ni,0.7120147227297462,0.5309123259276117,182,2
Hg,Ni,0.03395244079812709,0.3234403772044667,183,2
Hg,Ni,0.12118743867693116,0.4876471029537887,184,2
Hg,Ni,-0.10564972193303124,0.424173279904769,185,2
Hg,Ni,0.0021584943061982997,0.30352672290471205,186,2
Hg,Ni,0.10079762333996412,0.20829933166854595,187,2
Hg,Ni,0.2589540250918523,0.542946369502713,188,2
Hg,Ni,0.09983144699670632,0.3708870622809536,189,2
Hg,Ni,0.10314209889793169,0.18329306494372632,190,2
Hg,Ni,0.6146542258495558,0.5086883491411089,191,2
Hg,Ni,0.35269281260212493,0.9130606942866518,192,2
Hg,Ni,-0.005473905517233035,0.3566228004571324,193,2
Hg,Ni,0.2460109628897751,0.3291157941064738,194,2
Hg,Ni,0.04708624267919381,0.6353762463509534,195,2
Hg,Ni,0.5442375268424366,0.7219803753772169,196,2
Hg,Ni,1.4438411192343708,1.0866282588639171,197,2
Hg,Ni,0.11966525336818412,0.3874663628504172,198,2
Hg,Ni,-0.04555480001273793,0.3614323405911863,199,2
Hg,Ni,0.5781787073006672,0.43122313252370265,200,2
Hg,Ni,0.813849561163221,0.7033485745987457,201,3
Hg,Ni,0.023143226895105506,0.5279261472189943,202,3
Hg,Ni,0.45023975637893443,0.40867874012994915,203,3
Hg,Ni,0.616549928540779,0.669259865116922,204,3
Hg,Ni,0.22833598301281643,0.3712010197181844,205,3
Hg,Ni,0.4728053643165815,0.35318773770764866,206,3
Hg,Ni,-0.2008766458290432,0.43727921123925,207,3
Hg,Ni,0.5260059399614132,0.5806653594920981,208,3
Hg,Ni,0.4137758456313039,0.5891152275152662,209,3
