z1,z2,est,sd,trial,case
As,Cd,0.007282478506506429,0.22066513027012605,101,2
As,Co,-0.014970739122046162,0.15778208132542812,101,2
As,Hg,0.0726449167176817,0.2645042067982302,101,2
As,Ni,0.129340216462416,0.4309965654974544,101,2
As,Tl,0.11650985112194778,0.20090481869770827,101,2
As,Pb,-0.03998081786607477,0.25454651598708644,101,2
As,Mo,0.06951846871715528,0.1589655234900471,101,2
As,Sb,0.18234238574264605,0.392075460853355,101,2
As,Sn,-0.03567142199596063,0.2262448863339504,101,2
Cd,Co,0.025904698981242813,0.20680698151504504,101,2
Cd,Hg,0.026753563603142183,0.34511879388122313,101,2
Cd,Ni,0.21584668503269544,0.5820900032166751,101,2
Cd,Tl,0.07586568680471784,0.2616893021254868,101,2
Cd,Pb,-0.16615630400295123,0.3237636695793183,101,2
Cd,Mo,0.039811607002913973,0.20925459875518768,101,2
Cd,Sb,-0.30919410768391753,0.504219967299354,101,2
Cd,Sn,-0.1905915305572874,0.2942469474395118,101,2
Co,Hg,0.02064763988323204,0.25113829392144515,101,2
Co,Ni,0.15715828012704325,0.43987130278263953,101,2
Co,Tl,0.07165245525257413,0.18664162577214585,101,2
Co,Pb,0.07975291718848654,0.2352675191905049,101,2
Co,Mo,-0.02996255756932742,0.14730615304371353,101,2
Co,Sb,0.001218621776533979,0.3775490519034152,101,2
Co,Sn,0.06185337654880119,0.2139954583241869,101,2
Hg,Ni,0.12358564324455745,0.6177054028372602,101,2
Hg,Tl,0.12465034580857282,0.31309136140421717,101,2
Hg,Pb,0.09749079020341522,0.3874306159187282,101,2
Hg,Mo,0.073324521073034,0.24959553677511753,101,2
Hg,Sb,-0.4735145742284943,0.5583987209890343,101,2
Hg,Sn,-0.20914690291135596,0.33993114220262155,101,2
Ni,Tl,0.5296821528944182,0.5314700382584747,101,2
Ni,Pb,0.08474036048418476,0.6525990260663471,101,2
Ni,Mo,-0.4841152773221218,0.4245500751385201,101,2
Ni,Sb,-0.42483032424059264,0.8681087452958827,101,2
Ni,Sn,1.0825730231201423,0.556858289337439,101,2
Tl,Pb,-0.027191495592871817,0.29703057681592676,101,2
Tl,Mo,-0.020016390347237234,0.1897969347151017,101,2
Tl,Sb,0.03406877560765098,0.4632389276555874,101,2
Tl,Sn,-0.08186012039367352,0.26488785403591736,101,2
Pb,Mo,-0.05653235929264344,0.2359499720444907,101,2
Pb,Sb,-0.2874892147687973,0.5697774586334472,101,2
Pb,Sn,-0.07466709978333608,0.329827553050151,101,2
