variable,fixedat1,fixedat2,est,sd,trial,case
Hg,Ni,Tl,0.3152191754527758,0.4891805949823754,1301,14
Ni,Tl,Hg,-0.253626800920693,0.5870338447385902,1301,14
Tl,Hg,Ni,-0.42323954465771063,0.5705996686146273,1301,14
Hg,Ni,Tl,-0.16707963593631225,0.3829476839097289,1302,14
Ni,Tl,Hg,-0.020446620265590187,0.44538986720607565,1302,14
Tl,Hg,Ni,0.131512744320899,0.39221748038266563,1302,14
Hg,Ni,Tl,0.31305503455546413,0.46342530187022307,1303,14
Ni,Tl,Hg,0.18413814973100484,0.44248190824071026,1303,14
Tl,Hg,Ni,0.4216296423712369,0.4622713883871536,1303,14
Hg,Ni,Tl,0.19228675379752902,0.6541613607010539,1304,14
Ni,Tl,Hg,0.5319486706235823,0.731121187336651,1304,14
Tl,Hg,Ni,0.28154883236303796,0.6683807524403119,1304,14
Hg,Ni,Tl,0.28515282441525747,0.47754076314214233,1305,14
Ni,Tl,Hg,0.31413169983302724,0.47017584231230763,1305,14
Tl,Hg,Ni,0.2413760576012809,0.37480920592731976,1305,14
Hg,Ni,Tl,-0.08516772903527281,0.5088616104403503,1306,14
Ni,Tl,Hg,-0.10732968331815673,0.47231130025323825,1306,14
Tl,Hg,Ni,-0.24328189088124885,0.4995660725616897,1306,14
Hg,Ni,Tl,0.5713459779298284,0.576717338031344,1307,14
Ni,Tl,Hg,0.5082750730902976,0.5257885090975584,1307,14
Tl,Hg,Ni,0.09440821018528078,0.3828812418166658,1307,14
Hg,Ni,Tl,0.1574512457638617,0.4736598371510605,1308,14
Ni,Tl,Hg,-0.012506043630151176,0.4539252703535164,1308,14
Tl,Hg,Ni,-0.009279375592517347,0.34642048925560787,1308,14
Hg,Ni,Tl,-0.49562502062058655,0.6315736705732714,1309,14
Ni,Tl,Hg,-0.4192462652691553,0.566357940628267,1309,14
Tl,Hg,Ni,0.054777022385954055,0.4406099856928476,1309,14
Hg,Ni,Tl,0.04714151483953177,0.2549466089040504,1310,14
Ni,Tl,Hg,0.23130306808017043,0.39200181501074827,1310,14
