variable,est,sd,trial,case
Hg,-0.14887034784689313,0.9500383903492068,101,2
Ni,1.3311614651042118,1.4764380483883108,101,2
Hg,0.14876169436998055,0.9335207294988302,102,2
Ni,0.6915449765342574,1.1790838256901108,102,2
Hg,2.06975036462115,1.0971373311108652,103,2
Ni,-1.1444540524413362,1.4266808071797075,103,2
Hg,0.04938488033358546,1.0594201496671314,104,2
Ni,-0.6462567612385106,1.1577336820123207,104,2
Hg,-0.47613910075573784,1.0953633605586337,105,2
Ni,1.2810870308710367,1.4385695167434913,105,2
Hg,0.5176332646629795,0.8058113725558937,106,2
Ni,-0.12492791495653899,0.9270289801750075,106,2
Hg,0.4536068974962122,0.9476680547317788,107,2
Ni,-0.4913529916396482,1.0311352274037882,107,2
Hg,-2.109226034488305,1.3024159842189014,108,2
Ni,-0.23222612574679236,1.6279757019454608,108,2
Hg,1.8531687816768407,1.1443819120028482,109,2
Ni,0.13159462151231427,0.9561500543829451,109,2
Hg,-2.0994738437958267,1.5481701352733972,110,2
Ni,0.8884459973448107,1.275760339170631,110,2
Hg,-0.23756283872619033,0.7679904249095658,111,2
Ni,-0.1756618655140718,0.8382265155417068,111,2
Hg,0.556383498312389,1.0284608074477029,112,2
Ni,0.42467765264674995,1.1647547241681429,112,2
Hg,0.4425941222793872,0.7852111856139411,113,2
Ni,-0.25465811506972713,0.8033806969587481,113,2
Hg,-1.3394275796211041,1.1528790864909095,114,2
Ni,-0.059695094797083126,1.1691714318069968,114,2
Hg,1.6201907366229014,0.9033762975644467,115,2
Ni,2.665060030046692,1.4742446899769732,115,2
Hg,0.22126990782631584,0.9225862312580715,116,2
Ni,-1.5538506280937308,1.449041106991654,116,2
Hg,1.5658402154885285,1.149115925963464,117,2
Ni,0.5734651118142717,1.2158017030923771,117,2
Hg,-0.10442001583355154,1.1118995647576824,118,2
Ni,0.12045720419691985,0.7707670408660925,118,2
Hg,1.0850987566365324,1.3428134288819924,119,2
Ni,0.09165798104297185,1.2378531054555895,119,2
Hg,-0.10452152630752387,1.174228183888677,120,2
Ni,-0.0018087875410293108,0.8753437002112099,120,2
Hg,0.07526384693033705,0.9651154400579873,121,2
Ni,-0.24429576194553548,0.9300818780572586,121,2
Hg,-0.5372285019379213,0.8049929282047853,122,2
Ni,0.6257872908130464,0.7652062083145346,122,2
Hg,0.2277504088937885,0.9877706994197211,123,2
Ni,-0.259751017133123,1.0522752472483545,123,2
Hg,-0.7185184301851546,1.3006317337710316,124,2
Ni,-0.2359094618234221,1.012267542970826,124,2
Hg,1.4688363504578428,1.260733380152207,125,2
Ni,-0.26016827193587044,1.0936300865764477,125,2
Hg,-0.7809409106366099,0.9852336353807786,126,2
Ni,-0.7926564198901946,1.1475732658285445,126,2
Hg,0.7687631796785661,0.8552569989808312,127,2
Ni,-0.6167945872966758,0.93444425855196,127,2
Hg,0.7254073026697929,0.8279090431960361,128,2
Ni,1.331666439759033,1.1778360565118213,128,2
Hg,0.1728366289622465,1.0717657606343478,129,2
Ni,-0.08919966817032288,1.3673021713443867,129,2
Hg,0.029646424003505256,0.8234205531426682,130,2
Ni,0.584888248234027,0.863925714021847,130,2
Hg,1.3371022938967743,1.1553381008957035,131,2
Ni,0.6263197870292361,0.9715415352539882,131,2
Hg,0.6905289241585368,0.9599118427026728,132,2
Ni,1.7579852564458394,1.3651116910065269,132,2
Hg,0.3342580895159504,1.0052118311755258,133,2
Ni,1.2855510079616392,1.058762789727971,133,2
Hg,0.5610043464376346,0.96599937294157,134,2
Ni,-0.056902270587180226,0.8417415786341416,134,2
Hg,1.4487188681191268,1.9539169516623822,135,2
Ni,-0.6666532900683917,1.2002740430224372,135,2
Hg,0.4126604184598204,0.859437944126232,136,2
Ni,1.008034876056135,1.2216383837016405,136,2
Hg,0.7680915895184373,1.055874584945661,137,2
Ni,-0.3960999204532163,0.8288110030436135,137,2
Hg,0.6053415129020248,0.9601478476043492,138,2
Ni,0.14280025356908266,1.243840734697688,138,2
Hg,0.10643165780174169,0.7406304234542215,139,2
Ni,-0.05103882586610542,1.12103133860894,139,2
Hg,-0.15874011438985747,0.891003200995283,140,2
Ni,-0.09738149093638349,0.71476101449784335,140,2
Hg,1.3143809939882427,0.9272712121435044,141,2
Ni,0.11008924018541677,0.8883441792358512,141,2
Hg,0.6623918208092192,0.7997858456819846,142,2
Ni,0.7528412952435772,1.0192571424296222,142,2
Hg,1.246910991222376,0.9510462771585226,143,2
Ni,-0.32609308535839876,1.4369972880084496,143,2
Hg,-0.8981498464879918,1.1037949122705268,144,2
Ni,0.36301017700853144,0.7606295964253684,144,2
Hg,1.1968312173695321,0.9465614596588655,145,2
Ni,-0.18674869934502158,1.1001036758394587,145,2
Hg,-0.09046165394607986,0.9707276313288034,146,2
Ni,0.7305380037420957,1.1356851856501353,146,2
Hg,-2.3160856429606373,1.5297775978801604,147,2
Ni,0.07840102862454978,0.8977892037743214,147,2
Hg,0.023404932009508883,0.9388644276613054,148,2
Ni,0.6541463676985142,0.9938847970738445,148,2
Hg,-0.007514445870358877,0.6792986973756233,149,2
Ni,-0.09561892432673158,0.736633294902195,149,2
Hg,0.8841002777914433,1.4320524648655193,150,2
Ni,1.9389443895923524,1.1968180417093406,150,2
Hg,0.7242364664578416,1.0303132938219006,151,2
Ni,0.4647404625077165,1.1088160891155139,151,2
Hg,0.06049443281501521,0.5815169785734253,152,2
Ni,0.2570319600825739,0.5698309820672907,152,2
Hg,1.6627911889153717,1.1274020646751068,153,2
Ni,1.3294210230929893,0.9940415478246059,153,2
Hg,1.4382580122736615,1.0482465554220648,154,2
Ni,0.12498956664833827,0.919570668092503,154,2
Hg,0.42070368809447434,0.7717686869265916,155,2
Ni,0.008149011052103639,0.9103711944858051,155,2
Hg,0.4280801068944742,0.8985450952390934,156,2
Ni,0.9236520118202449,1.1706993355352129,156,2
Hg,1.9020488227064594,1.2807676794011469,157,2
Ni,0.9111064642894902,0.9980943550073322,157,2
Hg,-0.12758137458999297,0.8763948357740265,158,2
Ni,1.1330504169964555,0.8412631831602854,158,2
Hg,-0.08052335203991667,1.1167358550404984,159,2
Ni,0.28583817516845045,0.9921888937740194,159,2
