variable,PIP,trial,case
As,0.34916,1,1
Cd,0.6194,1,1
Co,0.83776,1,1
Hg,0.54992,1,1
Ni,0.85544,1,1
Tl,0.714,1,1
Pb,0.98276,1,1
Mo,0.3788,1,1
Sb,0.964,1,1
Sn,0.67512,1,1
As,0.37212,10,1
Cd,0.67296,10,1
Co,0.42636,10,1
Hg,0.55384,10,1
Ni,0.73724,10,1
Tl,0.37848,10,1
Pb,0.4654,10,1
Mo,0.596,10,1
Sb,0.99804,10,1
Sn,0.56504,10,1
As,0.79508,100,1
Cd,0.37984,100,1
Co,0.49636,100,1
Hg,0.888,100,1
Ni,0.5322,100,1
Tl,0.61592,100,1
Pb,0.53176,100,1
Mo,0.57128,100,1
Sb,0.99232,100,1
Sn,0.87976,100,1
As,0.5824,11,1
Cd,0.5148,11,1
Co,0.6414,11,1
Hg,0.99548,11,1
Ni,0.97344,11,1
Tl,0.6762,11,1
Pb,0.76084,11,1
Mo,0.50124,11,1
Sb,0.92036,11,1
Sn,0.98692,11,1
As,0.67148,12,1
Cd,0.61396,12,1
Co,0.528,12,1
Hg,0.93,12,1
Ni,0.99128,12,1
Tl,0.58616,12,1
Pb,0.592,12,1
Mo,0.86404,12,1
Sb,0.75384,12,1
Sn,0.74524,12,1
As,0.45256,13,1
Cd,0.28268,13,1
Co,0.40916,13,1
Hg,0.55264,13,1
Ni,0.49984,13,1
Tl,0.28188,13,1
Pb,0.41772,13,1
Mo,0.2964,13,1
Sb,1,13,1
Sn,0.28552,13,1
As,0.39576,14,1
Cd,0.54008,14,1
Co,0.59072,14,1
Hg,0.82324,14,1
Ni,0.89804,14,1
Tl,0.52804,14,1
Pb,0.63572,14,1
Mo,0.52316,14,1
Sb,0.90592,14,1
Sn,0.55028,14,1
As,0.42632,15,1
Cd,0.49508,15,1
Co,0.8848,15,1
Hg,0.98468,15,1
Ni,0.66736,15,1
Tl,0.49236,15,1
Pb,0.41536,15,1
Mo,0.6226,15,1
Sb,0.84204,15,1
Sn,0.96124,15,1
As,0.28012,16,1
Cd,0.3228,16,1
Co,0.37996,16,1
Hg,0.93188,16,1
Ni,0.4968,16,1
Tl,0.32548,16,1
Pb,0.5336,16,1
Mo,0.40048,16,1
Sb,0.97728,16,1
Sn,0.26096,16,1
As,0.63552,17,1
Cd,0.61164,17,1
Co,0.53576,17,1
Hg,0.749,17,1
Ni,0.87392,17,1
Tl,0.63636,17,1
Pb,0.49564,17,1
Mo,0.58464,17,1
Sb,0.7448,17,1
Sn,0.68348,17,1
As,0.28728,18,1
Cd,0.30704,18,1
Co,0.32292,18,1
Hg,0.48692,18,1
Ni,0.7512,18,1
Tl,0.50968,18,1
Pb,0.52056,18,1
Mo,0.33188,18,1
Sb,0.99008,18,1
Sn,0.94736,18,1
As,0.38136,19,1
Cd,0.2682,19,1
Co,0.36212,19,1
Hg,0.29556,19,1
Ni,0.80632,19,1
Tl,0.38024,19,1
Pb,0.35736,19,1
Mo,0.66612,19,1
Sb,0.64868,19,1
Sn,0.26812,19,1
As,0.44288,2,1
Cd,0.5906,2,1
Co,0.6396,2,1
Hg,0.71332,2,1
Ni,0.86536,2,1
Tl,0.53296,2,1
Pb,0.43656,2,1
Mo,0.41956,2,1
Sb,0.99592,2,1
Sn,0.9246,2,1
As,0.5486,20,1
Cd,0.569,20,1
Co,0.47108,20,1
Hg,0.91232,20,1
Ni,0.63524,20,1
Tl,0.48636,20,1
Pb,0.49176,20,1
Mo,0.5112,20,1
Sb,0.94,20,1
Sn,0.86224,20,1
As,0.61828,21,1
Cd,0.4432,21,1
Co,0.51916,21,1
Hg,0.73964,21,1
Ni,0.91492,21,1
Tl,0.49548,21,1
Pb,0.40516,21,1
Mo,0.54816,21,1
Sb,0.73876,21,1
Sn,0.48804,21,1
