Var1,Var2,PIP,trial,df,case
1,2,0,100,4,1
1,3,0,100,4,1
2,3,0,100,4,1
1,4,0,100,4,1
2,4,0,100,4,1
3,4,0,100,4,1
1,5,0,100,4,1
2,5,9.6e-4,100,4,1
3,5,0,100,4,1
4,5,0,100,4,1
1,6,0,100,4,1
2,6,0,100,4,1
3,6,0,100,4,1
4,6,0,100,4,1
5,6,0,100,4,1
1,7,0,100,4,1
2,7,0,100,4,1
3,7,0,100,4,1
4,7,0,100,4,1
5,7,0,100,4,1
6,7,0,100,4,1
1,8,0,100,4,1
2,8,0,100,4,1
3,8,0,100,4,1
4,8,0,100,4,1
5,8,0,100,4,1
6,8,0,100,4,1
7,8,0,100,4,1
1,9,0,100,4,1
2,9,0,100,4,1
3,9,0,100,4,1
4,9,0,100,4,1
5,9,0,100,4,1
6,9,0,100,4,1
7,9,0,100,4,1
8,9,0,100,4,1
1,10,0,100,4,1
2,10,0,100,4,1
3,10,0,100,4,1
4,10,0,100,4,1
5,10,0,100,4,1
6,10,0,100,4,1
7,10,0,100,4,1
8,10,1.6e-4,100,4,1
9,10,0,100,4,1
1,2,0,10,3,1
1,3,0,10,3,1
2,3,0,10,3,1
1,4,1.6e-4,10,3,1
2,4,0,10,3,1
3,4,1.5999999999999999e-4,10,3,1
1,5,0,10,3,1
2,5,0,10,3,1
3,5,0,10,3,1
4,5,0.0027199999999999998,10,3,1
1,6,0,10,3,1
2,6,0,10,3,1
3,6,0,10,3,1
4,6,0,10,3,1
5,6,0,10,3,1
1,7,0,10,3,1
2,7,0,10,3,1
3,7,0,10,3,1
4,7,1.6e-4,10,3,1
5,7,0,10,3,1
6,7,0,10,3,1
1,8,0,10,3,1
2,8,0,10,3,1
3,8,0,10,3,1
4,8,3.1999999999999997e-4,10,3,1
5,8,0,10,3,1
6,8,0,10,3,1
7,8,0,10,3,1
1,9,0,10,3,1
2,9,0,10,3,1
3,9,0,10,3,1
4,9,0.03344,10,3,1
5,9,0.5,10,3,1
6,9,0,10,3,1
7,9,0,10,3,1
8,9,0,10,3,1
1,10,0,10,3,1
2,10,0,10,3,1
3,10,0,10,3,1
4,10,0.00976,10,3,1
5,10,0.032959999999999996,10,3,1
6,10,0,10,3,1
7,10,0,10,3,1
8,10,0,10,3,1
9,10,0,10,3,1
1,2,0,11,3,1
1,3,0,11,3,1
2,3,0,11,3,1
1,4,0,11,3,1
2,4,0,11,3,1
3,4,0,11,3,1
1,5,0,11,3,1
2,5,0,11,3,1
3,5,0,11,3,1
4,5,0.0056,11,3,1
1,6,0,11,3,1
2,6,0,11,3,1
3,6,0,11,3,1
4,6,4.8e-4,11,3,1
5,6,0,11,3,1
1,7,0,11,3,1
2,7,0,11,3,1
3,7,0,11,3,1
4,7,0,11,3,1
5,7,0,11,3,1
6,7,0,11,3,1
1,8,0,11,3,1
2,8,0,11,3,1
3,8,0,11,3,1
4,8,0,11,3,1
5,8,0,11,3,1
6,8,0,11,3,1
7,8,0,11,3,1
1,9,0,11,3,1
2,9,0,11,3,1
3,9,0,11,3,1
4,9,0,11,3,1
5,9,0,11,3,1
6,9,0,11,3,1
7,9,0,11,3,1
8,9,0,11,3,1
1,10,0,11,3,1
2,10,0,11,3,1
3,10,0,11,3,1
4,10,8e-4,11,3,1
