PIP,trial,df,case
0,1301,3,14
0,1302,3,14
0,1303,2,14
0,1304,4,14
0,1305,2,14
0,1306,3,14
0,1307,3,14
0,1308,3,14
0,1309,3,14
0,1310,2,14
0,1311,3,14
0,1312,2,14
0,1313,2,14
0,1314,3,14
0,1315,3,14
0,1316,4,14
0,1317,3,14
0,1318,2,14
0,1319,4,14
0,1320,2,14
0,1321,4,14
0,1322,3,14
0,1323,3,14
0,1324,3,14
0,1325,4,14
0,1326,3,14
0,1327,3,14
0,1328,3,14
0,1329,4,14
0,1330,4,14
0,1331,3,14
0,1332,4,14
0,1333,3,14
0,1334,3,14
0,1335,3,14
0,1336,3,14
0,1337,2,14
0,1338,3,14
0,1339,3,14
0,1340,4,14
0,1341,3,14
0,1342,3,14
0,1343,2,14
0,1344,2,14
0,1345,4,14
0,1346,3,14
0,1347,3,14
0,1348,3,14
0,1349,4,14
0,1350,3,14
0,1351,3,14
0,1352,4,14
0,1353,3,14
0,1354,3,14
0,1355,3,14
0,1356,3,14
0,1357,2,14
0,1358,3,14
0,1359,4,14
0,1360,2,14
0,1361,3,14
0,1362,3,14
0,1363,2,14
0,1364,3,14
0,1365,3,14
0,1366,2,14
0,1367,4,14
0,1368,3,14
0,1369,4,14
0,1370,2,14
0,1371,3,14
0,1372,4,14
0,1373,3,14
0,1374,3,14
0,1375,4,14
0,1376,3,14
0,1377,2,14
0,1378,3,14
0,1379,3,14
0,1380,3,14
0,1381,3,14
0,1382,3,14
0,1383,3,14
0,1384,3,14
0,1385,3,14
0,1386,2,14
0,1387,3,14
0,1388,2,14
0,1389,3,14
0,1390,3,14
0,1391,3,14
0,1392,2,14
0,1393,3,14
0,1394,3,14
0,1395,3,14
0,1396,3,14
0,1397,3,14
0,1398,4,14
0,1399,2,14
0,1400,3,14
0,1401,3,15
0.90416,1402,2,15
0,1403,4,15
0,1404,3,15
0,1405,3,15
0,1406,3,15
0,1407,3,15
0,1408,3,15
0,1409,3,15
0,1410,3,15
0,1411,2,15
0,1412,4,15
0,1413,3,15
0,1414,3,15
0,1415,3,15
0,1416,3,15
0,1417,2,15
0,1418,3,15
0,1419,3,15
0,1420,3,15
0,1421,3,15
0,1422,2,15
0,1423,3,15
0,1424,3,15
0,1425,3,15
0,1426,3,15
0,1427,3,15
0,1428,3,15
0,1429,3,15
0,1430,3,15
0,1431,2,15
0,1432,3,15
0,1433,4,15
0,1434,3,15
0,1435,3,15
0,1436,3,15
0,1437,3,15
0,1438,3,15
0,1439,4,15
0,1440,4,15
0,1441,4,15
0,1442,2,15
0,1443,3,15
0,1444,3,15
0,1445,3,15
0,1446,3,15
1.6e-4,1447,2,15
0,1448,3,15
0,1449,3,15
0,1450,3,15
0,1451,3,15
0,1452,3,15
0,1453,3,15
0,1454,4,15
0,1455,3,15
0,1456,3,15
0,1457,2,15
0,1458,4,15
0,1459,4,15
0,1460,3,15
0,1461,4,15
0,1462,4,15
0,1463,4,15
0,1464,4,15
0,1465,3,15
0,1466,3,15
0,1467,4,15
0,1468,3,15
0,1469,3,15
0,1470,3,15
0,1471,3,15
3.1999999999999997e-4,1472,2,15
0,1473,3,15
0,1474,3,15
0,1475,2,15
0,1476,3,15
0,1477,3,15
0,1478,3,15
0,1479,4,15
0,1480,2,15
0,1481,3,15
0,1482,3,15
0,1483,4,15
0,1484,4,15
0,1485,3,15
0,1486,4,15
0,1487,3,15
0,1488,3,15
0,1489,4,15
0,1490,4,15
0,1491,3,15
0,1492,3,15
0,1493,3,15
0,1494,3,15
0,1495,3,15
0,1496,4,15
0,1497,2,15
0,1498,3,15
0,1499,3,15
0,1500,3,15
0,1501,3,16
0,1502,3,16
0,1503,3,16
0,1504,2,16
0,1505,3,16
0,1506,4,16
0,1507,3,16
0,1508,3,16
0,1509,3,16
0,1510,2,16
0,1511,3,16
0,1512,4,16
0,1513,3,16
0,1514,3,16
0,1515,2,16
0,1516,3,16
0,1517,3,16
0,1518,2,16
0,1519,3,16
0,1520,2,16
0,1521,3,16
0,1522,2,16
0,1523,2,16
0,1524,3,16
0,1525,2,16
0,1526,3,16
0,1527,2,16
0,1528,4,16
0,1529,3,16
0,1530,2,16
0,1531,3,16
0,1532,2,16
0,1533,2,16
0,1534,2,16
0,1535,2,16
0,1536,2,16
0,1537,4,16
0,1538,3,16
0,1539,3,16
0,1540,3,16
0,1541,3,16
0,1542,3,16
0,1543,3,16
0,1544,3,16
0,1545,4,16
0,1546,3,16
0,1547,4,16
0,1548,3,16
0,1549,3,16
0,1550,3,16
0,1551,4,16
0,1552,2,16
0,1553,3,16
0,1554,3,16
0,1555,3,16
0,1556,3,16
0,1557,3,16
0,1558,3,16
0,1559,4,16
0,1560,4,16
0,1561,4,16
0,1562,3,16
0,1563,3,16
0,1564,2,16
0,1565,4,16
0,1566,3,16
0,1567,2,16
0,1568,3,16
0,1569,3,16
0,1570,2,16
0,1571,2,16
0,1572,4,16
0,1573,3,16
0,1574,2,16
0,1575,2,16
0,1576,3,16
0,1577,2,16
0,1578,3,16
0,1579,3,16
0,1580,4,16
0,1581,4,16
0,1582,3,16
0,1583,3,16
0,1584,4,16
0,1585,4,16
0,1586,3,16
0,1587,2,16
0,1588,3,16
0,1589,3,16
0,1590,2,16
0,1591,3,16
0,1592,4,16
0,1593,4,16
0,1594,3,16
0,1595,4,16
0,1596,4,16
0,1597,3,16
0,1598,3,16
0,1599,3,16
0,1600,2,16
0,1601,4,17
0,1602,3,17
0,1603,3,17
0,1604,2,17
0,1605,3,17
0,1606,4,17
0,1607,2,17
0,1608,3,17
0,1609,4,17
0,1610,4,17
0,1611,4,17
1.5999999999999999e-4,1612,2,17
0,1613,3,17
0,1614,3,17
0,1615,3,17
0,1616,3,17
0,1617,3,17
0,1618,3,17
0,1619,3,17
0,1620,3,17
0,1621,3,17
0,1622,3,17
0,1623,3,17
0,1624,2,17
0,1625,2,17
0,1626,3,17
0,1627,3,17
0,1628,3,17
0,1629,4,17
0,1630,3,17
0,1631,3,17
0,1632,3,17
0,1633,2,17
0,1634,4,17
1.5999999999999999e-4,1635,2,17
0,1636,4,17
0,1637,2,17
0,1638,3,17
0,1639,2,17
0,1640,3,17
0,1641,4,17
0,1642,3,17
0,1643,3,17
0,1644,3,17
0,1645,3,17
0,1646,3,17
0,1647,3,17
0,1648,3,17
0,1649,4,17
0,1650,3,17
0,1651,3,17
0,1652,3,17
0,1653,2,17
0,1654,3,17
0,1655,3,17
0,1656,2,17
0,1657,2,17
0,1658,3,17
0,1659,3,17
0,1660,3,17
0,1661,3,17
0,1662,3,17
0,1663,3,17
0,1664,3,17
0,1665,4,17
0,1666,3,17
0,1667,3,17
0,1668,3,17
0,1669,2,17
0,1670,3,17
0,1671,3,17
0,1672,3,17
0,1673,4,17
0,1674,3,17
0,1675,3,17
0,1676,4,17
0,1677,3,17
0,1678,4,17
0,1679,2,17
0,1680,2,17
0,1681,4,17
0,1682,3,17
0,1683,2,17
0,1684,4,17
0,1685,3,17
0,1686,3,17
0,1687,4,17
0,1688,2,17
0,1689,2,17
0,1690,2,17
0,1691,3,17
0,1692,2,17
0,1693,3,17
0,1694,3,17
0,1695,3,17
0,1696,2,17
0,1697,3,17
0,1698,3,17
0,1699,2,17
0,1700,2,17
