variable,PIP,trial,df,case
As,0.00224,100,4,1
Cd,0.01456,100,4,1
Co,0.01328,100,4,1
Hg,1,100,4,1
Ni,1,100,4,1
Tl,0.00192,100,4,1
Pb,0.00368,100,4,1
Mo,0.01408,100,4,1
Sb,1,100,4,1
Sn,1,100,4,1
As,0.00928,10,3,1
Cd,0.00736,10,3,1
Co,0.01104,10,3,1
Hg,1,10,3,1
Ni,1,10,3,1
Tl,0.0032,10,3,1
Pb,0.00464,10,3,1
Mo,0.07952,10,3,1
Sb,1,10,3,1
Sn,1,10,3,1
As,0.00528,11,3,1
Cd,0.00928,11,3,1
Co,0.0424,11,3,1
Hg,1,11,3,1
Ni,1,11,3,1
Tl,0.03072,11,3,1
Pb,0.00416,11,3,1
Mo,0.0064,11,3,1
Sb,1,11,3,1
Sn,1,11,3,1
As,0.08832,12,4,1
Cd,0.00912,12,4,1
Co,0.00496,12,4,1
Hg,1,12,4,1
Ni,1,12,4,1
Tl,0.00176,12,4,1
Pb,0.01312,12,4,1
Mo,0.00448,12,4,1
Sb,1,12,4,1
Sn,0.26992,12,4,1
As,0.02064,13,3,1
Cd,0.01648,13,3,1
Co,0.01072,13,3,1
Hg,1,13,3,1
Ni,1,13,3,1
Tl,0.10016,13,3,1
Pb,0.01776,13,3,1
Mo,0.0344,13,3,1
Sb,1,13,3,1
Sn,0.28032,13,3,1
As,0.01264,14,3,1
Cd,0.00528,14,3,1
Co,0.03184,14,3,1
Hg,0.99584,14,3,1
Ni,1,14,3,1
Tl,0.00832,14,3,1
Pb,0.0232,14,3,1
Mo,0.0224,14,3,1
Sb,1,14,3,1
Sn,0.80128,14,3,1
As,0.05056,15,4,1
Cd,0.0096,15,4,1
Co,0.00304,15,4,1
Hg,1,15,4,1
Ni,1,15,4,1
Tl,0.00112,15,4,1
Pb,0.00128,15,4,1
Mo,0.00576,15,4,1
Sb,1,15,4,1
Sn,1,15,4,1
As,0.0184,16,2,1
Cd,0.03712,16,2,1
Co,0.10768,16,2,1
Hg,0.99952,16,2,1
Ni,0.99984,16,2,1
Tl,0.02864,16,2,1
