Var1,Var2,PIP,trial,df,case
1,2,0,100,2,1
1,3,1.5999999999999999e-4,100,2,1
2,3,0,100,2,1
1,4,0.0032,100,2,1
2,4,4.8e-4,100,2,1
3,4,0,100,2,1
1,5,0.00144,100,2,1
2,5,0,100,2,1
3,5,0,100,2,1
4,5,1.5999999999999999e-4,100,2,1
1,6,4.8e-4,100,2,1
2,6,1.5999999999999999e-4,100,2,1
3,6,0,100,2,1
4,6,1.5999999999999999e-4,100,2,1
5,6,0,100,2,1
1,7,6.399999999999999e-4,100,2,1
2,7,0.0016,100,2,1
3,7,3.1999999999999997e-4,100,2,1
4,7,8e-4,100,2,1
5,7,0,100,2,1
6,7,1.5999999999999999e-4,100,2,1
1,8,0.0025599999999999998,100,2,1
2,8,1.6e-4,100,2,1
3,8,6.4e-4,100,2,1
4,8,0.0012799999999999999,100,2,1
5,8,8e-4,100,2,1
6,8,0,100,2,1
7,8,0,100,2,1
1,9,0.00704,100,2,1
2,9,1.6e-4,100,2,1
3,9,0.00192,100,2,1
4,9,0.00384,100,2,1
5,9,4.8e-4,100,2,1
6,9,0.00384,100,2,1
7,9,0.00272,100,2,1
8,9,9.6e-4,100,2,1
1,10,0.01184,100,2,1
2,10,1.5999999999999999e-4,100,2,1
3,10,3.1999999999999997e-4,100,2,1
4,10,0.00544,100,2,1
5,10,4.8e-4,100,2,1
6,10,1.6e-4,100,2,1
7,10,0.0012799999999999999,100,2,1
8,10,6.4e-4,100,2,1
9,10,0.01744,100,2,1
1,2,0.0011200000000000001,10,2,1
1,3,0,10,2,1
2,3,0,10,2,1
1,4,0,10,2,1
2,4,0,10,2,1
3,4,0,10,2,1
1,5,3.1999999999999997e-4,10,2,1
2,5,0.00112,10,2,1
3,5,4.8e-4,10,2,1
4,5,8e-4,10,2,1
1,6,0,10,2,1
2,6,1.6e-4,10,2,1
3,6,4.8e-4,10,2,1
4,6,0,10,2,1
5,6,0.00224,10,2,1
1,7,0,10,2,1
2,7,0,10,2,1
3,7,1.5999999999999999e-4,10,2,1
4,7,0,10,2,1
5,7,1.5999999999999999e-4,10,2,1
6,7,3.1999999999999997e-4,10,2,1
1,8,1.6e-4,10,2,1
2,8,0.00112,10,2,1
3,8,0,10,2,1
4,8,1.6e-4,10,2,1
5,8,6.399999999999999e-4,10,2,1
6,8,0,10,2,1
7,8,1.6e-4,10,2,1
1,9,6.399999999999999e-4,10,2,1
2,9,0.00192,10,2,1
3,9,0.00416,10,2,1
4,9,4.8e-4,10,2,1
5,9,0.088,10,2,1
6,9,0.00448,10,2,1
7,9,0.0012799999999999999,10,2,1
8,9,0.00192,10,2,1
1,10,1.5999999999999999e-4,10,2,1
2,10,0,10,2,1
3,10,4.8e-4,10,2,1
4,10,1.6e-4,10,2,1
5,10,0.0016,10,2,1
6,10,1.6e-4,10,2,1
7,10,4.8e-4,10,2,1
8,10,4.8e-4,10,2,1
9,10,0.00288,10,2,1
1,2,0,11,2,1
1,3,8e-4,11,2,1
2,3,0.00112,11,2,1
1,4,0.00464,11,2,1
2,4,0,11,2,1
3,4,0.0072,11,2,1
1,5,9.6e-4,11,2,1
2,5,0.00192,11,2,1
3,5,0.012,11,2,1
4,5,0.00752,11,2,1
1,6,0,11,2,1
2,6,0.00704,11,2,1
3,6,4.8e-4,11,2,1
4,6,9.6e-4,11,2,1
5,6,9.6e-4,11,2,1
1,7,0.00848,11,2,1
2,7,9.6e-4,11,2,1
3,7,0.00432,11,2,1
4,7,0.00416,11,2,1
5,7,0.004,11,2,1
6,7,0.00112,11,2,1
1,8,0,11,2,1
2,8,0,11,2,1
3,8,1.6e-4,11,2,1
4,8,4.8e-4,11,2,1
5,8,0.00224,11,2,1
6,8,0,11,2,1
7,8,1.6e-4,11,2,1
1,9,0.0048,11,2,1
2,9,0,11,2,1
3,9,0.0056,11,2,1
4,9,0.01072,11,2,1
5,9,0.0112,11,2,1
6,9,0.0024,11,2,1
7,9,0.01568,11,2,1
8,9,6.399999999999999e-4,11,2,1
1,10,0.00816,11,2,1
2,10,1.6e-4,11,2,1
3,10,0.00336,11,2,1
4,10,0.01184,11,2,1
5,10,0.01376,11,2,1
6,10,0.00224,11,2,1
7,10,0.00512,11,2,1
8,10,1.5999999999999999e-4,11,2,1
9,10,0.008,11,2,1
1,2,6.399999999999999e-4,12,4,1
1,3,0,12,4,1
2,3,0,12,4,1
1,4,0,12,4,1
2,4,0.0011200000000000001,12,4,1
3,4,0,12,4,1
1,5,0.00192,12,4,1
2,5,0.00224,12,4,1
3,5,0,12,4,1
4,5,0.0051199999999999996,12,4,1
1,6,0,12,4,1
2,6,0,12,4,1
3,6,0,12,4,1
4,6,0,12,4,1
5,6,0,12,4,1
1,7,0.00544,12,4,1
2,7,0,12,4,1
3,7,0,12,4,1
4,7,0,12,4,1
5,7,0,12,4,1
6,7,0,12,4,1
1,8,0,12,4,1
2,8,0,12,4,1
3,8,0,12,4,1
4,8,3.1999999999999997e-4,12,4,1
5,8,1.5999999999999999e-4,12,4,1
6,8,0,12,4,1
7,8,0,12,4,1
1,9,0.00112,12,4,1
2,9,0,12,4,1
3,9,0,12,4,1
4,9,0,12,4,1
5,9,0,12,4,1
6,9,0,12,4,1
7,9,0,12,4,1
8,9,0,12,4,1
1,10,0.00144,12,4,1
2,10,3.1999999999999997e-4,12,4,1
3,10,0,12,4,1
4,10,0.00624,12,4,1
5,10,1.5999999999999999e-4,12,4,1
6,10,0,12,4,1
7,10,0,12,4,1
8,10,3.1999999999999997e-4,12,4,1
9,10,0,12,4,1
1,2,0,13,2,1
1,3,0,13,2,1
2,3,1.5999999999999999e-4,13,2,1
1,4,0.0024,13,2,1
2,4,4.8e-4,13,2,1
3,4,0.0011200000000000001,13,2,1
1,5,6.399999999999999e-4,13,2,1
2,5,1.5999999999999999e-4,13,2,1
3,5,6.399999999999999e-4,13,2,1
4,5,6.399999999999999e-4,13,2,1
1,6,0,13,2,1
2,6,4.8e-4,13,2,1
3,6,1.6e-4,13,2,1
4,6,0.00144,13,2,1
5,6,1.6e-4,13,2,1
1,7,0.00112,13,2,1
2,7,8e-4,13,2,1
3,7,0,13,2,1
4,7,4.8e-4,13,2,1
5,7,6.399999999999999e-4,13,2,1
6,7,0.00224,13,2,1
1,8,0,13,2,1
2,8,0,13,2,1
3,8,0,13,2,1
4,8,3.1999999999999997e-4,13,2,1
5,8,3.1999999999999997e-4,13,2,1
6,8,0,13,2,1
7,8,0,13,2,1
1,9,0.059520000000000003,13,2,1
2,9,0.00224,13,2,1
3,9,0.0176,13,2,1
4,9,0.0024,13,2,1
5,9,0.28192,13,2,1
6,9,0.00464,13,2,1
7,9,0.0024,13,2,1
8,9,0.00304,13,2,1
1,10,0,13,2,1
2,10,3.1999999999999997e-4,13,2,1
3,10,0,13,2,1
4,10,0.00928,13,2,1
5,10,0.00112,13,2,1
6,10,4.8e-4,13,2,1
7,10,4.8e-4,13,2,1
8,10,3.1999999999999997e-4,13,2,1
9,10,4.8e-4,13,2,1
1,2,0,14,2,1
1,3,8e-4,14,2,1
2,3,0.01248,14,2,1
1,4,0.01088,14,2,1
2,4,6.399999999999999e-4,14,2,1
3,4,0.02496,14,2,1
1,5,0.0032,14,2,1
2,5,0.00528,14,2,1
3,5,0.0012799999999999999,14,2,1
4,5,0.00384,14,2,1
1,6,6.399999999999999e-4,14,2,1
2,6,0.0011200000000000001,14,2,1
3,6,8e-4,14,2,1
4,6,0.01776,14,2,1
5,6,0.41136,14,2,1
1,7,0.00272,14,2,1
2,7,8e-4,14,2,1
3,7,6.399999999999999e-4,14,2,1
4,7,0.02416,14,2,1
5,7,0.00112,14,2,1
6,7,0,14,2,1
1,8,3.2e-4,14,2,1
2,8,0,14,2,1
3,8,1.6e-4,14,2,1
4,8,0.00112,14,2,1
5,8,8e-4,14,2,1
6,8,3.2e-4,14,2,1
7,8,8e-4,14,2,1
1,9,0.0012799999999999999,14,2,1
2,9,0.00448,14,2,1
3,9,0.01232,14,2,1
4,9,0.0144,14,2,1
5,9,0.11344,14,2,1
6,9,0.00752,14,2,1
7,9,0.00736,14,2,1
8,9,0.00176,14,2,1
1,10,0.00688,14,2,1
2,10,8e-4,14,2,1
3,10,1.6e-4,14,2,1
4,10,0.0616,14,2,1
5,10,9.6e-4,14,2,1
6,10,0.00144,14,2,1
7,10,0.00544,14,2,1
8,10,0,14,2,1
