PIP,trial,df,case
0,1301,3,14
0,1302,3,14
0,1303,2,14
0,1304,4,14
0,1305,2,14
0,1306,1,14
0,1307,2,14
0,1308,2,14
0,1309,2,14
0,1310,3,14
0,1311,2,14
0,1312,2,14
0,1313,2,14
0,1314,4,14
0,1315,4,14
0,1316,2,14
0,1317,2,14
0.00528,1318,1,14
0,1319,2,14
0,1320,3,14
0,1321,4,14
0,1322,2,14
0,1323,2,14
0,1324,4,14
0,1325,4,14
0,1326,1,14
0,1327,2,14
0,1328,2,14
0,1329,2,14
0,1330,3,14
0,1331,3,14
0,1332,2,14
0,1333,2,14
0,1334,2,14
0,1335,2,14
0,1336,3,14
0,1337,2,14
0,1338,3,14
0,1339,2,14
0,1340,2,14
0,1341,2,14
0,1342,3,14
0,1343,2,14
0,1344,3,14
0,1345,4,14
0,1346,3,14
0,1347,1,14
0,1348,2,14
0,1349,2,14
0,1350,3,14
0,1351,3,14
0,1352,3,14
0,1353,3,14
0,1354,1,14
0,1355,3,14
0,1356,3,14
0,1357,2,14
0,1358,3,14
0,1359,2,14
0,1360,2,14
0,1361,3,14
0,1362,4,14
0,1363,4,14
0,1364,4,14
0,1365,2,14
0,1366,2,14
0,1367,4,14
0,1368,3,14
0,1369,2,14
0,1370,2,14
0,1371,3,14
0,1372,4,14
0,1373,4,14
0,1374,2,14
0,1375,2,14
0,1376,4,14
0,1377,2,14
0,1378,2,14
0.00304,1379,1,14
0,1380,2,14
0,1381,2,14
0,1382,2,14
0,1383,3,14
0,1384,2,14
0,1385,4,14
0,1386,2,14
0,1387,2,14
0,1388,3,14
0,1389,2,14
0,1390,2,14
0,1391,2,14
0,1392,2,14
0,1393,2,14
0,1394,1,14
0,1395,1,14
0,1396,2,14
0,1397,2,14
0,1398,2,14
0,1399,1,14
0,1400,2,14
0,1401,4,15
3.1999999999999997e-4,1402,1,15
0,1403,2,15
0,1404,3,15
0,1405,1,15
0,1406,3,15
0,1407,2,15
0,1408,2,15
0,1409,3,15
0,1410,4,15
0,1411,3,15
0,1412,2,15
0,1413,2,15
0,1414,2,15
0,1415,3,15
0,1416,3,15
0,1417,2,15
0,1418,2,15
0,1419,1,15
0,1420,2,15
0,1421,3,15
0,1422,3,15
0,1423,2,15
0,1424,3,15
0,1425,2,15
0,1426,3,15
0,1427,3,15
0,1428,2,15
0,1429,3,15
0,1430,3,15
0,1431,3,15
0,1432,3,15
0,1433,2,15
0,1434,3,15
0,1435,2,15
3.1999999999999997e-4,1436,2,15
0,1437,2,15
0,1438,2,15
0,1439,3,15
0,1440,3,15
0,1441,3,15
0,1442,3,15
0,1443,2,15
0,1444,2,15
0,1445,3,15
0,1446,3,15
0,1447,3,15
0,1448,3,15
0,1449,2,15
0,1450,2,15
0,1451,3,15
0,1452,3,15
0,1453,2,15
0,1454,2,15
0,1455,2,15
0,1456,2,15
0,1457,2,15
0,1458,4,15
0,1459,2,15
0,1460,2,15
0,1461,2,15
0,1462,3,15
0,1463,2,15
0,1464,2,15
0,1465,3,15
0,1466,3,15
0,1467,2,15
0,1468,3,15
0,1469,3,15
0,1470,4,15
0,1471,3,15
0,1472,2,15
9.6e-4,1473,1,15
0,1474,3,15
0,1475,3,15
0,1476,3,15
0,1477,1,15
0,1478,2,15
0,1479,2,15
0,1480,2,15
0,1481,3,15
0,1482,3,15
0,1483,3,15
0,1484,3,15
0,1485,3,15
0,1486,2,15
0,1487,1,15
0,1488,3,15
0.00128,1489,2,15
0,1490,2,15
0,1491,2,15
0,1492,2,15
0,1493,4,15
0,1494,3,15
0,1495,2,15
0,1496,3,15
0,1497,3,15
0,1498,3,15
0,1499,3,15
0,1500,3,15
0,1501,3,16
0,1502,2,16
0,1503,3,16
0,1504,3,16
0,1505,4,16
0,1506,2,16
0,1507,3,16
0,1508,4,16
0,1509,3,16
0,1510,4,16
0,1511,1,16
0,1512,3,16
0,1513,3,16
0,1514,2,16
0,1515,2,16
0,1516,4,16
0,1517,3,16
0,1518,3,16
0,1519,2,16
0,1520,3,16
0,1521,2,16
0,1522,3,16
0,1523,3,16
0,1524,4,16
0,1525,3,16
0,1526,3,16
0,1527,3,16
0,1528,3,16
0,1529,2,16
0,1530,3,16
0,1531,4,16
0,1532,3,16
0,1533,3,16
0,1534,2,16
0,1535,2,16
0,1536,2,16
0,1537,2,16
0,1538,3,16
0,1539,3,16
0,1540,3,16
0,1541,2,16
0,1542,3,16
0,1543,3,16
0,1544,2,16
0,1545,4,16
0,1546,3,16
0,1547,2,16
0,1548,2,16
0,1549,1,16
0,1550,2,16
0,1551,1,16
0,1552,2,16
0,1553,2,16
0,1554,2,16
0,1555,2,16
0,1556,1,16
0,1557,3,16
0,1558,2,16
0,1559,2,16
0,1560,3,16
0,1561,3,16
0,1562,3,16
0,1563,1,16
0,1564,1,16
0,1565,2,16
0,1566,4,16
0,1567,2,16
0,1568,3,16
0,1569,2,16
0,1570,2,16
0,1571,1,16
0,1572,1,16
3.1999999999999997e-4,1573,1,16
0,1574,1,16
0,1575,2,16
0,1576,4,16
0,1577,2,16
0,1578,3,16
0,1579,3,16
0,1580,1,16
0,1581,4,16
0,1582,2,16
0,1583,2,16
0,1584,3,16
0,1585,2,16
0,1586,2,16
0,1587,3,16
0,1588,2,16
0,1589,3,16
0,1590,2,16
0,1591,3,16
0,1592,2,16
0,1593,2,16
0,1594,2,16
0,1595,2,16
0,1596,2,16
0,1597,2,16
0,1598,4,16
0,1599,3,16
0,1600,3,16
0,1601,2,17
0,1602,3,17
0,1603,2,17
0,1604,2,17
0,1605,2,17
0,1606,4,17
0,1607,2,17
0,1608,2,17
1.5999999999999999e-4,1609,1,17
0,1610,3,17
0,1611,3,17
0,1612,3,17
0,1613,2,17
0,1614,2,17
0,1615,4,17
0,1616,3,17
0,1617,3,17
0,1618,2,17
0,1619,2,17
0,1620,2,17
0,1621,3,17
0,1622,3,17
0,1623,4,17
0,1624,2,17
0,1625,1,17
0,1626,2,17
0,1627,2,17
0,1628,1,17
0,1629,3,17
0,1630,3,17
0,1631,2,17
0,1632,2,17
0,1633,2,17
0,1634,3,17
0,1635,2,17
0,1636,4,17
0,1637,1,17
0,1638,1,17
0,1639,2,17
0,1640,2,17
0,1641,3,17
0,1642,4,17
0,1643,2,17
0,1644,2,17
0,1645,2,17
0,1646,2,17
0,1647,4,17
0,1648,2,17
0,1649,2,17
0,1650,1,17
0,1651,3,17
0,1652,1,17
0,1653,3,17
0,1654,2,17
0,1655,1,17
0,1656,2,17
0,1657,1,17
0,1658,3,17
0,1659,3,17
0,1660,2,17
0,1661,2,17
0,1662,4,17
0,1663,4,17
0,1664,2,17
0,1665,3,17
0,1666,2,17
0,1667,3,17
0,1668,2,17
0,1669,3,17
0,1670,3,17
0,1671,1,17
0,1672,2,17
0,1673,1,17
0,1674,3,17
0,1675,3,17
0,1676,2,17
0,1677,3,17
0,1678,2,17
0,1679,2,17
0,1680,2,17
0,1681,4,17
0,1682,2,17
0.0012799999999999999,1683,1,17
0,1684,3,17
0,1685,3,17
0,1686,2,17
0,1687,2,17
0,1688,1,17
0,1689,2,17
0,1690,2,17
0,1691,4,17
0,1692,4,17
0,1693,2,17
0,1694,3,17
0,1695,3,17
0,1696,2,17
0,1697,2,17
0,1698,2,17
0,1699,4,17
0,1700,3,17
