variable,PIP,trial,df,case
As,0.53232,100,2,1
Cd,0.02416,100,2,1
Co,0.02752,100,2,1
Hg,0.5992,100,2,1
Ni,0.03792,100,2,1
Tl,0.05968,100,2,1
Pb,0.09392,100,2,1
Mo,0.0576,100,2,1
Sb,0.99808,100,2,1
Sn,0.47088,100,2,1
As,0.02144,10,2,1
Cd,0.16512,10,2,1
Co,0.0376,10,2,1
Hg,0.04848,10,2,1
Ni,0.41824,10,2,1
Tl,0.03104,10,2,1
Pb,0.02736,10,2,1
Mo,0.20144,10,2,1
Sb,0.99824,10,2,1
Sn,0.14048,10,2,1
As,0.14272,11,2,1
Cd,0.03344,11,2,1
Co,0.10496,11,2,1
Hg,0.99328,11,2,1
Ni,0.90288,11,2,1
Tl,0.06624,11,2,1
Pb,0.40192,11,2,1
Mo,0.0216,11,2,1
Sb,0.7368,11,2,1
Sn,0.95984,11,2,1
As,0.08352,12,4,1
Cd,0.05392,12,4,1
Co,0.01968,12,4,1
Hg,0.9856,12,4,1
Ni,0.98864,12,4,1
Tl,0.01664,12,4,1
Pb,0.0152,12,4,1
Mo,0.156,12,4,1
Sb,0.06368,12,4,1
Sn,0.10944,12,4,1
As,0.18368,13,2,1
Cd,0.08272,13,2,1
Co,0.1056,13,2,1
Hg,0.25568,13,2,1
Ni,0.45968,13,2,1
Tl,0.11872,13,2,1
Pb,0.33168,13,2,1
Mo,0.05136,13,2,1
Sb,1,13,2,1
Sn,0.09408,13,2,1
As,0.0744,14,2,1
Cd,0.09536,14,2,1
Co,0.14304,14,2,1
Hg,0.78336,14,2,1
Ni,0.81696,14,2,1
Tl,0.71456,14,2,1
Pb,0.17104,14,2,1
Mo,0.03072,14,2,1
Sb,0.98752,14,2,1
Sn,0.28928,14,2,1
As,0.02336,15,3,1
Cd,0.02368,15,3,1
Co,0.4976,15,3,1
Hg,0.92592,15,3,1
Ni,0.48192,15,3,1
Tl,0.01872,15,3,1
Pb,0.01552,15,3,1
Mo,0.064,15,3,1
Sb,0.61024,15,3,1
Sn,0.9936,15,3,1
As,0.04768,16,2,1
Cd,0.0424,16,2,1
Co,0.11888,16,2,1
Hg,0.96064,16,2,1
Ni,0.12608,16,2,1
Tl,0.04608,16,2,1
Pb,0.18416,16,2,1
Mo,0.13408,16,2,1
Sb,0.99824,16,2,1
Sn,0.02688,16,2,1
As,0.80848,17,3,1
Cd,0.48128,17,3,1
Co,0.04544,17,3,1
Hg,0.0736,17,3,1
Ni,0.728,17,3,1
Tl,0.09104,17,3,1
Pb,0.01984,17,3,1
Mo,0.19664,17,3,1
Sb,0.92064,17,3,1
Sn,0.06224,17,3,1
As,0.03344,18,2,1
Cd,0.03216,18,2,1
Co,0.03008,18,2,1
Hg,0.272,18,2,1
Ni,0.34352,18,2,1
Tl,0.1216,18,2,1
Pb,0.05248,18,2,1
Mo,0.06784,18,2,1
Sb,1,18,2,1
Sn,0.92448,18,2,1
As,0.04064,19,3,1
Cd,0.02592,19,3,1
Co,0.0368,19,3,1
Hg,0.03664,19,3,1
Ni,0.97584,19,3,1
Tl,0.22432,19,3,1
Pb,0.03984,19,3,1
Mo,0.60224,19,3,1
Sb,0.72672,19,3,1
Sn,0.07776,19,3,1
As,0.00912,1,2,1
Cd,0.34928,1,2,1
Co,0.71088,1,2,1
Hg,0.0472,1,2,1
Ni,0.25248,1,2,1
Tl,0.27712,1,2,1
Pb,0.7192,1,2,1
Mo,0.01904,1,2,1
Sb,0.98528,1,2,1
Sn,0.03328,1,2,1
As,0.05008,20,2,1
Cd,0.07232,20,2,1
Co,0.03344,20,2,1
Hg,0.61376,20,2,1
Ni,0.13328,20,2,1
Tl,0.21264,20,2,1
Pb,0.0368,20,2,1
Mo,0.20784,20,2,1
Sb,0.9392,20,2,1
Sn,0.83504,20,2,1
As,0.03456,21,3,1
Cd,0.02592,21,3,1
Co,0.04704,21,3,1
Hg,0.05872,21,3,1
