variable,PIP,race,trial,case
As,0.6618,1,1,1
Cd,0.64412,1,1,1
Co,0.4902,1,1,1
Hg,1,1,1,1
Ni,0.98248,1,1,1
Tl,0.49584,1,1,1
Pb,0.88136,1,1,1
Mo,0.92208,1,1,1
Sb,0.7138,1,1,1
Sn,0.98304,1,1,1
As,0.3146,2,1,1
Cd,0.34156,2,1,1
Co,0.3024,2,1,1
Hg,0.36516,2,1,1
Ni,0.32424,2,1,1
Tl,0.35644,2,1,1
Pb,0.33544,2,1,1
Mo,0.2884,2,1,1
Sb,0.5052,2,1,1
Sn,0.26864,2,1,1
As,0.3746,3,1,1
Cd,0.40684,3,1,1
Co,0.47288,3,1,1
Hg,0.45896,3,1,1
Ni,0.48444,3,1,1
Tl,0.47612,3,1,1
Pb,0.45068,3,1,1
Mo,0.51624,3,1,1
Sb,0.42148,3,1,1
Sn,0.43008,3,1,1
As,0.29584,4,1,1
Cd,0.40568,4,1,1
Co,0.45972,4,1,1
Hg,0.78276,4,1,1
Ni,0.97584,4,1,1
Tl,0.31148,4,1,1
Pb,0.31204,4,1,1
Mo,0.34296,4,1,1
Sb,0.99108,4,1,1
Sn,0.54008,4,1,1
As,0.243,5,1,1
Cd,0.22968,5,1,1
Co,0.63372,5,1,1
Hg,1,5,1,1
Ni,0.74084,5,1,1
Tl,0.16788,5,1,1
Pb,0.16768,5,1,1
Mo,0.2722,5,1,1
Sb,0.98764,5,1,1
Sn,0.9858,5,1,1
As,0.41168,1,10,1
Cd,0.51424,1,10,1
Co,0.5672,1,10,1
Hg,0.44284,1,10,1
Ni,0.62532,1,10,1
Tl,0.40108,1,10,1
Pb,0.40744,1,10,1
Mo,0.40888,1,10,1
Sb,0.78784,1,10,1
Sn,0.45264,1,10,1
As,0.37272,2,10,1
Cd,0.34052,2,10,1
Co,0.46516,2,10,1
Hg,0.7386,2,10,1
Ni,0.71416,2,10,1
Tl,0.3346,2,10,1
Pb,0.3956,2,10,1
Mo,0.32968,2,10,1
Sb,0.44064,2,10,1
Sn,0.47072,2,10,1
As,0.53216,3,10,1
Cd,0.5566,3,10,1
Co,0.69552,3,10,1
Hg,0.55916,3,10,1
Ni,0.80564,3,10,1
Tl,0.536,3,10,1
Pb,0.6366,3,10,1
Mo,0.92876,3,10,1
Sb,0.6938,3,10,1
Sn,0.90748,3,10,1
As,0.47468,4,10,1
Cd,0.39592,4,10,1
Co,0.33408,4,10,1
Hg,0.57676,4,10,1
Ni,0.99556,4,10,1
Tl,0.28044,4,10,1
Pb,0.36272,4,10,1
Mo,0.3822,4,10,1
Sb,0.88268,4,10,1
Sn,0.44216,4,10,1
As,0.19748,5,10,1
Cd,0.24884,5,10,1
Co,0.34048,5,10,1
Hg,0.99772,5,10,1
Ni,0.96776,5,10,1
Tl,0.25248,5,10,1
Pb,0.36448,5,10,1
Mo,0.184,5,10,1
Sb,0.98436,5,10,1
Sn,0.96716,5,10,1
As,0.49516,1,100,1
Cd,0.45456,1,100,1
Co,0.64592,1,100,1
Hg,0.55772,1,100,1
Ni,0.49168,1,100,1
Tl,0.55108,1,100,1
Pb,0.57456,1,100,1
Mo,0.5546,1,100,1
Sb,0.48064,1,100,1
Sn,0.49944,1,100,1
As,0.32832,2,100,1
Cd,0.35332,2,100,1
Co,0.62448,2,100,1
Hg,0.74744,2,100,1
Ni,0.98708,2,100,1
Tl,0.37204,2,100,1
Pb,0.33304,2,100,1
Mo,0.30808,2,100,1
Sb,0.57064,2,100,1
Sn,0.42204,2,100,1
As,0.36916,3,100,1
Cd,0.36404,3,100,1
Co,0.45004,3,100,1
Hg,0.34108,3,100,1
Ni,0.3176,3,100,1
Tl,0.34568,3,100,1
Pb,0.369,3,100,1
Mo,0.3526,3,100,1
Sb,0.3796,3,100,1
Sn,0.31816,3,100,1
As,0.34168,4,100,1
