variable,PIP,race,trial,case
NA,NA,1,1,1
As,0.70752,2,1,1
Cd,0.78656,2,1,1
Co,0.60108,2,1,1
Hg,0.64704,2,1,1
Ni,0.56688,2,1,1
Tl,0.66496,2,1,1
Pb,0.64188,2,1,1
Mo,0.5994,2,1,1
Sb,0.88896,2,1,1
Sn,0.65464,2,1,1
NA,NA,3,1,1
As,0.41636,4,1,1
Cd,0.52296,4,1,1
Co,0.48652,4,1,1
Hg,0.83772,4,1,1
Ni,0.64304,4,1,1
Tl,0.4872,4,1,1
Pb,0.59984,4,1,1
Mo,0.71716,4,1,1
Sb,0.59812,4,1,1
Sn,0.68404,4,1,1
As,0.22168,5,1,1
Cd,0.3114,5,1,1
Co,0.32336,5,1,1
Hg,0.31628,5,1,1
Ni,0.6788,5,1,1
Tl,0.28,5,1,1
Pb,0.2482,5,1,1
Mo,0.25612,5,1,1
Sb,0.50232,5,1,1
Sn,0.67228,5,1,1
As,0.58828,6,1,1
Cd,0.71436,6,1,1
Co,0.58616,6,1,1
Hg,0.68048,6,1,1
Ni,0.60956,6,1,1
Tl,0.62972,6,1,1
Pb,0.62648,6,1,1
Mo,0.58372,6,1,1
Sb,0.80016,6,1,1
Sn,0.59272,6,1,1
As,0.59144,1,10,1
Cd,0.54056,1,10,1
Co,0.54552,1,10,1
Hg,0.56864,1,10,1
Ni,0.58616,1,10,1
Tl,0.56696,1,10,1
Pb,0.57088,1,10,1
Mo,0.55748,1,10,1
Sb,0.51516,1,10,1
Sn,0.60124,1,10,1
As,0.50212,2,10,1
Cd,0.53524,2,10,1
Co,0.56072,2,10,1
Hg,0.50712,2,10,1
Ni,0.5706,2,10,1
Tl,0.4986,2,10,1
Pb,0.53104,2,10,1
Mo,0.55344,2,10,1
Sb,0.50592,2,10,1
Sn,0.53456,2,10,1
NA,NA,3,10,1
As,0.19808,4,10,1
Cd,0.20656,4,10,1
Co,0.19896,4,10,1
Hg,0.30548,4,10,1
Ni,0.22624,4,10,1
Tl,0.21304,4,10,1
Pb,0.25424,4,10,1
Mo,0.18696,4,10,1
Sb,0.9584,4,10,1
Sn,0.18432,4,10,1
As,0.26096,5,10,1
Cd,0.31388,5,10,1
Co,0.67248,5,10,1
Hg,0.31528,5,10,1
Ni,0.95752,5,10,1
Tl,0.3796,5,10,1
Pb,0.55928,5,10,1
Mo,0.38488,5,10,1
Sb,0.59932,5,10,1
Sn,0.29932,5,10,1
As,0.52136,6,10,1
Cd,0.50508,6,10,1
Co,0.56744000000000006,6,10,1
Hg,0.46892,6,10,1
Ni,0.55568,6,10,1
Tl,0.466,6,10,1
Pb,0.49072,6,10,1
Mo,0.43992,6,10,1
Sb,0.4924,6,10,1
Sn,0.51688,6,10,1
As,0.47116,1,100,1
Cd,0.43208,1,100,1
Co,0.46416,1,100,1
Hg,0.44652,1,100,1
Ni,0.4382,1,100,1
Tl,0.44296,1,100,1
Pb,0.47004,1,100,1
Mo,0.84984,1,100,1
Sb,0.51412,1,100,1
Sn,0.55668,1,100,1
As,0.46464,2,100,1
Cd,0.35756,2,100,1
Co,0.31216,2,100,1
Hg,0.2878,2,100,1
Ni,0.35848,2,100,1
Tl,0.31748,2,100,1
Pb,0.3156,2,100,1
Mo,0.27648,2,100,1
Sb,0.29904,2,100,1
Sn,0.31556,2,100,1
NA,NA,3,100,1
As,0.35856,4,100,1
Cd,0.3966,4,100,1
Co,0.69268,4,100,1
Hg,0.44544,4,100,1
Ni,0.37192,4,100,1
Tl,0.31164,4,100,1
Pb,0.31632,4,100,1
Mo,0.38052,4,100,1
Sb,0.38524,4,100,1
Sn,0.59036,4,100,1
As,0.52128,5,100,1
Cd,0.38168,5,100,1
Co,0.436,5,100,1
Hg,0.63744,5,100,1
Ni,0.3776,5,100,1
Tl,0.41028,5,100,1
Pb,0.4126,5,100,1
Mo,0.4784,5,100,1
Sb,0.46716,5,100,1
Sn,0.34712,5,100,1
As,0.39796,6,100,1
Cd,0.37768,6,100,1
Co,0.44804,6,100,1
Hg,0.42336,6,100,1
Ni,0.7026,6,100,1
Tl,0.409,6,100,1
Pb,0.55836,6,100,1
Mo,0.48684,6,100,1
Sb,0.38976,6,100,1
Sn,0.56676,6,100,1
NA,NA,1,11,1
As,0.40524,2,11,1
Cd,0.40968,2,11,1
Co,0.41708,2,11,1
Hg,0.44708,2,11,1
Ni,0.41772,2,11,1
Tl,0.4138,2,11,1
Pb,0.39744,2,11,1
Mo,0.43048,2,11,1
Sb,0.4162,2,11,1
Sn,0.4866,2,11,1
NA,NA,3,11,1
As,0.29924,4,11,1
Cd,0.26376,4,11,1
Co,0.2804,4,11,1
Hg,0.31972,4,11,1
Ni,0.93264,4,11,1
Tl,0.26396,4,11,1
Pb,0.27144,4,11,1
Mo,0.28392,4,11,1
Sb,0.55596,4,11,1
Sn,0.42668,4,11,1
As,0.50316,5,11,1
Cd,0.47548,5,11,1
Co,0.39552,5,11,1
Hg,0.80604,5,11,1
Ni,0.60372,5,11,1
Tl,0.43968,5,11,1
Pb,0.41288,5,11,1
Mo,0.48076,5,11,1
Sb,0.50036,5,11,1
Sn,0.37076,5,11,1
As,0.55956,6,11,1
Cd,0.36616,6,11,1
Co,0.44044,6,11,1
Hg,0.33124,6,11,1
Ni,0.36464,6,11,1
Tl,0.35596,6,11,1
Pb,0.3856,6,11,1
Mo,0.40756,6,11,1
Sb,0.75332,6,11,1
Sn,0.39344,6,11,1
As,0.59128,1,12,1
Cd,0.5274,1,12,1
Co,0.586,1,12,1
Hg,0.54208,1,12,1
Ni,0.66356,1,12,1
Tl,0.53672,1,12,1
Pb,0.54828,1,12,1
Mo,0.57084,1,12,1
Sb,0.7388,1,12,1
Sn,0.56092,1,12,1
As,0.3278,2,12,1
Cd,0.39304,2,12,1
Co,0.38692,2,12,1
Hg,0.38608,2,12,1
Ni,0.35444,2,12,1
Tl,0.30656,2,12,1
Pb,0.40048,2,12,1
Mo,0.33924,2,12,1
Sb,0.34664,2,12,1
Sn,0.339,2,12,1
NA,NA,3,12,1
