variable,PIP,df,race,trial,case
As,0.036,4,1,100,1
Cd,0.036,4,1,100,1
Co,0.10256,4,1,100,1
Hg,0.08768,4,1,100,1
Ni,0.02752,4,1,100,1
Tl,0.02144,4,1,100,1
Pb,0.06944,4,1,100,1
Mo,0.06912,4,1,100,1
Sb,0.03648,4,1,100,1
Sn,0.02096,4,1,100,1
As,0.0456,1,2,100,1
Cd,0.13024,1,2,100,1
Co,0.2488,1,2,100,1
Hg,0.47312,1,2,100,1
Ni,0.98304,1,2,100,1
Tl,0.0528,1,2,100,1
Pb,0.05024,1,2,100,1
Mo,0.04288,1,2,100,1
Sb,0.1344,1,2,100,1
Sn,0.11264,1,2,100,1
As,0.58816,4,3,100,1
Cd,0.03008,4,3,100,1
Co,0.10784,4,3,100,1
Hg,0.03408,4,3,100,1
Ni,0.10192,4,3,100,1
Tl,0.19648,4,3,100,1
Pb,0.13568,4,3,100,1
Mo,0.12832,4,3,100,1
Sb,0.6376,4,3,100,1
Sn,0.10992,4,3,100,1
As,0.02432,2,4,100,1
Cd,0.02336,2,4,100,1
Co,0.06144,2,4,100,1
Hg,0.9168,2,4,100,1
Ni,0.99968,2,4,100,1
Tl,0.04976,2,4,100,1
Pb,0.0328,2,4,100,1
Mo,0.32528,2,4,100,1
Sb,0.99936,2,4,100,1
Sn,0.57312,2,4,100,1
As,0.01184,3,5,100,1
Cd,0.08352,3,5,100,1
Co,0.0352,3,5,100,1
Hg,0.29136,3,5,100,1
Ni,0.9992,3,5,100,1
Tl,0.02448,3,5,100,1
Pb,0.03504,3,5,100,1
Mo,0.02512,3,5,100,1
Sb,0.99904,3,5,100,1
Sn,0.0448,3,5,100,1
As,0.0544,2,6,100,1
Cd,0.03392,2,6,100,1
Co,0.07984,2,6,100,1
Hg,0.71808,2,6,100,1
Ni,0.96688,2,6,100,1
Tl,0.124,2,6,100,1
Pb,0.61616,2,6,100,1
Mo,0.09872,2,6,100,1
Sb,0.97408,2,6,100,1
Sn,0.04336,2,6,100,1
As,0.08688,4,1,10,1
Cd,0.2016,4,1,10,1
Co,0.5936,4,1,10,1
Hg,0.04512,4,1,10,1
Ni,0.12128,4,1,10,1
Tl,0.03584,4,1,10,1
Pb,0.02752,4,1,10,1
Mo,0.04032,4,1,10,1
Sb,0.72912,4,1,10,1
Sn,0.18416,4,1,10,1
As,0.024,4,2,10,1
Cd,0.02416,4,2,10,1
Co,0.11408,4,2,10,1
Hg,0.2912,4,2,10,1
Ni,0.61632,4,2,10,1
Tl,0.00896,4,2,10,1
Pb,0.02448,4,2,10,1
Mo,0.014880000000000001,4,2,10,1
Sb,0.10976,4,2,10,1
Sn,0.0176,4,2,10,1
As,0.076,2,3,10,1
Cd,0.03008,2,3,10,1
Co,0.12736,2,3,10,1
Hg,0.06064,2,3,10,1
Ni,0.89744,2,3,10,1
Tl,0.87792,2,3,10,1
Pb,0.04928,2,3,10,1
Mo,0.95952,2,3,10,1
Sb,0.936,2,3,10,1
Sn,0.91104,2,3,10,1
As,0.0568,2,4,10,1
Cd,0.05552,2,4,10,1
Co,0.03472,2,4,10,1
Hg,0.452,2,4,10,1
Ni,0.97936,2,4,10,1
Tl,0.02896,2,4,10,1
Pb,0.03728,2,4,10,1
Mo,0.08688,2,4,10,1
Sb,0.88,2,4,10,1
Sn,0.05696,2,4,10,1
As,0.06896,2,5,10,1
Cd,0.03024,2,5,10,1
Co,0.04848,2,5,10,1
Hg,0.99408,2,5,10,1
Ni,0.7896,2,5,10,1
Tl,0.01616,2,5,10,1
Pb,0.07136,2,5,10,1
Mo,0.01296,2,5,10,1
Sb,0.99824,2,5,10,1
Sn,0.84112,2,5,10,1
As,0.03456,1,6,10,1
Cd,0.0536,1,6,10,1
Co,0.16384,1,6,10,1
Hg,0.88944,1,6,10,1
Ni,0.91056,1,6,10,1
Tl,0.05312,1,6,10,1
Pb,0.04304,1,6,10,1
Mo,0.09392,1,6,10,1
Sb,0.05744,1,6,10,1
Sn,0.60384,1,6,10,1
As,0.05872,4,1,11,1
Cd,0.364,4,1,11,1
Co,0.07536,4,1,11,1
Hg,0.08096,4,1,11,1
Ni,0.28416,4,1,11,1
Tl,0.22128,4,1,11,1
Pb,0.3776,4,1,11,1
Mo,0.04672,4,1,11,1
Sb,0.45232,4,1,11,1
Sn,0.15888,4,1,11,1
As,0.05056,2,2,11,1
Cd,0.11264,2,2,11,1
Co,0.02752,2,2,11,1
Hg,0.31888,2,2,11,1
Ni,0.09408,2,2,11,1
Tl,0.03808,2,2,11,1
Pb,0.11584,2,2,11,1
Mo,0.09088,2,2,11,1
Sb,0.0336,2,2,11,1
Sn,0.14352,2,2,11,1
As,0.17552,3,3,11,1
Cd,0.18032,3,3,11,1
Co,0.66432,3,3,11,1
Hg,0.42672,3,3,11,1
Ni,0.51728,3,3,11,1
Tl,0.15856,3,3,11,1
Pb,0.24336,3,3,11,1
Mo,0.44224,3,3,11,1
Sb,0.54368,3,3,11,1
Sn,0.39712,3,3,11,1
As,0.02016,3,4,11,1
Cd,0.01296,3,4,11,1
Co,0.0392,3,4,11,1
Hg,0.6456,3,4,11,1
Ni,0.99968,3,4,11,1
Tl,0.024,3,4,11,1
Pb,0.07696,3,4,11,1
Mo,0.09664,3,4,11,1
Sb,0.99952,3,4,11,1
Sn,0.02368,3,4,11,1
As,0.02224,3,5,11,1
Cd,0.03904,3,5,11,1
Co,0.06512,3,5,11,1
Hg,0.92432,3,5,11,1
Ni,0.95072,3,5,11,1
Tl,0.05408,3,5,11,1
Pb,0.44464,3,5,11,1
Mo,0.06832,3,5,11,1
Sb,0.99952,3,5,11,1
Sn,0.30592,3,5,11,1
As,0.02048,2,6,11,1
Cd,0.03792,2,6,11,1
Co,0.06272,2,6,11,1
Hg,0.86128,2,6,11,1
Ni,0.98336,2,6,11,1
Tl,0.0424,2,6,11,1
Pb,0.03344,2,6,11,1
Mo,0.05648,2,6,11,1
Sb,0.8096,2,6,11,1
Sn,0.1,2,6,11,1
As,0.02112,2,1,12,1
Cd,0.0264,2,1,12,1
Co,0.10672,2,1,12,1
Hg,0.79408,2,1,12,1
Ni,0.07728,2,1,12,1
Tl,0.036,2,1,12,1
Pb,0.09104,2,1,12,1
Mo,0.06512,2,1,12,1
Sb,0.9176,2,1,12,1
Sn,0.11376,2,1,12,1
As,0.02064,4,2,12,1
Cd,0.02032,4,2,12,1
Co,0.01456,4,2,12,1
Hg,0.99808,4,2,12,1
Ni,0.00928,4,2,12,1
Tl,0.012,4,2,12,1
Pb,0.02912,4,2,12,1
Mo,0.10432,4,2,12,1
Sb,0.1304,4,2,12,1
Sn,0.0232,4,2,12,1
As,0.0464,1,3,12,1
Cd,0.04288,1,3,12,1
Co,0.19792,1,3,12,1
Hg,0.98416,1,3,12,1
Ni,0.11408,1,3,12,1
