variable,PIP,df,race,trial,case
As,0.36784,4,1,100,1
Cd,0.33664,4,1,100,1
Co,0.4952,4,1,100,1
Hg,0.3096,4,1,100,1
Ni,0.2944,4,1,100,1
Tl,0.40656,4,1,100,1
Pb,0.45824,4,1,100,1
Mo,0.56272,4,1,100,1
Sb,0.4272,4,1,100,1
Sn,0.48704,4,1,100,1
As,0.4056,4,2,100,1
Cd,0.5664,4,2,100,1
Co,0.336,4,2,100,1
Hg,0.41488,4,2,100,1
Ni,0.43952,4,2,100,1
Tl,0.4336,4,2,100,1
Pb,0.3752,4,2,100,1
Mo,0.28432,4,2,100,1
Sb,0.46064,4,2,100,1
Sn,0.45472,4,2,100,1
As,0.43568,4,3,100,1
Cd,0.51552,4,3,100,1
Co,0.4864,4,3,100,1
Hg,0.46384,4,3,100,1
Ni,0.42048,4,3,100,1
Tl,0.51888,4,3,100,1
Pb,0.49008,4,3,100,1
Mo,0.39424,4,3,100,1
Sb,0.5112,4,3,100,1
Sn,0.48016,4,3,100,1
As,0.43648,2,4,100,1
Cd,0.01376,2,4,100,1
Co,0.24416,2,4,100,1
Hg,0.0344,2,4,100,1
Ni,0.03456,2,4,100,1
Tl,0.01792,2,4,100,1
Pb,0.01328,2,4,100,1
Mo,0.01184,2,4,100,1
Sb,0.02144,2,4,100,1
Sn,0.13584,2,4,100,1
As,0.02848,1,5,100,1
Cd,0.0376,1,5,100,1
Co,0.03712,1,5,100,1
Hg,0.18096,1,5,100,1
Ni,0.03408,1,5,100,1
Tl,0.03104,1,5,100,1
Pb,0.03552,1,5,100,1
Mo,0.03104,1,5,100,1
Sb,0.02832,1,5,100,1
Sn,0.03824,1,5,100,1
As,0.14656,3,6,100,1
Cd,0.58064,3,6,100,1
Co,0.2952,3,6,100,1
Hg,0.06528,3,6,100,1
Ni,0.76976,3,6,100,1
Tl,0.42656,3,6,100,1
Pb,0.70416,3,6,100,1
Mo,0.63056,3,6,100,1
Sb,0.49968,3,6,100,1
Sn,0.24272,3,6,100,1
As,0.53648,3,1,10,1
Cd,0.41952,3,1,10,1
Co,0.5688,3,1,10,1
Hg,0.49792,3,1,10,1
Ni,0.6552,3,1,10,1
Tl,0.69488,3,1,10,1
Pb,0.47888,3,1,10,1
Mo,0.32528,3,1,10,1
Sb,0.56944,3,1,10,1
Sn,0.47952,3,1,10,1
As,0.032,4,2,10,1
Cd,0.3808,4,2,10,1
Co,0.08944,4,2,10,1
Hg,0.02176,4,2,10,1
Ni,0.04704,4,2,10,1
Tl,0.04208,4,2,10,1
Pb,0.39616,4,2,10,1
Mo,0.07184,4,2,10,1
Sb,0.0288,4,2,10,1
Sn,0.13152,4,2,10,1
As,0.59632,3,3,10,1
Cd,0.48112,3,3,10,1
Co,0.49408,3,3,10,1
Hg,0.5496,3,3,10,1
Ni,0.4576,3,3,10,1
Tl,0.65456,3,3,10,1
Pb,0.50352,3,3,10,1
Mo,0.5184,3,3,10,1
Sb,0.43392,3,3,10,1
Sn,0.39024,3,3,10,1
As,0.01008,4,4,10,1
Cd,0.00672,4,4,10,1
Co,0.0096,4,4,10,1
Hg,0.02256,4,4,10,1
Ni,0.00576,4,4,10,1
Tl,0.0048,4,4,10,1
Pb,0.01472,4,4,10,1
Mo,0.00592,4,4,10,1
Sb,0.97968,4,4,10,1
Sn,0.00416,4,4,10,1
As,0.01952,2,5,10,1
Cd,0.03024,2,5,10,1
Co,0.54816,2,5,10,1
Hg,0.02384,2,5,10,1
Ni,0.91056,2,5,10,1
Tl,0.04976,2,5,10,1
Pb,0.0936,2,5,10,1
Mo,0.04624,2,5,10,1
Sb,0.2704,2,5,10,1
Sn,0.0432,2,5,10,1
As,0.04896,2,6,10,1
Cd,0.06608,2,6,10,1
Co,0.19872,2,6,10,1
Hg,0.02512,2,6,10,1
Ni,0.10032,2,6,10,1
Tl,0.02464,2,6,10,1
Pb,0.0288,2,6,10,1
Mo,0.02304,2,6,10,1
Sb,0.02608,2,6,10,1
Sn,0.07584,2,6,10,1
As,0.47616000000000003,3,1,11,1
Cd,0.45184,3,1,11,1
Co,0.60784,3,1,11,1
Hg,0.52592,3,1,11,1
Ni,0.49776,3,1,11,1
Tl,0.5904,3,1,11,1
Pb,0.50544,3,1,11,1
Mo,0.43968,3,1,11,1
Sb,0.59232,3,1,11,1
Sn,0.45216,3,1,11,1
As,0.14704,4,2,11,1
Cd,0.53728,4,2,11,1
Co,0.51936,4,2,11,1
Hg,0.14304,4,2,11,1
Ni,0.18416,4,2,11,1
Tl,0.14032,4,2,11,1
Pb,0.11504,4,2,11,1
Mo,0.18272,4,2,11,1
Sb,0.13584,4,2,11,1
Sn,0.648,4,2,11,1
As,0.39504,4,3,11,1
Cd,0.41184,4,3,11,1
Co,0.47696,4,3,11,1
Hg,0.38432,4,3,11,1
Ni,0.47552,4,3,11,1
Tl,0.55936,4,3,11,1
Pb,0.46656,4,3,11,1
Mo,0.41792,4,3,11,1
Sb,0.39744,4,3,11,1
Sn,0.61776,4,3,11,1
As,0.044,1,4,11,1
Cd,0.03616,1,4,11,1
Co,0.06448,1,4,11,1
Hg,0.03616,1,4,11,1
Ni,0.95776,1,4,11,1
Tl,0.03904,1,4,11,1
Pb,0.0568,1,4,11,1
Mo,0.0344,1,4,11,1
Sb,0.07456,1,4,11,1
Sn,0.06992,1,4,11,1
As,0.04752,3,5,11,1
Cd,0.04128,3,5,11,1
Co,0.01744,3,5,11,1
Hg,0.17504,3,5,11,1
Ni,0.06752,3,5,11,1
Tl,0.0144,3,5,11,1
Pb,0.00912,3,5,11,1
Mo,0.029760000000000002,3,5,11,1
Sb,0.26848,3,5,11,1
Sn,0.5144,3,5,11,1
As,0.12,2,6,11,1
Cd,0.01552,2,6,11,1
Co,0.01952,2,6,11,1
Hg,0.01056,2,6,11,1
Ni,0.01328,2,6,11,1
Tl,0.0112,2,6,11,1
Pb,0.03184,2,6,11,1
Mo,0.03296,2,6,11,1
Sb,0.84656,2,6,11,1
Sn,0.02768,2,6,11,1
As,0.444,4,1,12,1
Cd,0.72096,4,1,12,1
Co,0.54416,4,1,12,1
Hg,0.29072,4,1,12,1
Ni,0.5432,4,1,12,1
Tl,0.43376,4,1,12,1
Pb,0.3104,4,1,12,1
Mo,0.21344,4,1,12,1
Sb,0.42032,4,1,12,1
Sn,0.36336,4,1,12,1
As,0.02656,4,2,12,1
Cd,0.08976,4,2,12,1
Co,0.10048,4,2,12,1
Hg,0.02816,4,2,12,1
Ni,0.01824,4,2,12,1
Tl,0.05424,4,2,12,1
Pb,0.17168,4,2,12,1
Mo,0.0752,4,2,12,1
Sb,0.05424,4,2,12,1
Sn,0.0304,4,2,12,1
As,0.54064,3,3,12,1
Cd,0.2952,3,3,12,1
Co,0.3248,3,3,12,1
Hg,0.22304,3,3,12,1
Ni,0.3224,3,3,12,1
Tl,0.31904,3,3,12,1
Pb,0.31888,3,3,12,1
Mo,0.27392,3,3,12,1
Sb,0.24752,3,3,12,1
Sn,0.6856,3,3,12,1
As,0.03008,1,4,12,1
Cd,0.0568,1,4,12,1
Co,0.1704,1,4,12,1
Hg,0.06352,1,4,12,1
Ni,0.06816,1,4,12,1
Tl,0.0616,1,4,12,1
Pb,0.03984,1,4,12,1
Mo,0.07552,1,4,12,1
Sb,0.11024,1,4,12,1
Sn,0.36224,1,4,12,1
As,0.09296,2,5,12,1
Cd,0.05856,2,5,12,1
Co,0.08016,2,5,12,1
Hg,0.0128,2,5,12,1
Ni,0.02464,2,5,12,1
Tl,0.01392,2,5,12,1
Pb,0.04096,2,5,12,1
Mo,0.02944,2,5,12,1
Sb,0.97888,2,5,12,1
Sn,0.0784,2,5,12,1
As,0.03488,2,6,12,1
Cd,0.23648,2,6,12,1
Co,0.05696,2,6,12,1
Hg,0.0192,2,6,12,1
Ni,0.3136,2,6,12,1
Tl,0.02896,2,6,12,1
Pb,0.05232,2,6,12,1
Mo,0.1232,2,6,12,1
Sb,0.7912,2,6,12,1
Sn,0.08288,2,6,12,1
As,0.65216,3,1,13,1
Cd,0.44816,3,1,13,1
Co,0.5048,3,1,13,1
Hg,0.67664,3,1,13,1
Ni,0.54848,3,1,13,1
Tl,0.40144,3,1,13,1
Pb,0.50528,3,1,13,1
Mo,0.36896,3,1,13,1
Sb,0.3832,3,1,13,1
Sn,0.664,3,1,13,1
As,0.15856,3,2,13,1
Cd,0.06944,3,2,13,1
Co,0.20144,3,2,13,1
Hg,0.09344,3,2,13,1
Ni,0.52336,3,2,13,1
Tl,0.13536,3,2,13,1
Pb,0.06576,3,2,13,1
Mo,0.81744000000000006,3,2,13,1
Sb,0.11552,3,2,13,1
Sn,0.24528,3,2,13,1
As,0.39872,4,3,13,1
Cd,0.30992,4,3,13,1
Co,0.36672,4,3,13,1
Hg,0.52576,4,3,13,1
Ni,0.32416,4,3,13,1
Tl,0.6448,4,3,13,1
Pb,0.43296,4,3,13,1
Mo,0.26288,4,3,13,1
